name	SRX2026434	SRX2026414	SRX2026415	SRX2026416	SRX2026417	SRX2026436	SRX2026437	SRX2026412	SRX2026413	SRX2026418	SRX2026419	SRX2026432	SRX2026433	SRX2026430	SRX2026431	SRX2026421	SRX2026420	SRX2026423	SRX2026422	SRX2026425	SRX2026424	SRX2026427	SRX2026426	SRX2026429	SRX2026428	SRX2026435
hsa-miR-99a-5p	19030	12127	14080	13010	11719	9636	39108	74751	23489	10988	5821	13998	8580	28016	7386	10693	6129	45073	8788	19175	11159	23509	26675	19428	20351	21714	504427.0
hsa-miR-222-3p	7291	34469	16269	28952	9091	8803	15564	15725	14584	23897	6904	21839	24139	9870	21085	11965	10568	16346	22443	36084	17793	28153	27304	22210	13702	13637	478687.0
hsa-miR-223-5p	10307	41886	11538	32745	4933	14006	17365	28282	14323	6435	8279	19773	11997	6117	6550	20410	3711	19163	7599	19951	44614	18967	44603	35244	16050	13579	478427.0
hsa-miR-140-3p	43943	10551	2617	9183	15403	19032	35045	14375	6296	19656	12834	21410	16414	22340	20094	24942	7619	8947	5500	15166	11329	9985	13789	46875	29384	29776	472505.0
hsa-miR-532-5p	39269	7539	3558	12653	11404	17927	25129	15074	10096	14956	10221	12849	14718	20019	12612	18049	5953	26338	7724	17482	22860	17219	26412	30589	23598	18418	442666.0
hsa-miR-146b-5p	24920	17728	8725	23900	7861	16754	23126	17630	12783	14257	8878	21431	21307	13199	14478	18591	8237	16592	13656	18363	7809	21147	28065	24378	19692	15223	438723.0
hsa-miR-409-3p	3644	24918	10137	27324	2815	8184	11191	12795	8709	8153	8765	9557	17789	7929	7213	30821	3886	9405	32694	25354	20561	19288	15321	13452	7095	5650	352650.0
hsa-miR-16-2-3p	32399	6312	2985	14312	12571	9949	21754	9025	8822	11692	13599	5407	11391	21498	11993	11610	4815	16592	4589	8833	13379	8452	15411	25789	15954	18693	337826.0
hsa-miR-378a-3p	24432	6498	3118	6638	6554	11277	22215	17303	6384	10311	9742	14140	10162	14825	8775	12511	4038	15079	2999	10656	14420	8950	14870	22386	18479	22907	319664.4
hsa-miR-584-5p	10311	6936	5172	10011	5800	5024	15382	4359	4919	9050	7879	13584	8068	15119	12840	9540	4149	11402	10776	19882	6822	8514	12282	20001	12601	7809	258232.0
hsa-let-7d-5p	12701	7964	7382	9179	5924	9538	10439	3415	10199	10793	4262	11055	12126	7423	8760	6439	3467	8964	8371	11604	8021	12017	14163	21482	21558	8121	255366.37000000002
hsa-miR-192-5p	27646	6080	3682	8102	8214	8223	17290	20774	5975	7640	3094	8159	10358	11259	4868	10346	5247	14149	2554	5015	5255	7105	7981	10518	15615	18633	253778.5
hsa-miR-1307-3p	10721	8059	3126	9445	5030	9254	19187	7852	7702	9067	7824	20057	12553	10291	13606	9190	3970	7878	5496	6534	7375	7478	9067	14288	9004	12059	246113.0
hsa-miR-148b-3p	8372	8033	3652	6233	6284	7239	23820	4587	5146	9843	4589	12032	8990	8354	9781	9820	3182	8614	6738	9571	7619	8090	9461	21542	12256	9468	233311.5
hsa-miR-99b-5p	5742	5768	4962	9241	8239	6580	10276	8026	7724	8502	6143	14234	18405	11831	10377	8043	3698	8406	6312	6572	4677	11225	9682	16448	6099	14517	231729.0
hsa-miR-27a-3p	8107	10197	3864	9845	4675	6280	15204	13348	6060	4605	3109	10762	6081	8589	4248	7213	1425	12188	2982	9484	11364	7966	17534	19328	9329	15007	228792.50999999998
hsa-miR-181a-5p	14133	6351	3601	7541	4853	5602	13351	7364	5015	4197	7078	7912	6393	8248	5688	7611	2520	7855	2972	15521	12354	7529	15978	14404	17216	13266	224546.5
hsa-miR-26b-5p	19388	5854	4458	9572	6043	9946	8451	3320	7886	8051	1794	4893	11797	5128	3980	5663	3471	9826	5670	6634	5091	15363	16517	10343	11168	6341	206645.03000000003
hsa-miR-221-3p	6145	9330	3590	5427	4486	7838	10721	4109	2832	9835	4456	10753	12165	6086	9197	8364	3855	4872	5066	10774	4003	7689	11345	18119	12644	5084	198785.0
hsa-miR-16-5p	16526	3191	1873	6553	6664	5711	14146	3935	4100	5382	5184	4025	5118	6957	6377	7825	2636	10271	2599	7916	12465	5842	10956	21045	12476	8835	198608.0
hsa-miR-223-3p	2632	21051	3124	9974	691	5143	5838	19035	2410	2595	894	5795	6295	855	2172	12818	1187	3416	2953	10974	3325	12011	29124	13958	13468	1207	192945.0
hsa-miR-28-3p	4465	9624	4423	8935	2852	4460	10122	7877	4969	5996	3848	9118	8299	5407	6034	8371	2208	8971	6827	11982	5758	10520	13903	12534	9657	4472	191632.0
hsa-miR-185-5p	27489	3105	1577	3946	7491	5838	11812	2854	6162	10767	4068	5261	7642	12583	7685	6366	3216	9324	2808	3550	5514	3732	4912	13897	11446	6589	189627.5
hsa-miR-3615	8256	5925	2398	6349	3305	5655	11383	15961	4295	6323	6354	10017	5723	6148	4706	8697	2033	7622	2162	5196	6688	6341	10139	12765	7222	9016	180679.0
hsa-miR-224-5p	5019	24025	1743	5730	1303	4073	6223	5863	6203	3058	4450	2465	4201	3217	8148	6034	4985	9817	6760	6756	16253	4379	9595	21100	3428	811	175639.0
hsa-miR-484	7425	4343	2518	6184	4698	4694	9257	6108	4733	7756	3048	6490	6452	5607	7064	10642	3232	6455	3554	8901	6402	6987	9764	13889	9414	7298	172915.0
hsa-miR-27b-3p	8455	4414	2836	5466	4752	3859	15514	9224	5343	5599	3331	7843	6064	9157	4044	5269	2153	10662	3189	5086	4411	5356	7949	10721	9613	11704	172013.01
hsa-miR-375-3p	9954	11472	2269	4030	21690	2739	16029	12424	1744	5848	1795	1210	8544	13187	8330	1217	1867	7220	711	2635	247	6111	5144	7760	8638	5197	168012.0
hsa-miR-30c-5p	2737	9836	4084	8432	1650	6018	5523	5399	3680	6575	1934	8940	6070	2745	5226	6325	2678	5187	5505	10585	4976	8315	11070	13170	9606	4164	160430.0
hsa-miR-625-3p	4722	6612	3085	7536	5349	4196	5276	6867	3755	3734	3066	6380	7788	6249	7663	5752	2119	7264	11317	11892	4498	12458	7404	5667	4009	2698	157356.0
hsa-miR-486-3p	15960	1182	1100	4747	5117	3449	12092	4109	4584	6607	4362	2928	6015	10265	6137	5963	2172	8273	1776	3477	4599	3792	4803	7517	7282	6223	144531.0
hsa-miR-100-5p	7298	1851	2248	1598	3773	2485	15414	10868	5062	2609	1934	3413	3367	12802	2700	3465	1423	11407	1251	6500	4145	5325	6515	10523	9028	6242	143240.0
hsa-miR-629-5p	8736	3315	1283	4496	2983	3828	8992	4458	2498	4111	6566	5330	2784	7012	3529	5239	1111	6640	996	4884	9759	2685	7555	10981	5898	14124	139793.0
hsa-miR-186-5p	10982	4645	1631	5996	3888	4308	6926	5504	3276	4718	4211	1849	4274	5227	5003	4319	1863	6698	2167	4323	6713	5211	9218	12996	7703	4671	138320.0
hsa-miR-106b-3p	8624	3428	1661	4900	2322	4219	8543	5982	3806	3924	3680	2801	5992	3997	3577	5916	1558	6620	2974	6561	5698	6957	8852	10827	8727	3290	135436.0
hsa-miR-125a-5p	3760	4712	5287	7482	7329	2286	2410	6925	16737	4853	3501	3439	5911	8383	3242	3456	2144	7569	5194	2812	2363	6290	6889	4689	2247	3943	133853.0
hsa-miR-30a-5p	7180	2102	1088	2172	6341	5380	11371	6875	2841	5697	2564	4211	4096	8680	3447	3843	1776	4867	1119	2501	2806	3338	4068	7676	9862	11510	127402.0
hsa-miR-92b-3p	6912	2535	1994	5159	6768	2628	5462	4100	6293	4933	5875	2839	2948	8940	4137	3977	2132	7714	2433	2521	5806	3610	4486	4482	3204	7736	119624.0
hsa-miR-30e-3p	2148	7990	4371	8582	1673	2539	4151	5413	5985	2701	880	3837	4161	1705	2252	2891	974	5458	6005	6824	5508	9988	11427	5760	3932	2044	119193.0
hsa-miR-744-5p	4095	4581	2291	3689	2285	3234	7157	3938	3944	4169	2193	6026	8379	3692	4019	4885	1510	3132	4331	5915	2635	5439	7124	8546	6987	3268	117464.0
hsa-let-7c-5p	7396	2839	3625	5506	3769	3093	5371	3537	8521	3460	3157	2938	4005	4566	3063	1975	1407	6473	3756	4653	4051	6638	7523	5999	5229	4801	117351.95
hsa-miR-93-5p	10801	2798	1153	2978	4078	5066	6388	2150	1951	6503	2284	4000	4697	5362	4057	5017	2662	3081	1562	3780	3244	3340	5360	10511	8621	3696	115140.0
hsa-miR-197-3p	3519	6149	3774	7382	1795	3845	3854	7132	5215	3075	3455	4159	4822	3321	2422	6885	1806	5385	2759	2983	4430	4087	8437	4173	2780	4191	111835.0
hsa-miR-103a-3p	4294	4128	2202	3407	2610	5245	4399	1498	3308	5247	1912	4787	6599	3006	4123	2691	1985	3492	2926	6072	3997	5610	5030	9583	9122	4194	111464.80000000002
hsa-miR-7-5p	10286	5249	2303	5666	3194	6604	4720	1714	5113	3910	2762	2700	3096	5602	3024	1938	1400	5062	2244	3467	6246	3770	3895	5558	5730	3366	108619.06
hsa-miR-126-5p	6019	3406	1557	3991	3404	3750	6290	1361	2162	4087	1793	4210	5517	4516	4604	2791	2004	4481	3801	4510	2396	5205	6488	8425	6800	2633	106201.0
hsa-miR-182-5p	2678	2749	1659	6035	2151	9890	8488	2529	4873	1619	1865	2038	3641	3155	764	1577	1275	5916	1260	2967	8907	5938	4361	3178	4504	10380	104397.0
hsa-miR-425-5p	5678	3968	1620	5040	2145	3136	4822	3807	2616	3498	2882	3651	2815	2711	3674	4908	1713	3884	2396	4755	4504	4376	7920	8521	5227	3701	103968.0
hsa-miR-361-3p	3255	6963	2178	4153	1098	3572	4534	5925	2424	2472	2022	5160	3345	2088	2843	7105	1496	3714	2224	4376	2746	3753	6801	9493	5597	1761	101098.0
hsa-miR-20a-5p	12091	1792	780	2534	4478	4124	5772	1194	1658	5928	2341	2914	3938	6454	3613	3591	2676	3071	1304	1903	2803	1918	2359	8411	6652	4109	98407.01999999999
hsa-miR-363-3p	8369	1451	1268	4351	2717	2933	5238	2653	4796	2646	2722	1556	2668	3479	3925	2548	1026	4973	1352	4062	3859	4042	7321	6457	5196	6684	98292.0
hsa-miR-183-5p	4787	1525	1212	5699	2133	7318	8769	2733	3886	1295	2211	1171	3745	2809	503	2064	1464	7128	752	2093	6599	5632	4835	2428	3480	7314	93585.0
hsa-miR-432-5p	1265	5670	2926	5464	957	2545	6301	2362	1913	3354	4032	4147	6116	3808	2511	5315	1014	2345	5329	2363	4771	3905	3222	4723	2429	2081	90868.0
hsa-miR-23a-3p	2118	4165	1097	2860	467	3462	5215	4602	926	1859	608	3946	4540	1189	1887	5690	797	2598	1858	4969	2185	6060	9021	7101	8653	1741	89609.0
hsa-miR-320b	5709	1081	646	1538	3511	2082	13542	3920	1705	2198	3541	3514	1601	6302	3077	1986	963	3650	779	2254	3497	1983	2946	4753	3878	6106	86762.05
hsa-miR-941	4068	4553	1494	4616	1469	1070	4896	6730	3492	1634	1119	3394	4124	1500	1205	6229	885	1884	508	2136	3163	1971	10716	3911	4547	1790	83103.65000000001
hsa-miR-150-5p	6483	2599	1630	3156	1344	5507	1798	9487	1658	1930	1663	1279	4252	7519	675	3313	838	3349	1219	889	837	6111	4823	2883	3536	3619	82397.0
hsa-miR-543	922	6096	3128	4921	662	2257	2789	2918	2704	2454	1580	2039	4903	3000	1380	4022	916	2753	8504	4983	4032	4441	2790	2636	2571	2295	81696.0
hsa-miR-199a-5p	1803	6589	1737	3627	1913	2555	3600	2266	2313	3423	846	3236	3137	1431	4170	2515	1661	3471	3431	5851	1904	3757	5279	5264	3675	1039	80494.01999999997
hsa-miR-98-5p	2769	3606	3346	4359	1803	2343	2464	866	4606	2415	1187	2326	2690	1846	2048	1412	1224	4504	4338	3584	3728	6934	7298	3898	3090	1291	79972.49
hsa-miR-134-5p	1449	2723	798	2551	875	2813	5316	1265	847	2617	3737	3852	5552	2992	2468	7385	799	1133	2960	5647	3479	2205	1963	4486	2529	4494	76935.0
hsa-let-7e-5p	1522	3277	3922	5220	3390	1871	1777	1444	3882	2808	1323	3940	3125	2615	2889	1318	1292	3067	3223	2938	1847	3879	4035	5042	2422	2629	74697.24999999999
hsa-miR-340-5p	4002	2144	780	2164	2897	3250	3946	1201	1483	2830	1924	1914	3169	3203	3039	2815	1442	1826	1642	1632	967	2364	2956	7579	3819	2323	67311.0
hsa-miR-328-3p	1098	2878	2660	4860	1356	1000	1662	3297	4740	2620	1552	1682	2224	1997	1982	1993	1139	3482	3855	3270	2419	5223	4735	2167	1644	1358	66893.0
hsa-miR-193a-5p	1885	1606	778	1020	855	1379	4012	6173	1342	1559	1571	4485	2031	2082	736	3531	682	2965	310	1638	1926	1566	3706	4591	3079	6805	62313.0
hsa-miR-382-5p	887	3126	1095	2651	780	1913	3569	1084	759	1620	3180	2298	4429	2313	1748	4753	558	1297	2592	4429	3180	2302	1845	3696	1752	1865	59721.0
hsa-miR-125b-5p	2409	747	1428	1167	2482	1026	5548	3000	3354	1772	1253	1259	1621	5903	980	1125	623	3893	762	1034	1627	2162	2298	1980	1491	2883	53827.34
hsa-miR-130b-5p	2134	2369	1522	2995	1065	1402	2205	1689	2973	2557	1042	1622	3042	1936	1415	856	1019	2861	2524	1647	1938	3263	2795	2124	1229	2133	52357.0
hsa-miR-424-3p	2275	2185	708	1978	1289	1311	3151	1621	965	1422	2058	3146	1596	1394	819	3054	218	2001	385	1389	3192	1194	2950	4098	2276	5200	51875.0
hsa-miR-199a-3p	1627	2955	918	1433	1076	1679	3965	1161	866	1549	691	2367	1865	2074	1721	1817	618	1864	1018	3463	1215	2180	3730	4578	2904	1631	50965.84
hsa-miR-2110	2728	897	480	1455	1687	2079	3736	1667	836	1684	3208	959	1665	3397	2134	2423	439	1330	683	1144	1734	1373	2284	3944	2834	2997	49797.0
hsa-miR-155-5p	1913	1815	954	1910	1579	1417	1870	1640	1105	1991	1315	1722	1983	3503	968	1871	482	1704	1208	1362	1280	2002	3151	2221	1938	3734	46638.0
hsa-miR-335-3p	896	3159	1946	1295	665	1887	1577	1545	1245	1436	632	1114	2988	593	2412	1537	890	2029	1791	2295	1012	3186	3499	1500	1855	794	43778.0
hsa-miR-1301-3p	677	2273	1019	1764	687	1306	1951	1247	1481	1696	772	2762	2545	707	1455	2031	723	952	2305	1560	1402	2454	2312	2376	1829	933	41219.0
hsa-miR-139-5p	944	1592	586	1594	872	1003	1529	1524	1296	980	801	3303	1020	1298	827	1276	497	2504	837	2376	1493	2224	3526	3026	1525	1998	40451.0
hsa-miR-330-3p	1412	1719	569	1563	654	1553	2267	1440	1331	1545	615	2656	2135	957	1334	2690	641	969	1348	1387	781	1995	2236	2420	2171	855	39243.0
hsa-miR-19b-3p	3416	798	238	952	1491	1559	2356	721	482	1673	1253	1323	1112	2069	1602	1696	800	960	375	989	1075	608	1316	5197	2263	2636	38961.020000000004
hsa-miR-342-5p	3223	998	1062	1694	717	1691	1451	2350	1439	740	1440	786	1274	3267	532	968	572	1661	772	985	1310	1941	2332	1956	1175	1819	38155.0
hsa-miR-151a-5p	112	1192	1171	2221	105	129	410	271	1134	157	85	228	317	173	126	139	49	3287	2107	6705	2444	5224	9492	373	233	180	38055.0
hsa-miR-17-5p	3140	1125	460	1333	1376	1858	2402	528	794	2375	710	1692	1649	1452	1390	1451	1013	1284	694	936	911	1145	1487	2883	2270	1038	37390.51999999999
hsa-miR-29a-3p	1373	1709	694	1390	890	881	2106	1889	1197	1041	387	1196	816	2479	854	1020	289	2337	640	1718	1553	1618	3330	2702	1670	1566	37344.009999999995
hsa-miR-152-3p	738	1376	710	1629	678	998	1978	775	1063	1106	803	1810	1715	1181	811	1452	563	1976	1606	1772	999	2166	2187	2508	2338	942	35880.0
hsa-miR-4433b-5p	1055	203	710	1282	2132	625	789	829	1846	2749	1345	640	1690	3088	1490	867	2145	1342	2403	741	788	1633	1006	1967	1750	554	35669.0
hsa-miR-501-3p	2845	356	197	624	1060	726	1585	842	837	1314	1495	1004	747	2235	1144	1220	474	1789	413	1353	1662	1122	1736	2513	1905	2528	33722.340000000004
hsa-miR-1180-3p	3946	177	198	878	1109	684	2181	1072	849	817	1864	309	757	2404	1043	1337	401	1588	249	928	1323	1094	1644	2124	1471	2330	32777.0
hsa-miR-485-5p	396	1276	886	2258	368	815	1487	1083	843	698	1509	858	1508	991	699	2487	340	1018	2363	2344	2570	1748	1038	918	388	878	31767.0
hsa-miR-323b-3p	459	476	521	1239	377	750	1865	923	357	1101	1428	432	1780	1967	1009	2553	299	433	1547	2811	2277	1155	508	2211	350	1994	30818.5
hsa-miR-127-3p	421	1521	578	1930	118	1428	2185	592	588	443	670	1109	2544	1053	974	1407	162	585	997	1365	775	2503	2343	1041	799	811	28942.0
hsa-let-7b-3p	1027	887	743	1630	877	796	1453	1966	1049	814	690	940	899	1354	502	883	427	2339	616	759	1629	1083	1633	1260	830	1612	28696.5
hsa-miR-320c	1380	506	294	595	995	543	4338	1519	488	657	1052	1392	492	2555	778	451	236	1277	309	751	1497	682	1149	1370	1101	2056	28463.92
hsa-miR-370-3p	436	1780	617	1635	112	1155	1764	817	515	907	707	1344	2594	718	1355	1168	157	378	1058	470	1036	1774	1315	1383	688	738	26621.0
hsa-miR-144-3p	3338	69	125	613	1073	1425	1604	251	620	1002	1011	300	1578	2516	912	514	307	722	103	420	708	606	598	1856	1128	2128	25527.0
hsa-miR-199b-3p	812	1465	454	717	535	831	1982	571	430	765	343	1179	934	1037	855	909	307	910	508	1721	608	1078	1861	2273	1450	803	25337.17
hsa-miR-338-5p	755	708	347	618	379	762	2022	928	322	735	736	1473	1142	694	445	1280	208	447	182	813	632	669	1870	3006	1746	1643	24562.0
hsa-miR-23b-3p	378	1500	443	1449	207	853	805	776	644	920	256	1237	1406	326	480	1270	270	452	910	1405	316	2322	2361	1400	1492	503	24376.0
hsa-miR-140-5p	966	1258	343	974	366	798	1282	680	455	653	627	1061	835	745	708	1047	291	725	451	947	990	797	2009	2675	1214	994	23891.0
hsa-miR-181b-5p	1253	590	287	634	702	598	1461	592	459	546	872	1161	731	1230	618	825	259	891	270	1068	841	639	1506	1582	1967	1013	22588.5
hsa-miR-194-5p	972	622	563	931	362	422	1466	2282	717	245	277	475	493	533	360	466	214	2430	319	1082	1443	1019	1700	842	758	1193	22186.0
hsa-miR-139-3p	1095	406	310	732	924	589	1185	543	932	925	731	1485	1136	977	968	613	284	730	551	564	455	1275	1482	1418	752	967	22029.0
hsa-miR-4433b-3p	499	116	905	381	999	527	3616	518	1101	307	1196	401	681	698	1821	1872	312	1174	539	230	520	413	1321	664	337	708	21856.0
hsa-miR-671-3p	421	1046	725	1305	227	520	835	848	1290	673	251	1163	1103	359	673	535	281	1163	1082	1047	817	1687	1726	646	615	593	21631.0
hsa-miR-654-3p	310	1371	454	1434	201	494	1308	840	259	623	548	790	1498	666	561	1429	147	495	1300	1180	623	1226	995	1175	828	622	21377.0
hsa-miR-4446-3p	709	416	516	473	598	654	1053	487	689	926	595	1047	1513	745	1325	621	229	816	845	860	378	806	963	1117	1118	326	19825.0
hsa-miR-11400	371	888	306	788	238	820	926	321	471	796	584	913	753	982	910	612	302	871	539	1503	231	800	1605	958	1134	186	18808.0
hsa-miR-769-5p	687	725	182	741	344	873	1076	1074	413	585	346	524	642	409	655	605	157	448	312	836	901	697	1487	2140	1086	572	18517.0
hsa-miR-323a-3p	188	799	250	970	208	475	1136	339	278	521	569	798	972	992	455	1244	121	519	897	945	1304	752	697	1284	549	958	18216.5
hsa-miR-1260b	715	459	299	672	745	333	680	290	496	890	1232	838	1283	1456	960	762	472	499	700	713	124	834	903	608	716	404	18076.5
hsa-miR-664a-5p	721	552	380	458	356	535	943	580	663	632	378	840	902	752	424	698	306	716	581	764	629	506	1009	1626	984	564	17499.0
hsa-miR-145-3p	750	770	403	500	406	469	1558	685	1081	569	223	657	434	390	353	508	98	551	217	816	820	728	1188	1511	629	842	17156.0
hsa-miR-1843	1002	575	418	713	394	430	747	526	465	505	388	496	835	697	523	531	215	686	649	930	556	876	1296	1360	1010	251	17074.0
hsa-miR-425-3p	637	556	162	409	249	692	1087	565	251	666	189	1002	699	303	620	1008	236	353	309	859	466	656	1119	1595	1182	651	16521.0
hsa-miR-19a-3p	997	707	139	596	590	573	809	333	435	623	440	535	349	817	580	489	296	509	260	599	993	422	732	1744	690	1254	16510.010000000002
hsa-miR-483-5p	149	240	324	285	398	238	2088	2070	389	127	537	1309	64	1107	148	166	155	1361	200	323	372	441	996	225	285	2474	16471.0
hsa-miR-379-5p	107	938	486	1167	131	580	818	309	383	433	297	487	1482	248	346	578	132	500	1162	644	1028	1742	856	759	378	417	16408.0
hsa-miR-381-3p	217	1440	407	1463	132	339	978	501	390	282	224	471	819	182	371	763	77	734	1123	816	1301	1174	891	579	339	368	16381.0
hsa-miR-4732-5p	2399	52	73	367	809	524	765	334	298	668	709	270	477	1462	840	410	264	472	114	459	549	281	503	1270	842	1031	16242.0
hsa-miR-181a-2-3p	988	336	266	468	268	497	922	511	422	559	502	525	696	721	496	678	214	552	371	735	465	691	936	1547	905	703	15974.0
hsa-miR-942-5p	1006	435	222	676	422	512	870	371	436	606	503	501	543	427	490	556	199	481	172	415	631	341	904	1000	729	921	14369.0
hsa-miR-4732-3p	1388	69	101	589	772	323	593	484	391	607	1127	101	486	1479	474	328	247	670	127	258	572	342	515	643	229	1126	14041.0
hsa-miR-433-3p	229	528	301	629	158	335	997	316	255	537	859	843	1173	522	445	1040	118	182	422	254	436	513	359	909	508	774	13642.0
