name	SRX2359277	SRX2359276	SRX2359239	SRX2359238	SRX2359259	SRX2359258	SRX2359271	SRX2359270	SRX2359255	SRX2359254	SRX2359257	SRX2359256	SRX2359237	SRX2359236	SRX2359235	SRX2359252	SRX2359274	SRX2359273	SRX2359272	SRX2359266	SRX2359267	SRX2359268	SRX2359269	SRX2359279	SRX2359260	SRX2359261	SRX2359262	SRX2359263	SRX2359264	SRX2359265	SRX2359248	SRX2359249	SRX2359246	SRX2359247	SRX2359244	SRX2359245	SRX2359242	SRX2359243	SRX2359240	SRX2359241	SRX2359253	SRX2359275	SRX2359278	SRX2359251	SRX2359282	SRX2359280	SRX2359281	SRX2359250
hsa-miR-150-5p	31218	6565	7839	15729	1323	2217	14038	1847	1461	3913	1521	940	26008	80922	17109	3688	2890	19581	15312	2744	2173	3589	9218	31569	1454	1051	2168	10467	1929	2194	8909	1390	997	695	6109	142791	34129	21804	21884	19630	3967	5401	65200	6356	13532	8561	15404	1775	701211.0
hsa-miR-484	4917	4602	23461	12736	363	1057	6641	1759	2114	2444	1096	901	72834	160617	13301	1988	4233	8594	6027	9610	1320	4140	2063	10101	19772	13068	4698	2486	20754	1901	13493	2730	21538	3188	5673	6953	94203	5686	44801	43812	2071	1841	7741	2294	4235	5296	9840	1070	696063.0
hsa-miR-148a-3p	7373	5445	14814	9204	679	2049	2630	673	2914	2099	1619	1196	91518	62681	7885	1499	3201	3750	3264	31863	3196	10001	1289	9775	4498	1562	3412	3429	5658	2073	5301	4434	1170	1876	8842	17466	37163	3928	33808	99288	2364	2147	7707	2058	7934	70630	9393	2017	618770.5
hsa-let-7i-5p	3131	3504	9227	10178	397	1489	2586	936	2309	2709	1607	1452	89408	150770	8272	1544	2347	4726	3456	2487	1592	3008	1372	4212	4489	943	1561	1984	4737	1880	7987	2330	1424	1373	5374	5462	47581	1205	33657	135124	1695	2307	2803	2097	2170	9180	5350	1072	596494.5
hsa-miR-10b-5p	12629	10677	17560	10411	1758	12330	9354	2886	6596	10935	3953	5671	6229	17405	10149	6233	5033	16113	9529	15933	4889	12831	5620	18342	8227	5459	4453	20987	24036	4429	11501	10665	2135	5809	10791	27417	53704	8352	12303	11051	16155	6369	17945	20787	10926	18484	7480	5568	558088.0
hsa-miR-10a-5p	6121	4984	11529	11959	567	5537	4411	1069	3754	3751	1710	2043	44806	49288	12089	2835	2633	10446	4668	10230	2363	6147	2794	10179	6202	2346	4264	10305	8003	2020	7052	6123	1153	1567	6856	100109	24431	4551	11044	77490	6894	2497	9268	6840	5921	3984	7862	2469	535152.5
hsa-miR-27b-3p	6552	3314	11223	12872	272	4046	2682	647	3740	2933	1535	1765	54852	113784	11920	2270	2389	5112	2757	5867	3521	4993	1231	7426	6095	1574	1867	6138	4621	1613	10227	8855	709	1210	4998	8272	25574	1840	24426	78503	3339	1569	7011	3710	9120	21563	4619	6411	511562.82
hsa-miR-320a-3p	3896	2455	10322	6402	580	1075	2020	1042	1425	1996	1408	987	46848	85245	6585	1358	2391	4474	2037	5800	1449	2680	1343	4927	9857	2828	2259	5329	8194	1083	8400	3077	9052	1650	4520	8595	47879	2030	25199	51510	1519	1574	4211	2461	3146	13021	6519	31126	453781.9400000001
hsa-miR-28-3p	4051	1948	8219	9591	311	1053	1808	442	1960	1955	942	460	72459	82914	9631	1002	1633	4022	2217	5027	568	2389	1104	8359	1041	307	1585	1874	1429	901	1707	1617	269	383	4119	17842	12687	1960	22159	83533	1878	1276	6564	1799	3828	28362	5588	465	427238.0
hsa-miR-192-5p	8410	5220	5927	3828	68	1547	1531	247	1878	1382	1146	1423	8362	59598	3576	1046	1178	2545	2238	1507	2305	1563	551	8862	2610	808	413	2436	3094	678	5483	4937	329	302	2592	5492	33921	1157	16997	13201	2253	606	12668	1787	27588	139385	1737	1183	407589.5
hsa-miR-151a-5p	1347	534	5212	8091	53	1618	1105	391	2453	1341	610	410	75154	129974	7163	1076	1139	3495	1774	711	696	1818	439	2826	323	250	872	1304	995	750	1188	1433	147	267	2716	2465	14204	750	15524	99369	1427	761	1472	659	1401	1887	3123	324	403030.5
hsa-miR-425-5p	3273	4442	7096	7330	99	1032	2385	607	1925	1667	1493	885	37213	96938	6481	1345	3348	6862	3271	6888	948	5185	1210	6115	2365	1648	1689	2112	12217	1709	7107	1895	2111	1100	4769	6774	48606	3516	20356	41853	2244	1690	5295	2246	4187	4186	5335	662	393710.0
hsa-miR-223-3p	963	4509	10435	10832	66	733	1173	141	1281	1032	565	275	66021	85983	8150	796	831	2694	1468	6058	687	5531	426	3742	432	144	2015	750	512	510	1025	1169	415	145	2872	12699	13910	3756	28195	58805	2252	556	3436	1557	730	245	4089	62	354673.0
hsa-miR-107	2081	1950	13726	6461	218	520	1063	760	1042	1395	624	804	22740	70013	6026	685	1630	1969	1488	1361	763	1487	719	3470	2283	1218	376	1702	10402	821	4983	1343	9300	1619	3407	3486	58858	1140	27504	36301	847	1081	2843	1098	1713	13660	3315	6187	338483.16000000003
hsa-let-7b-5p	1326	1387	4046	3612	98	326	1113	516	597	910	599	723	59565	101687	3444	814	1307	4095	1949	1288	642	760	875	1798	2119	491	774	1593	3105	604	6306	1134	921	409	1603	3221	25567	874	11427	66845	667	741	1345	1199	1160	3969	2324	521	332395.4
hsa-miR-101-3p	3034	4738	8093	6489	356	1807	1812	656	1864	2904	1369	2009	17647	52570	5597	2072	1711	2903	2608	2616	1541	2792	848	3409	2769	1304	1127	1399	5995	1069	6626	2273	1315	1134	4479	5685	74017	1463	22184	25587	2080	1963	3797	3615	2965	21725	3565	875	330456.0
hsa-miR-93-5p	1021	2736	4266	5469	69	825	1790	345	1823	1705	894	828	33379	97313	4515	1166	1706	5050	3051	1210	655	1463	875	1755	587	225	593	1077	2485	671	2522	713	244	208	1850	3314	42406	683	23628	44535	2130	1255	1609	1387	1369	3104	1767	586	312857.0
hsa-miR-30c-5p	1570	1012	5044	9154	90	1501	1147	370	1790	1782	713	391	55538	80666	7313	1364	934	3674	1499	1566	1067	2031	449	1845	742	556	1077	1972	1040	686	788	1161	286	302	2948	2157	10288	888	15972	61867	1340	1075	2443	1165	3310	9375	4031	288	308269.38
hsa-miR-140-3p	2426	2731	5968	6658	159	690	1431	262	1291	1470	1095	621	30479	54140	4863	852	1571	3093	1964	5480	860	3461	638	5161	784	498	870	1396	3901	882	1717	742	538	323	4640	12677	53317	2885	19764	40621	1561	1235	3994	1584	1536	6587	4248	275	303939.0
hsa-miR-363-3p	1434	1975	4883	2819	23	348	1524	208	638	454	592	421	7463	94345	2422	573	1269	2974	1997	1465	648	1063	571	3175	2648	735	418	674	6264	829	4292	896	1604	845	1385	3891	73953	1333	22306	8694	1032	407	2033	777	1538	2312	1943	567	274660.0
hsa-miR-182-5p	666	1326	3480	2455	130	469	1943	394	909	577	341	434	17242	88577	2253	481	1161	5565	3274	1120	648	883	789	2139	1457	341	148	2111	2198	853	2078	532	374	227	1437	2147	43443	633	28798	29716	1114	872	1104	433	51	7046	675	566	265610.0
hsa-miR-222-3p	1441	542	5894	2709	72	611	598	206	950	1557	330	432	101350	43357	1976	490	666	1800	807	965	608	1349	358	1819	259	205	646	770	625	542	354	522	118	297	1446	1951	6254	540	14018	54196	440	462	1185	538	719	1226	4411	92	262703.0
hsa-miR-16-2-3p	1477	1906	6757	2999	79	394	1519	331	864	1140	477	704	6893	73196	2472	777	1136	3259	1648	1581	935	1170	482	2120	5571	1235	568	681	5720	686	7486	1304	1673	1097	1597	1647	65568	743	19541	6844	949	649	1760	1228	1559	3818	2237	756	249233.0
hsa-miR-26b-5p	1123	926	3334	5628	124	1058	977	313	1335	1035	440	416	49335	60687	4039	930	889	2192	1492	1056	591	1437	643	1345	457	255	635	1159	1026	661	857	787	204	167	2165	2285	11767	667	12705	53489	861	786	1391	791	1590	3598	2454	492	242594.66
hsa-miR-27a-3p	1849	2389	9386	8950	279	982	1673	315	952	960	608	496	30284	43442	7125	1042	949	2752	1708	14217	1191	4456	722	3275	1955	640	1808	2148	1551	719	2792	2251	1324	720	2601	7927	12682	1743	13152	30924	1481	1341	4092	2145	1388	644	3078	502	239607.32
hsa-let-7d-5p	817	537	3289	4410	49	546	556	260	974	931	321	284	46224	52100	3449	554	654	1848	909	564	557	1023	297	953	340	225	253	870	965	390	1005	625	153	224	1704	1309	10891	375	12342	62524	569	762	829	612	730	1672	1864	210	223546.0
hsa-miR-130a-3p	1122	1081	7694	5625	113	595	569	219	952	633	377	359	17450	52497	4667	530	740	1380	847	976	512	1146	344	1747	3164	737	683	965	4760	508	2448	1135	1465	488	2101	2840	37856	694	16138	23564	647	543	1378	644	849	1976	1909	8229	217895.0
hsa-miR-221-3p	1112	737	3962	3368	84	590	565	245	633	800	409	285	45078	40275	2873	374	548	1565	687	2657	525	963	303	1937	2303	406	567	1137	1412	305	1277	993	1077	530	1922	4490	12326	739	10732	45453	522	562	1518	637	651	740	3001	480	204355.0
hsa-miR-143-3p	495	3052	9197	6347	317	936	606	80	1300	1875	432	879	24102	25684	5426	647	720	734	785	6453	296	3825	373	3740	594	159	1279	621	830	427	1162	2024	453	248	2906	6574	9982	1654	14798	36690	2511	1006	1654	2545	430	2286	2690	126	191950.0
hsa-let-7g-5p	1858	1147	2774	4360	93	511	1009	332	733	891	399	432	28784	42787	3292	612	645	2188	1523	823	658	851	660	2009	379	157	369	1224	1083	512	1359	534	136	165	1558	5004	13104	640	12309	43665	705	923	1774	681	984	2007	1877	371	190886.20999999996
hsa-miR-146a-5p	1422	534	1195	6315	10	704	302	116	899	873	859	220	25377	43199	2128	614	791	1406	899	628	308	616	374	3501	583	160	476	1260	1280	520	824	860	99	70	2570	3822	8814	1558	4637	49631	689	486	1272	730	520	445	1386	83	176061.5
hsa-miR-744-5p	472	348	2683	3504	58	412	382	104	774	681	410	119	42218	39631	4165	365	437	956	504	420	119	959	157	1084	124	85	372	346	210	325	239	406	30	40	1521	1230	3444	418	7163	49092	506	367	633	437	355	965	1632	102	171004.0
hsa-miR-126-3p	795	633	2313	3983	38	1088	499	160	1123	929	465	317	30690	39650	2828	890	684	2004	723	776	588	1344	293	1331	693	305	577	2466	1222	504	1059	880	202	241	1660	1379	11285	493	6906	31405	914	507	1014	1152	842	537	1652	366	162405.0
hsa-miR-127-3p	370	105	1862	2567	17	115	81	21	589	158	79	58	36524	49692	2694	166	291	560	573	237	80	941	105	1322	130	76	562	238	249	163	357	718	43	79	1537	3185	5602	421	6020	38566	691	253	786	215	218	417	1101	57	160891.0
hsa-let-7d-3p	1603	2231	4549	3076	259	497	1394	811	617	1089	584	527	21661	23506	3197	1136	1277	2682	1368	4372	1420	2735	567	2640	2501	1562	776	1630	2290	568	1884	887	1005	773	2354	4482	13295	1565	9050	14957	932	629	3054	1996	1345	2358	5063	428	159182.0
hsa-miR-99b-5p	1078	311	2509	2757	36	632	581	257	659	464	259	201	42794	29837	4047	489	422	1765	797	948	272	1060	371	2072	892	403	1675	1988	1130	314	1541	1096	270	366	537	5997	4044	543	4310	32316	938	154	1079	737	734	203	1910	290	158085.0
hsa-miR-199a-3p	1012	809	3343	3219	83	866	453	247	938	921	477	337	28640	26629	2578	567	598	1146	734	1877	553	1929	281	1706	988	209	489	579	734	391	573	843	134	883	2322	6293	7268	540	8241	38922	585	530	1043	663	405	365	2439	139	155520.18
hsa-miR-128-3p	1398	849	3846	2513	68	209	852	267	275	493	262	288	23228	27415	1800	391	724	1720	848	2512	621	1138	386	2560	1038	667	515	580	2559	333	1611	642	693	457	1192	3177	17057	811	14861	11452	366	470	1540	620	740	2027	2889	181	141141.0
hsa-miR-378a-3p	2154	1594	3138	2592	106	530	620	152	361	734	520	337	8246	17649	2231	379	451	1300	627	2149	799	1199	292	2088	671	736	428	1766	1654	320	1782	848	709	490	1717	3963	13473	799	9542	10431	777	562	2238	818	3135	29322	1366	1011	138795.90000000002
hsa-miR-584-5p	743	362	2089	2234	53	554	580	167	593	746	262	142	21116	36695	1821	401	594	1733	700	748	271	977	253	2149	3197	589	735	793	2073	377	1479	601	755	347	1863	2036	10323	720	8531	22114	510	515	943	547	508	1171	1879	203	138792.0
hsa-miR-92b-3p	1539	2427	3553	1425	252	861	2165	774	1279	1833	801	1004	9132	17974	2080	1661	1458	1581	2469	1035	840	2059	1045	2334	2478	3543	831	901	6661	947	2926	846	613	1453	2074	2081	17998	1340	6311	7064	1417	810	1689	1907	1979	6874	3038	676	138037.66999999998
hsa-miR-125a-5p	1525	500	1911	1982	55	541	588	234	589	471	274	221	37341	16845	2760	697	318	1899	861	660	298	1183	524	2463	352	303	951	1874	1022	226	948	764	131	215	677	6727	4342	899	3343	29275	1072	167	1775	1028	863	327	2161	191	134373.0
hsa-miR-148b-3p	497	245	2195	3154	25	850	426	138	1029	693	313	178	24375	28069	2816	360	466	858	577	342	358	842	112	976	197	126	379	394	508	341	314	678	98	102	1885	1161	5295	323	5994	37929	528	406	515	277	390	710	1828	54	130321.5
hsa-miR-144-3p	912	1400	2662	1887	40	438	1704	453	917	970	414	655	3984	26280	1388	1082	985	2490	2370	461	593	669	765	951	804	454	447	543	3282	483	3918	747	489	455	875	1378	35141	427	8502	4912	745	752	682	1264	1155	1900	1258	522	125605.0
hsa-miR-30a-5p	2257	1646	1806	1497	171	1389	934	234	1024	1155	730	674	5844	11472	1426	935	675	1649	936	1395	1255	2000	469	2279	3065	769	604	3637	1941	605	2925	2976	397	711	1812	6363	4614	883	1664	10632	1760	616	2753	2006	3167	15939	1186	1684	116552.0
hsa-miR-320b	649	425	4904	1099	256	337	380	251	325	358	258	210	3885	7762	1113	257	357	668	348	1219	249	532	304	768	8310	768	589	2338	1158	194	2460	1959	2564	587	701	2046	4060	454	2542	4401	311	292	702	351	593	1524	748	48463	115027.95
hsa-miR-409-3p	287	73	1194	4511	27	98	80	18	342	197	43	23	25667	23709	5247	154	233	345	314	56	61	634	73	775	69	64	202	236	148	146	216	378	19	51	1328	1075	2598	330	3243	28676	451	287	618	215	135	1077	817	20	106560.0
hsa-miR-23a-3p	717	825	2896	2929	59	450	524	151	593	530	251	178	14006	23455	2499	412	483	1517	600	3684	347	1382	280	1521	871	373	691	968	688	296	1072	796	624	238	1121	4244	6073	888	4270	14335	679	418	1555	718	622	279	1412	1264	104771.17
hsa-miR-652-3p	663	317	3437	1661	16	66	559	158	174	144	95	112	7777	27898	1541	96	534	1077	511	1395	117	318	253	1359	1378	410	274	329	3027	215	1942	327	2698	325	514	1746	17266	571	7266	8448	174	200	1268	185	436	507	759	286	100829.0
hsa-miR-342-3p	2787	559	870	2115	79	199	1254	157	216	467	169	53	8131	16558	1994	344	281	1959	1144	587	198	428	375	3463	77	99	343	719	161	121	750	265	56	43	585	16488	3648	1120	2414	7443	368	487	5540	450	747	734	1019	68	88132.0
hsa-miR-486-3p	512	936	2392	1031	33	172	607	171	388	579	365	431	4100	22794	1153	458	491	1214	1024	268	248	655	278	902	242	181	158	262	1498	215	1091	208	74	116	862	1200	22195	459	8506	3634	344	253	610	463	673	2633	871	160	88110.0
hsa-miR-29a-3p	2088	808	1756	3061	38	302	942	117	288	359	188	211	6324	14157	2442	254	382	1802	986	1929	397	786	540	3486	463	209	499	900	405	267	1346	1060	180	204	633	13241	5293	1283	3158	6249	459	526	3849	477	935	451	1227	280	87236.0
hsa-miR-30b-5p	411	269	850	1970	30	362	346	78	355	470	166	77	13694	17451	1406	308	279	1225	511	304	213	368	151	626	201	119	241	489	258	176	324	283	55	62	877	1061	4119	210	3786	17708	293	343	752	311	791	4906	995	67	80344.69
hsa-miR-199b-3p	503	403	1657	1592	41	431	223	122	466	454	239	170	14134	13144	1279	282	296	564	362	935	277	955	136	850	494	104	244	285	366	195	287	420	66	441	1150	3148	3612	267	4064	19130	292	265	517	330	198	183	1208	70	76848.84
hsa-miR-130b-3p	245	574	2751	1767	28	267	298	78	363	335	253	204	6685	14990	1593	192	271	432	346	333	164	535	158	675	724	200	182	286	1032	199	748	410	685	273	740	832	13132	293	5516	10055	249	150	485	183	382	720	479	5212	76703.0
hsa-miR-532-5p	502	737	1820	963	36	122	431	72	172	226	216	195	4940	17067	869	185	317	766	479	718	290	369	176	979	331	109	121	174	1559	159	709	171	84	155	674	2190	18684	388	8312	4215	367	172	576	394	380	2745	672	94	76082.0
hsa-miR-1307-5p	599	539	1975	1811	73	430	395	106	407	421	298	128	6754	10270	1576	184	494	638	257	2416	257	1026	215	970	1001	575	678	1262	1491	196	1800	1134	910	226	1504	2368	9696	459	3940	10558	335	512	958	690	544	559	1317	411	75363.0
hsa-miR-106b-3p	485	751	1501	872	54	162	592	119	382	497	294	274	5751	16502	837	349	437	1437	913	955	210	330	249	945	950	162	300	257	909	190	1973	435	135	93	579	1952	12422	387	4888	7167	398	385	733	577	438	3653	750	187	74818.0
hsa-miR-19b-3p	556	915	1590	1422	39	194	447	97	257	284	224	177	5214	14167	1075	260	336	716	646	607	366	638	140	749	274	146	145	244	1196	210	746	282	106	148	1040	1766	20546	419	4065	6097	381	286	670	392	438	2196	871	85	73865.68
hsa-miR-3615	808	924	2358	863	250	218	831	320	309	600	247	143	4195	8364	1176	299	722	858	780	2148	343	1094	396	1306	1533	1136	611	546	2516	292	1579	493	1064	414	1579	1561	8047	897	5335	3137	409	550	1268	781	733	3733	1818	296	69880.0
hsa-let-7e-5p	196	49	477	698	17	121	77	75	162	139	70	82	26139	5365	426	191	73	271	90	148	129	229	78	186	76	65	137	557	204	89	146	184	29	61	263	141	534	67	1525	24265	67	85	112	214	113	164	585	30	65193.25
hsa-miR-144-5p	390	719	1276	886	45	203	675	172	149	247	118	172	3087	13969	722	339	421	1100	892	439	352	400	344	315	463	308	145	398	831	227	1284	322	107	230	503	270	11457	178	6084	4612	207	414	272	318	410	1460	455	290	58677.0
hsa-miR-98-5p	121	93	363	726	8	91	86	31	148	188	65	46	12644	12499	549	75	89	219	135	64	105	211	46	224	37	13	98	106	95	111	170	115	9	12	368	213	1345	51	1822	22431	91	116	68	82	83	362	364	20	57009.40000000001
hsa-miR-181b-5p	690	536	782	1257	168	282	484	123	376	327	173	134	5264	9003	938	239	241	1199	402	1464	198	599	356	1106	466	217	445	881	430	248	1442	610	228	121	618	3277	2457	408	2234	8458	328	352	1316	533	723	1215	790	214	54347.16
hsa-miR-21-3p	430	266	1188	1084	112	245	274	66	353	203	173	88	5488	7008	1084	124	247	365	231	1221	134	379	151	780	2499	162	517	446	785	157	2161	1899	434	218	831	1296	3696	223	2639	9708	278	172	390	234	266	1082	677	500	52964.0
hsa-miR-654-3p	123	50	590	1073	0	38	35	11	234	46	21	23	11160	14579	970	67	91	227	212	49	22	407	48	416	33	45	122	70	105	62	85	177	15	35	643	844	3022	192	1973	13127	293	117	227	93	52	127	322	8	52281.0
hsa-miR-17-5p	206	322	623	1113	12	228	189	43	333	201	151	100	8174	12626	860	244	208	617	271	128	130	313	102	220	114	67	131	177	227	99	257	200	19	28	442	398	5393	104	2420	8901	257	203	213	208	252	275	469	70	48330.5
hsa-miR-106b-5p	227	603	1277	788	9	113	295	54	342	286	203	140	2910	12228	593	251	292	598	430	152	191	340	99	363	161	61	103	169	494	131	621	124	103	59	343	339	12914	136	2229	3207	305	230	350	326	247	520	322	99	46376.5
hsa-miR-335-5p	467	316	722	922	60	193	282	111	232	206	134	99	10381	6218	617	197	270	365	242	321	341	372	99	549	852	214	345	397	605	143	493	373	364	477	527	794	4696	194	1940	5742	261	143	559	307	232	395	988	847	45604.0
hsa-miR-941	304	180	2325	1266	15	123	233	29	317	131	135	88	7707	4581	1697	98	84	172	108	1713	46	536	159	297	206	11	364	96	356	42	287	212	80	47	399	2837	3769	649	3103	8078	275	27	228	291	142	238	526	53	44660.19000000001
hsa-miR-1246	50	147	2279	6864	48	27	281	47	20	36	38	7	4071	7137	6349	22	193	188	329	1364	22	128	87	253	148	109	377	148	14	34	520	467	111	6	121	991	322	169	2602	4294	48	281	517	43	347	26	126	2538	44346.0
