name	SRX2359277	SRX2359276	SRX2359239	SRX2359238	SRX2359259	SRX2359258	SRX2359271	SRX2359270	SRX2359255	SRX2359254	SRX2359257	SRX2359256	SRX2359237	SRX2359236	SRX2359235	SRX2359252	SRX2359274	SRX2359273	SRX2359272	SRX2359266	SRX2359267	SRX2359268	SRX2359269	SRX2359279	SRX2359260	SRX2359261	SRX2359262	SRX2359263	SRX2359264	SRX2359265	SRX2359248	SRX2359249	SRX2359246	SRX2359247	SRX2359244	SRX2359245	SRX2359242	SRX2359243	SRX2359240	SRX2359241	SRX2359253	SRX2359275	SRX2359278	SRX2359251	SRX2359282	SRX2359280	SRX2359281	SRX2359250
retained_intron#sense	0.16	0.16	0.06	0.27	0.25	0.13	0.17	0.28	0.09	0.08	0.09	0.13	0.05	0.05	0.23	0.09	0.17	0.14	0.14	0.51	0.12	0.18	0.35	0.13	0.34	0.15	0.28	0.25	0.06	0.2	0.14	0.3	0.23	0.17	0.1	0.27	0.06	0.14	0.08	0.05	0.1	0.18	0.16	0.1	0.21	0.09	0.16	0.74
antisense_RNA#sense	2.68	1.89	0.26	0.56	0.92	2.31	1.77	1.46	2.76	1.6	1.45	1.9	0.24	0.11	0.16	1.07	2.29	4.18	1.9	4.88	1.71	2.08	1.99	3.08	0.54	5.29	2.94	2.68	0.76	2.08	0.8	1.36	1.21	0.96	1.48	4.31	1.29	2.97	0.21	0.25	2.49	1.66	2.56	2.1	1.92	0.74	2.1	1.78
Mt_tRNA#antisense	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
hairpin#antisense	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
sense_overlapping#sense	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.03	0.01	0.01	0.01	0.02	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.03	0.01	0.02	0.01	0.02	0.01	0.01	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.23
lncRNA#antisense	9.52	12.66	3.06	3.8	41.86	15.31	6.18	15.03	6.55	16.98	14.26	15.6	1.54	0.53	3.43	13.45	7.05	3.98	6.86	2.19	22.63	9.77	9.14	1.72	7.77	4.99	7.42	11.02	2.47	12.21	6.84	8.64	7.94	16.62	6.8	1.62	1.06	4.9	1.81	1.21	11.8	15.43	5.3	18.05	6.73	5.54	6.22	8.91
piRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#antisense	0.03	0.05	0.01	0.06	0.09	0.07	0.03	0.1	0.03	0.05	0.05	0.07	0.01	0.0	0.02	0.05	0.05	0.02	0.04	0.03	0.05	0.05	0.07	0.02	0.04	0.05	0.04	0.06	0.02	0.1	0.03	0.05	0.03	0.06	0.03	0.02	0.01	0.03	0.01	0.01	0.05	0.05	0.03	0.05	0.05	0.02	0.02	0.32
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
protein_coding#antisense	0.21	0.3	0.07	0.29	0.46	0.37	0.19	0.49	0.2	0.25	0.32	0.37	0.04	0.03	0.08	0.38	0.27	0.16	0.21	0.21	0.31	0.27	0.32	0.17	0.24	0.24	0.29	0.4	0.1	0.61	0.21	0.28	0.17	0.31	0.17	0.15	0.1	0.24	0.04	0.04	0.25	0.33	0.19	0.32	0.3	0.18	0.15	2.18
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01
unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
protein_coding#sense	1.44	1.45	0.45	0.96	2.41	1.93	1.03	2.35	0.98	1.32	1.95	2.51	0.33	0.16	0.51	1.9	1.31	0.66	1.33	0.81	2.42	1.23	2.01	0.47	1.02	0.77	1.09	1.45	0.53	2.35	0.89	1.43	0.97	2.07	0.78	0.53	0.21	1.17	0.32	0.32	1.35	1.43	0.7	1.4	0.94	0.41	0.81	3.01
pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
rRNA#sense	2.37	3.7	0.93	5.1	2.98	4.28	3.1	5.63	2.66	2.0	1.72	3.81	0.88	0.43	0.64	1.85	3.01	2.75	2.9	3.4	2.28	2.47	6.11	2.06	1.88	1.93	3.01	4.94	0.82	4.26	1.71	2.04	1.25	3.02	1.95	4.46	0.48	2.07	0.85	0.82	1.98	2.64	2.96	3.93	3.55	1.1	2.09	1.66
rRNA#antisense	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.02	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.03
tRNA#sense	15.96	13.46	0.94	0.7	2.13	9.18	11.14	5.75	10.51	6.71	9.34	6.86	1.44	0.46	0.68	4.84	17.35	19.16	12.18	46.78	7.9	15.89	10.63	32.96	1.82	37.57	20.03	14.36	4.66	11.02	3.94	4.74	6.96	3.54	11.86	34.37	6.05	21.82	1.16	1.25	13.87	13.83	24.91	7.08	14.01	7.42	18.08	2.07
IG_J_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
misc_RNA#antisense	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
guide_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0
ribozyme#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_rRNA#sense	0.07	0.04	0.04	0.05	0.34	0.06	0.05	0.14	0.03	0.11	0.03	0.03	0.15	0.05	0.09	0.05	0.05	0.1	0.06	0.07	0.09	0.05	0.13	0.04	0.04	0.03	0.12	0.09	0.01	0.11	0.11	0.11	0.05	0.08	0.13	0.12	0.01	0.02	0.04	0.13	0.03	0.04	0.05	0.04	0.1	0.1	0.16	0.03
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_intronic#sense	0.27	0.32	0.01	0.03	0.06	0.13	0.36	0.44	0.26	0.16	0.3	0.14	0.02	0.01	0.01	0.11	0.91	0.41	0.33	0.62	0.2	0.27	0.29	1.19	0.03	0.28	0.75	0.34	0.12	0.41	0.07	0.1	0.1	0.1	0.27	0.34	0.11	0.32	0.01	0.01	0.17	0.61	0.95	0.17	0.27	0.32	1.11	0.27
TEC#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
IG_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_tRNA#sense	0.11	0.1	0.05	0.06	0.18	0.08	0.09	0.17	0.03	0.07	0.03	0.05	0.13	0.05	0.06	0.05	0.1	0.24	0.13	0.26	0.12	0.12	0.34	0.12	0.19	0.07	0.35	0.39	0.04	0.2	0.2	0.24	0.12	0.09	0.26	0.2	0.03	0.07	0.04	0.12	0.05	0.06	0.07	0.05	0.21	0.07	0.23	0.07
pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otherRNA#sense	0.14	0.22	0.08	0.05	0.04	0.07	0.17	0.12	0.05	0.09	0.06	0.12	0.16	0.09	0.07	0.06	0.13	0.15	0.13	0.1	0.14	0.18	0.28	0.12	0.13	0.05	0.12	0.11	0.03	0.12	0.29	0.23	0.55	0.33	0.13	0.19	0.03	0.09	0.08	0.14	0.07	0.11	0.17	0.11	0.12	0.06	0.13	0.34
TR_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0
mature#sense	39.62	38.64	63.52	32.75	7.33	28.39	48.96	25.05	32.46	27.83	18.44	28.05	32.45	44.35	40.15	20.27	31.29	33.48	43.91	15.37	23.15	29.19	27.91	26.71	61.77	28.76	23.21	22.69	78.17	30.73	58.85	34.5	34.85	36.78	34.59	23.97	72.79	25.26	66.27	32.7	33.41	18.6	27.38	28.64	41.59	65.81	29.16	17.26
vault_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
microRNA#sense	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otherRNA#antisense	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.05
non_coding#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_J_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_pseudogene#sense	0.01	0.04	0.01	0.02	0.02	0.05	0.01	0.02	0.02	0.04	0.05	0.03	0.0	0.0	0.01	0.05	0.01	0.02	0.01	0.01	0.02	0.03	0.02	0.01	0.03	0.02	0.03	0.04	0.01	0.03	0.02	0.04	0.03	0.02	0.01	0.01	0.0	0.01	0.0	0.0	0.04	0.01	0.02	0.04	0.03	0.0	0.01	0.08
Mt_rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
lincRNA#sense	1.82	1.34	1.41	0.7	8.71	2.03	1.28	3.55	1.26	3.62	1.41	8.26	0.46	0.13	0.67	1.26	1.4	0.79	1.0	1.54	3.08	2.42	1.85	0.6	1.53	1.09	6.44	1.93	0.34	1.93	0.85	1.83	0.74	3.39	1.24	0.9	0.68	0.65	0.47	0.3	1.76	2.2	0.91	4.23	2.0	1.2	2.41	2.91
IG_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#antisense	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.0	0.0	0.0	0.01	0.01	0.0	0.01	0.0	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.08
retained_intron#antisense	0.04	0.05	0.02	0.09	0.08	0.06	0.04	0.12	0.04	0.04	0.04	0.08	0.01	0.01	0.02	0.05	0.06	0.02	0.05	0.03	0.05	0.04	0.07	0.03	0.04	0.04	0.04	0.06	0.02	0.11	0.04	0.05	0.02	0.07	0.03	0.02	0.01	0.04	0.01	0.01	0.04	0.04	0.02	0.04	0.04	0.02	0.02	0.5
transcribed_unprocessed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
TR_V_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
