name	SRX3313436	SRX3313437	SRX3313434	SRX3313435	SRX3313432	SRX3313433	SRX3313430	SRX3313431	SRX3313454	SRX3313455	SRX3313456	SRX3313457	SRX3313443	SRX3313441	SRX3313438	SRX3313439	SRX3313440	SRX3313447	SRX3313446	SRX3313445	SRX3313442	SRX3313444	SRX3313425	SRX3313424	SRX3313427	SRX3313426	SRX3313421	SRX3313420	SRX3313423	SRX3313422	SRX3313450	SRX3313449	SRX3313448	SRX3313429	SRX3313428	SRX3313451	SRX3313452	SRX3313453	SRX3313418	SRX3313419	SRX3313458	SRX3313412	SRX3313413	SRX3313414	SRX3313415	SRX3313416	SRX3313417
hsa-miR-1468-5p	0	7	13	8	10	0	0	0	0	0	10	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2
hsa-miR-150-3p	0	0	63	0	2	0	0	0	0	0	176	4	0	11	31	0	0	0	0	0	2	0	0	6	0	10	0	3	0	0	0	0	0	0	2	0	0	0	0	17	14	0	0	0	0	0	13
hsa-miR-342-3p	3	0	95	4	8	50	108	11	5	4	605	6	0	18	415	2	0	4	0	11	29	4	0	14	6	4	22	0	0	14	2	0	0	0	6	0	2	3	9	51	9	171	10	5	8	0	2
hsa-miR-7-5p	0	0	0	0	0	8	27	0	0	0	17	0	0	4	98	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	41	0	0	3	0	0
hsa-miR-138-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-144-3p	7	0	0	0	979	6	40	0	3	0	30	0	0	5	106	0	0	0	73	25	0	9	0	4	5	0	10	2	0	335	0	0	8	0	0	0	0	11	44	0	4	37	0	0	0	0	7
hsa-miR-331-5p	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-523-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-26b-5p	87	71	417	29	216	584	1263	51	8	23	2650	40	25	253	4023	29	15	82	153	83	77	141	194	124	64	85	221	26	39	523	106	30	55	55	45	59	15	70	121	259	53	2412	37	83	59	38	33
hsa-miR-889-3p	3	6	0	0	9	72	153	0	0	0	133	0	0	36	650	0	11	2	0	0	0	0	4	18	7	4	0	0	0	0	9	0	4	0	0	0	0	5	0	0	0	383	3	5	7	0	0
hsa-miR-5189-5p	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-34c-3p	0	0	5	0	4	10	2	0	0	0	0	0	5	2	4	4	0	0	0	0	0	0	0	0	0	0	8	0	8	36	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0
hsa-miR-181c-5p	59	37	72	5	69	574	1119	15	2	4	1233	8	6	225	3955	6	13	28	30	18	19	12	56	113	47	14	29	12	18	56	70	21	8	25	11	11	29	46	22	53	5	2392	40	44	84	5	25
hsa-miR-1224-5p	0	0	0	0	7	2	4	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
hsa-miR-191-3p	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-214-3p	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0
hsa-miR-4640-3p	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-93-5p	7	7	53	0	307	52	103	2	7	0	251	8	2	19	375	2	0	6	83	29	24	29	19	16	4	0	8	3	6	313	5	0	8	0	2	0	6	13	44	41	7	212	5	4	9	9	5
hsa-miR-98-3p	0	0	0	0	0	0	4	0	0	0	0	0	4	0	4	0	0	6	0	2	0	0	0	0	0	0	12	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-33b-5p	0	0	0	0	0	15	19	0	0	0	39	6	0	3	101	0	0	2	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	55	0	0	2	0	0
hsa-miR-296-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-148a-3p	364	214	307	141	1424	439	814	310	200	58	724	78	182	306	1409	118	117	250	123	168	188	556	766	89	63	247	928	155	226	1489	241	84	107	269	135	180	75	136	449	543	110	794	71	161	75	135	288
hsa-miR-488-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-127-5p	0	0	0	0	0	2	12	5	0	0	10	0	0	6	66	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	31	0	0	0	0	0
hsa-miR-185-3p	0	5	0	0	4	3	2	0	0	0	2	0	4	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-377-3p	0	0	0	0	0	0	2	3	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-3085-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2682-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
hsa-miR-19b-3p	55	23	50	6	155	36	122	6	6	2	100	9	30	57	231	11	23	4	12	41	23	39	12	9	8	8	17	8	9	197	6	12	22	17	0	4	9	13	51	54	8	100	12	5	3	9	8
hsa-miR-3651	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1260b	0	0	2	0	6	2	2	0	0	2	9	0	0	2	14	0	0	0	0	0	1	4	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	10	0	8	1	0	0	0	0
hsa-miR-1260a	0	0	7	0	3	6	2	0	0	0	5	0	0	2	13	0	0	0	0	0	1	4	0	0	0	10	5	0	1	11	0	3	0	0	0	0	0	0	0	3	0	15	1	0	0	0	0
hsa-miR-18a-5p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-331-3p	0	0	0	0	0	19	32	0	0	0	29	0	0	0	108	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	74	0	4	4	0	0
hsa-miR-499a-5p	6	0	0	0	0	4	2	0	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
hsa-miR-26b-3p	0	0	6	0	3	6	3	0	0	0	16	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	5	2	0	10	0	0	2	0	2	6	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-944	0	0	0	0	0	3	2	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-941	6	0	28	6	7	17	37	0	2	0	67	6	0	4	137	0	0	0	0	8	5	3	7	6	0	2	3	0	0	59	5	0	0	0	3	12	0	2	7	23	7	84	0	4	3	0	0
hsa-miR-940	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-519a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-628-5p	0	0	0	0	0	2	17	0	0	0	5	0	0	0	32	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	27	0	0	0	0	0
hsa-miR-494-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-181c-3p	14	13	10	0	5	51	112	17	0	0	76	8	0	8	350	2	0	0	0	0	9	2	12	6	10	2	0	0	0	10	2	8	2	11	0	0	0	0	0	0	0	242	3	3	6	2	0
hsa-miR-873-5p	0	2	0	0	8	14	47	5	0	0	55	0	0	0	163	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	5	3	3	0	0	0	113	0	0	3	0	0
hsa-miR-4729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c-5p	231	148	840	75	1313	766	1647	195	31	24	1054	133	130	331	4750	49	108	337	102	120	92	498	494	163	85	126	427	51	160	442	274	145	131	190	63	138	32	104	159	361	76	3316	75	123	120	32	319
hsa-miR-6500-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1295a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
hsa-miR-518e-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-483-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-488-3p	0	0	0	0	0	5	9	0	0	0	7	0	0	0	30	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	5
hsa-miR-127-3p	221	89	69	21	246	1909	4393	43	13	3	3221	38	17	799	16243	7	26	142	20	16	7	104	97	469	124	81	60	13	57	68	239	33	29	30	19	41	7	135	56	59	12	10018	112	122	204	4	4
hsa-miR-323b-3p	0	0	0	0	5	19	30	0	4	0	25	0	0	4	96	0	0	0	0	0	0	0	0	3	0	3	6	0	6	9	0	0	5	9	0	0	2	0	6	12	0	64	0	0	2	9	0
hsa-miR-935	0	0	0	0	0	4	9	0	0	0	5	0	0	5	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	0	0	0	0
hsa-miR-450b-5p	0	0	0	0	2	0	0	7	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-130a-3p	53	41	97	42	238	69	149	198	19	4	65	32	25	47	320	23	21	35	27	35	57	64	95	18	13	68	65	16	97	145	29	37	41	113	24	13	24	13	70	107	10	155	4	6	6	17	51
hsa-miR-496	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-361-5p	8	12	20	0	14	39	57	0	0	2	74	0	0	15	183	16	0	0	2	7	21	11	0	3	4	11	13	0	0	0	0	2	6	0	2	3	6	0	7	5	0	94	0	2	0	0	0
hsa-miR-3196	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-18a-3p	0	0	0	0	5	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsv2-miR-H10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-1912-5p	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-499a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
hsa-miR-5010-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9
Hsa-Mir-3059_5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
hsa-miR-365b-5p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4670-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-431-5p	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-513c-5p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-628-3p	0	0	0	0	0	5	4	0	0	0	4	0	0	0	19	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-512-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-873-3p	0	0	0	0	0	3	2	4	0	0	2	0	0	0	21	0	0	0	0	0	5	0	0	0	0	11	4	0	0	0	0	0	0	7	0	0	0	0	2	0	0	13	0	0	0	0	0
hsa-miR-484	8	0	54	0	45	28	56	0	0	3	94	5	0	6	165	0	0	0	0	8	0	4	0	3	0	0	0	0	0	22	0	0	8	0	5	0	0	0	18	9	0	104	0	2	2	0	0
hsa-miR-99a-5p	33	12	58	9	174	153	267	18	6	4	181	13	21	46	1060	23	27	21	29	23	17	37	95	29	20	34	68	7	13	56	46	12	12	24	9	39	16	27	29	10	10	505	3	7	13	0	11
hsa-miR-4705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
hsa-let-7c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-425-5p	4	0	33	0	303	29	57	13	8	0	181	2	2	9	133	0	0	0	40	11	9	7	2	9	3	0	0	0	0	138	0	0	2	14	5	4	2	5	13	8	4	104	3	0	4	0	5
hsa-miR-2467-5p	0	0	0	0	0	0	6	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
hsa-miR-3182	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-483-3p	3	0	6	0	3	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-501-5p	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-133a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-3615	0	0	6	0	45	2	11	0	3	0	67	5	0	0	22	0	0	0	4	13	4	9	20	2	2	0	5	3	9	17	5	4	0	10	7	0	0	0	0	5	0	26	0	0	0	0	8
hsa-miR-3127-5p	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-361-3p	14	0	43	4	18	12	15	0	2	2	252	0	0	7	121	0	0	5	4	5	8	5	15	0	2	6	12	0	0	0	0	0	0	6	0	0	0	0	11	2	4	62	0	2	4	5	0
hsa-miR-3180-5p	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-29b-3p	2	0	0	0	0	33	68	0	0	0	83	0	0	5	302	0	0	0	0	0	0	0	2	6	3	4	0	0	6	8	4	1	0	0	0	0	0	4	0	0	0	106	0	2	5	0	0
hsa-miR-937-3p	0	0	14	0	12	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-1912-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-125b-1-3p	4	3	4	4	31	7	29	0	0	0	7	3	13	9	60	0	5	2	9	3	4	17	20	13	0	4	18	3	7	29	8	0	4	0	3	0	0	9	0	12	4	62	0	0	0	3	0
hsa-miR-376c-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5010-3p	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-365b-3p	0	0	0	0	2	0	4	4	0	0	1	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0
hsa-miR-431-3p	0	0	0	0	0	5	21	0	0	0	8	0	0	2	74	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	2	0	0
hsa-miR-30d-5p	403	293	1110	93	1599	1101	2425	377	182	52	2689	71	191	567	5817	161	141	317	274	302	378	515	884	271	179	372	525	40	346	1013	287	142	263	331	138	242	181	165	587	604	119	3512	106	232	139	118	155
hsa-miR-29b-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30c-2-3p	3	0	27	3	6	3	7	0	0	0	3	0	2	15	19	0	8	9	0	0	0	11	10	0	2	0	0	2	25	11	0	4	0	0	2	0	0	0	14	21	0	13	0	5	0	0	0
hsa-miR-107	13	23	86	16	1300	100	160	66	12	12	308	40	26	61	666	15	33	32	111	24	19	33	59	16	14	38	75	6	43	215	25	22	37	19	13	36	51	28	56	77	11	368	6	6	8	14	42
hsa-miR-152-5p	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-5690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-12136	0	0	9	0	18	8	13	0	0	0	36	0	0	2	51	0	0	5	0	0	0	3	8	2	0	0	0	0	2	9	3	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0
hsa-miR-99a-3p	5	0	0	0	10	8	11	0	0	0	7	0	0	5	41	0	0	0	0	0	6	16	0	2	0	0	0	0	0	23	0	0	2	5	0	0	0	0	0	6	0	32	0	0	0	0	0
hsa-miR-12135	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3168	2	0	12	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	2	0	0	0	0	0	4	12	0	9	29	3	0	2	0	0	0	0	0	6	0	0	0	0	2	0	2	0
hsa-miR-425-3p	0	0	0	0	12	0	5	0	0	0	12	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
hsa-miR-4662a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
hsa-miR-670-3p	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-501-3p	2	0	10	0	0	6	0	0	0	0	4	0	0	3	50	2	0	0	0	0	0	0	3	0	0	0	9	0	8	0	3	0	3	0	0	0	0	2	7	0	0	5	0	0	0	0	0
hsa-miR-3681-5p	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6716-3p	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
