name	SRX3313436	SRX3313437	SRX3313434	SRX3313435	SRX3313432	SRX3313433	SRX3313430	SRX3313431	SRX3313454	SRX3313455	SRX3313456	SRX3313457	SRX3313443	SRX3313441	SRX3313438	SRX3313439	SRX3313440	SRX3313447	SRX3313446	SRX3313445	SRX3313442	SRX3313444	SRX3313425	SRX3313424	SRX3313427	SRX3313426	SRX3313421	SRX3313420	SRX3313423	SRX3313422	SRX3313450	SRX3313449	SRX3313448	SRX3313429	SRX3313428	SRX3313451	SRX3313452	SRX3313453	SRX3313418	SRX3313419	SRX3313458	SRX3313412	SRX3313413	SRX3313414	SRX3313415	SRX3313416	SRX3313417
rRNA#sense	1.52	0.84	0.91	0.95	0.42	0.27	1.92	0.32	0.38	0.24	2.88	0.35	1.46	0.77	1.61	0.83	0.57	0.21	1.07	0.55	1.94	0.85	0.55	1.31	0.95	0.29	0.35	2.47	0.76	0.47	0.3	0.4	0.47	0.46	1.67	0.15	0.12	0.24	0.65	0.63	0.36	3.77	2.9	0.94	0.46	0.39	0.99	42.910000000000004
lincRNA#antisense	0.66	0.47	0.46	0.41	0.33	0.4	0.82	0.33	0.7	0.67	0.55	0.47	0.32	0.5	0.77	0.47	0.38	0.44	0.89	0.47	0.64	0.54	0.39	0.46	0.32	0.39	0.37	0.45	0.44	0.3	0.65	0.72	0.58	0.4	0.39	0.64	1.14	0.55	0.38	0.4	1.0	0.88	0.41	0.33	0.27	0.38	0.4	24.329999999999995
protein_coding#antisense	0.47	0.42	0.3	0.39	0.21	0.24	0.37	0.31	0.34	0.3	0.21	0.28	0.34	0.37	0.28	0.39	0.26	0.26	0.4	0.42	0.44	0.43	0.36	0.56	0.43	0.32	0.28	0.44	0.36	0.32	0.39	0.44	0.34	0.39	0.47	0.33	0.66	0.28	0.34	0.29	0.42	0.52	0.43	0.43	0.26	0.33	0.33	17.149999999999995
processed_transcript#sense	0.1	0.12	0.4	0.47	0.25	0.3	0.19	0.51	0.11	0.1	0.1	0.1	0.06	0.13	0.12	0.12	0.13	0.08	0.18	0.14	0.1	0.14	0.38	0.49	0.38	0.32	0.34	0.3	0.33	0.24	0.11	0.12	0.09	0.54	0.37	0.13	0.43	0.08	0.25	0.39	0.17	0.21	0.15	0.29	0.35	0.34	0.34	11.090000000000002
antisense_RNA#antisense	0.15	0.13	0.15	0.13	0.1	0.17	0.28	0.13	0.24	0.25	0.34	0.14	0.06	0.13	0.3	0.17	0.14	0.14	0.25	0.19	0.13	0.19	0.17	0.18	0.11	0.17	0.19	0.1	0.16	0.11	0.21	0.27	0.19	0.17	0.12	0.25	0.49	0.19	0.14	0.14	0.29	0.38	0.15	0.15	0.12	0.15	0.14	8.65
mature#antisense	0.24	0.74	0.08	0.17	0.06	0.06	0.3	0.07	0.09	0.03	0.08	0.04	0.08	0.14	0.28	0.13	0.1	0.12	0.07	0.09	0.23	0.19	0.15	0.21	0.18	0.15	0.1	0.14	0.12	0.11	0.09	0.08	0.14	0.12	0.23	0.08	0.36	0.08	0.22	0.11	0.08	0.11	0.05	0.16	0.06	0.09	0.08	6.690000000000001
retained_intron#sense	0.11	0.09	0.17	0.18	0.11	0.15	0.16	0.18	0.08	0.07	0.14	0.08	0.07	0.09	0.15	0.08	0.1	0.05	0.15	0.1	0.15	0.09	0.15	0.19	0.16	0.14	0.12	0.16	0.16	0.12	0.09	0.09	0.1	0.18	0.16	0.08	0.14	0.07	0.17	0.15	0.09	0.2	0.09	0.13	0.12	0.14	0.15	5.9
Mt_tRNA#sense	0.08	0.01	0.25	0.06	0.05	0.04	0.53	0.01	0.02	0.02	0.67	0.05	0.09	0.1	0.54	0.01	0.01	0.01	0.05	0.16	0.27	0.03	0.0	0.18	0.03	0.0	0.01	0.27	0.02	0.06	0.01	0.0	0.02	0.01	0.18	0.0	0.0	0.02	0.05	0.1	0.05	0.45	0.09	0.06	0.03	0.01	0.04	4.749999999999998
snoRNA#sense	0.07	0.01	0.15	0.03	0.01	0.03	0.44	0.0	0.01	0.01	0.61	0.06	0.08	0.07	0.41	0.01	0.01	0.0	0.04	0.14	0.21	0.01	0.0	0.19	0.03	0.0	0.01	0.13	0.01	0.02	0.0	0.01	0.01	0.01	0.19	0.0	0.0	0.01	0.03	0.06	0.04	0.54	0.04	0.03	0.03	0.02	0.07	3.8899999999999975
processed_transcript#antisense	0.05	0.13	0.07	0.11	0.05	0.05	0.06	0.03	0.07	0.04	0.07	0.08	0.02	0.05	0.07	0.04	0.09	0.05	0.08	0.05	0.05	0.05	0.05	0.06	0.04	0.06	0.06	0.08	0.05	0.03	0.05	0.06	0.06	0.04	0.07	0.06	0.29	0.04	0.05	0.07	0.07	0.11	0.05	0.05	0.04	0.05	0.11	3.0599999999999996
retained_intron#antisense	0.08	0.07	0.05	0.07	0.04	0.04	0.07	0.05	0.05	0.05	0.03	0.05	0.03	0.06	0.05	0.06	0.05	0.04	0.09	0.06	0.08	0.06	0.06	0.11	0.08	0.05	0.04	0.07	0.06	0.05	0.06	0.07	0.06	0.07	0.08	0.05	0.12	0.04	0.06	0.05	0.07	0.19	0.07	0.05	0.03	0.05	0.05	2.92
nonsense_mediated_decay#antisense	0.06	0.04	0.04	0.05	0.03	0.05	0.06	0.05	0.06	0.06	0.03	0.06	0.03	0.06	0.03	0.05	0.03	0.04	0.05	0.07	0.04	0.06	0.06	0.09	0.06	0.05	0.05	0.07	0.06	0.05	0.08	0.08	0.05	0.06	0.06	0.06	0.14	0.05	0.05	0.04	0.08	0.06	0.04	0.05	0.05	0.06	0.05	2.6000000000000005
sense_intronic#sense	0.07	0.04	0.03	0.04	0.03	0.03	0.23	0.02	0.02	0.02	0.07	0.02	0.1	0.07	0.13	0.02	0.03	0.02	0.04	0.03	0.03	0.05	0.04	0.05	0.04	0.03	0.02	0.02	0.02	0.01	0.02	0.03	0.02	0.03	0.03	0.03	0.07	0.02	0.03	0.02	0.04	0.21	0.04	0.03	0.02	0.02	0.05	2.0800000000000005
nonsense_mediated_decay#sense	0.05	0.03	0.02	0.03	0.02	0.02	0.03	0.02	0.03	0.03	0.01	0.03	0.03	0.03	0.03	0.04	0.02	0.02	0.04	0.03	0.09	0.03	0.03	0.12	0.06	0.04	0.02	0.03	0.03	0.04	0.05	0.04	0.03	0.03	0.06	0.03	0.07	0.02	0.03	0.02	0.04	0.04	0.08	0.05	0.02	0.03	0.02	1.7100000000000009
snRNA#sense	0.04	0.04	0.01	0.03	0.01	0.01	0.05	0.01	0.0	0.0	0.14	0.01	0.09	0.03	0.05	0.03	0.02	0.01	0.01	0.02	0.06	0.04	0.02	0.06	0.03	0.01	0.01	0.11	0.01	0.01	0.01	0.01	0.01	0.01	0.07	0.0	0.01	0.0	0.02	0.02	0.01	0.07	0.03	0.03	0.01	0.01	0.03	1.3200000000000005
processed_pseudogene#antisense	0.05	0.01	0.02	0.02	0.01	0.01	0.06	0.01	0.01	0.01	0.04	0.0	0.02	0.02	0.05	0.03	0.01	0.01	0.02	0.01	0.03	0.03	0.02	0.01	0.01	0.01	0.01	0.03	0.04	0.02	0.01	0.02	0.01	0.01	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.12	0.03	0.02	0.01	0.01	0.02	0.9800000000000004
misc_RNA#sense	0.02	0.01	0.01	0.01	0.01	0.01	0.06	0.01	0.01	0.0	0.03	0.01	0.02	0.02	0.04	0.01	0.01	0.01	0.01	0.01	0.03	0.01	0.01	0.02	0.03	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.0	0.01	0.01	0.06	0.02	0.01	0.0	0.01	0.01	0.6800000000000004
processed_pseudogene#sense	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.0	0.01	0.1	0.01	0.01	0.01	0.04	0.01	0.02	0.05	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.03	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.6600000000000003
miRNA#sense	0.01	0.02	0.01	0.01	0.02	0.01	0.03	0.01	0.01	0.01	0.04	0.01	0.01	0.01	0.04	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.01	0.01	0.01	0.01	0.6200000000000003
Mt_rRNA#sense	0.02	0.0	0.0	0.0	0.0	0.01	0.1	0.0	0.01	0.0	0.07	0.01	0.01	0.01	0.08	0.01	0.0	0.0	0.0	0.01	0.02	0.01	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.01	0.0	0.11	0.02	0.01	0.01	0.0	0.01	0.6100000000000002
sense_intronic#antisense	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.02	0.01	0.03	0.0	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.0	0.01	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.02	0.02	0.01	0.02	0.01	0.02	0.08	0.01	0.01	0.01	0.04	0.01	0.01	0.0	0.0	0.01	0.01	0.5600000000000003
sense_overlapping#sense	0.0	0.01	0.01	0.01	0.01	0.0	0.02	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.02	0.01	0.01	0.0	0.02	0.01	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.0	0.01	0.01	0.02	0.03	0.01	0.0	0.0	0.0	0.01	0.41000000000000014
piRNA#sense	0.01	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.04	0.01	0.01	0.01	0.02	0.0	0.0	0.0	0.01	0.01	0.02	0.01	0.0	0.02	0.0	0.0	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.01	0.01	0.03	0.01	0.01	0.0	0.0	0.02	0.3500000000000001
otherRNA#antisense	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.26000000000000006
guide_RNA #sense	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.03	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.15000000000000002
snRNA#antisense	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.13
unprocessed_pseudogene#sense	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.01	0.0	0.0	0.0	0.0	0.09999999999999999
macro_lncRNA#sense	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.08
miRNA#antisense	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07
sense_overlapping#antisense	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.03
scaRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.03
unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.02
pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
non_coding#antisense	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
Mt_rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
macro_lncRNA#antisense	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
snoRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
	sumtRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hairpin#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
piRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_J_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
misc_RNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
