name	SRX1936168	SRX1936162	SRX1936158	SRX1936159	SRX1936164	SRX1936154	SRX1936155	SRX1936149	SRX1936157	SRX1936150	SRX1936151	SRX1936152	SRX1936153	SRX1936165	SRX1936161	SRX1936163	SRX1936167	SRX1936160	SRX1936166	SRX1936156
bidirectional_promoter_lncRNA#sense	0.0	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.01	0.01	0.0	0.01	0.02	0.0	0.01	0.0	0.01
unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
protein_coding#sense	2.05	3.08	2.2	1.85	0.58	1.88	2.12	2.07	1.99	2.34	2.32	1.99	1.8	2.43	3.09	3.21	1.22	1.81	0.94	2.19
pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rRNA#sense	25.23	21.3	28.97	26.52	5.62	21.1	31.14	15.87	27.47	18.98	21.99	23.56	27.96	31.36	24.5	21.69	8.23	27.22	8.07	29.16
rRNA#antisense	0.0	0.05	0.02	0.01	0.0	0.01	0.02	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.05	0.03	0.0	0.01	0.0	0.02
tRNA#sense	3.79	1.03	1.87	1.4	5.44	8.36	2.04	14.06	5.98	11.77	12.3	6.83	5.29	1.62	0.59	0.95	3.82	0.9	6.41	2.4
IG_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
guide_RNA #sense	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.0
misc_RNA#antisense	0.03	0.01	0.03	0.01	0.01	0.01	0.02	0.0	0.01	0.01	0.01	0.01	0.01	0.03	0.01	0.01	0.02	0.01	0.01	0.02
ribozyme#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_rRNA#sense	0.15	0.04	0.14	0.15	0.23	0.1	0.3	0.22	0.95	0.25	0.28	0.09	0.08	0.18	0.04	0.03	0.17	0.07	0.19	0.41
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_intronic#sense	0.23	0.28	0.2	0.16	0.08	0.18	0.25	0.36	0.52	0.36	0.33	0.16	0.14	0.08	0.23	0.26	0.13	0.13	0.21	0.32
TEC#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
IG_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_tRNA#sense	0.52	0.01	0.1	0.12	0.16	0.24	0.58	0.74	1.61	0.74	1.05	0.22	0.18	0.78	0.0	0.0	0.16	0.04	0.15	0.76
pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otherRNA#sense	1.56	0.4	1.45	1.4	0.61	1.25	1.59	1.13	1.28	1.18	1.33	1.38	1.72	2.0	0.39	0.56	0.82	1.41	0.81	1.55
mature#sense	24.88	3.03	7.67	6.46	75.98	29.59	3.87	29.85	12.08	22.77	18.45	21.17	19.73	18.65	1.66	2.03	64.5	4.31	65.78	4.08
vault_RNA #sense	0.01	0.0	0.03	0.02	0.0	0.01	0.01	0.02	0.02	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.01
gRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
microRNA#sense	0.01	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.02	0.0	0.03	0.0
otherRNA#antisense	0.0	0.0	0.04	0.03	0.0	0.01	0.04	0.0	0.02	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.03	0.0	0.04
non_coding#antisense	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.05	0.0	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_pseudogene#sense	0.03	0.06	0.06	0.05	0.01	0.03	0.07	0.03	0.05	0.05	0.04	0.04	0.04	0.02	0.05	0.08	0.02	0.05	0.01	0.07
Mt_rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.01	0.0
lincRNA#sense	3.87	3.41	2.68	2.2	0.43	0.96	2.54	0.83	1.86	1.37	1.41	1.37	1.3	5.9	3.8	3.55	0.87	2.23	0.8	2.57
IG_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#antisense	0.0	0.1	0.07	0.04	0.0	0.02	0.06	0.01	0.04	0.03	0.03	0.04	0.04	0.01	0.09	0.09	0.0	0.04	0.01	0.06
retained_intron#antisense	0.32	1.4	0.7	0.77	0.04	0.22	0.69	0.14	0.45	0.24	0.26	0.35	0.36	0.41	1.63	1.09	0.13	0.82	0.11	0.67
transcribed_unprocessed_pseudogene#sense	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0
TR_V_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
snRNA#sense	0.14	0.46	0.13	0.1	0.15	0.39	0.15	0.21	0.3	0.18	0.2	0.33	0.29	0.18	0.32	0.41	0.08	0.09	0.1	0.14
lncRNA#sense	0.77	1.82	2.73	1.76	0.39	1.09	2.75	0.64	2.14	1.25	1.1	1.78	1.64	0.89	1.38	2.23	0.84	1.61	0.77	2.89
hairpin#sense	0.04	0.01	0.01	0.01	0.05	0.05	0.04	0.05	0.14	0.05	0.06	0.04	0.04	0.02	0.01	0.01	0.06	0.01	0.05	0.05
non_coding#sense	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
antisense_RNA#antisense	0.46	1.12	0.98	0.69	0.34	0.41	0.89	0.34	0.77	0.54	0.59	0.54	0.49	0.54	1.02	1.27	0.45	0.71	0.51	0.9
macro_lncRNA#sense	0.01	0.04	0.09	0.05	0.0	0.02	0.09	0.01	0.06	0.02	0.02	0.04	0.03	0.01	0.05	0.05	0.0	0.05	0.01	0.1
vaultRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miRNA#antisense	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.01	0.0	0.01
unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miRNA#sense	0.07	0.14	0.09	0.07	0.29	0.12	0.08	0.15	0.12	0.13	0.16	0.09	0.08	0.07	0.16	0.14	0.33	0.06	0.35	0.07
mature#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
snoRNA#sense	3.29	0.06	0.1	0.1	0.76	0.19	0.17	0.22	0.35	0.25	0.21	0.16	0.13	3.39	0.04	0.05	1.29	0.11	1.01	0.18
TR_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#antisense	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0
un-assigned	20.215497222686658	46.292269830824	35.154541612738846	43.686875079885425	3.870548276703915	21.08249302833314	37.70074848593591	17.2268056961411	29.66191395933048	20.923087255083026	21.541270887849503	27.199810227526555	27.047521964306338	20.543193301941912	44.812231470240185	45.841621278582174	8.096849778703463	45.70778101483484	5.946116242155833	38.367350988777645
nonsense_mediated_decay#sense	0.18	0.36	0.21	0.17	0.03	0.14	0.21	0.16	0.17	0.17	0.17	0.15	0.14	0.22	0.38	0.34	0.08	0.17	0.08	0.2
non_stop_decay#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
scaRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
srpRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
piRNA#sense	0.1	0.06	0.1	0.09	0.06	0.19	0.13	0.19	0.21	0.19	0.22	0.13	0.12	0.13	0.06	0.07	0.09	0.1	0.14	0.11
transcribed_unprocessed_pseudogene#antisense	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.01
scRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nonsense_mediated_decay#antisense	0.13	0.13	0.12	0.1	0.07	0.06	0.13	0.05	0.1	0.08	0.08	0.09	0.08	0.14	0.11	0.12	0.15	0.09	0.18	0.12
sRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
snRNA#antisense	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01
srpRNA#sense	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.01
unprocessed_pseudogene#sense	0.02	0.03	0.02	0.02	0.0	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.04	0.01	0.02	0.01	0.02
TR_J_gene#sense	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.02	0.0	0.0	0.0	0.0
macro_lncRNA#antisense	0.0	0.01	0.03	0.02	0.0	0.01	0.02	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.02	0.05	0.0	0.01	0.0	0.02
transcribed_processed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#sense	0.0	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.01	0.0	0.01
lincRNA#antisense	3.02	4.13	2.12	2.04	0.55	1.6	2.11	3.01	2.14	2.87	2.7	1.62	1.48	2.8	4.26	4.1	1.98	2.24	1.39	2.03
microRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_intronic#antisense	0.08	0.15	0.25	0.23	0.04	0.04	0.29	0.04	0.23	0.07	0.08	0.06	0.06	0.03	0.15	0.17	0.07	0.22	0.13	0.3
misc_RNA#sense	0.06	0.15	0.8	0.69	0.05	0.48	0.38	0.49	1.03	0.63	0.67	0.39	0.36	0.07	0.13	0.16	0.06	0.46	0.07	0.39
snoRNA#antisense	0.0	0.02	0.02	0.02	0.0	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.0	0.01	0.03	0.01	0.02	0.01	0.02
scaRNA#sense	0.0	0.0	0.01	0.0	0.02	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.02	0.0	0.02	0.0
polymorphic_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TEC#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
