name	SRX1936168	SRX1936162	SRX1936158	SRX1936159	SRX1936164	SRX1936154	SRX1936155	SRX1936149	SRX1936157	SRX1936150	SRX1936151	SRX1936152	SRX1936153	SRX1936165	SRX1936161	SRX1936163	SRX1936167	SRX1936160	SRX1936166	SRX1936156
hsa-miR-151a-5p	41	16	17	22	14609	6656	14	6045	151	1184	246	1021	598	101	3	4	194	20	1725	18	32682.0
hsa-miR-122-5p	0	0	1602	2597	40	4707	626	5375	2335	3026	1395	3363	3421	0	0	0	6	1430	7	857	30787.0
hsa-miR-744-5p	215	17	85	84	17024	1207	56	1011	104	700	496	841	725	748	4	20	1522	108	5073	58	30098.0
hsa-miR-1260a	138	7	64	113	18107	170	60	124	142	98	67	112	112	42	7	9	2330	41	8034	62	29834.0
hsa-miR-31-5p	100	156	388	215	11581	3689	173	1209	381	796	600	3192	3069	23	111	34	491	178	2651	190	29227.0
hsa-miR-182-5p	107	14	245	220	13542	1709	135	2882	212	1434	841	1196	1157	389	22	15	1368	145	2511	86	28230.0
hsa-let-7e-5p	235	156	58	104	14761	864	52	2617	232	1648	1106	607	552	205	126	98	424	68	2487	77	26474.750000000004
hsa-miR-17-5p	2	9	289	168	12046	2179	140	2107	341	1167	726	2229	2030	9	17	9	330	126	2397	101	26420.519999999997
hsa-miR-200a-5p	212	0	57	100	7821	379	11	351	29	264	133	277	248	3608	0	0	6775	54	5446	12	25777.0
hsa-miR-934	0	0	0	0	18444	1068	14	1837	30	986	671	953	781	148	0	0	14	0	707	13	25666.0
hsa-miR-423-5p	809	252	255	406	5002	2174	179	1469	529	1269	642	1576	1445	850	175	153	1275	249	5725	213	24647.0
hsa-miR-193b-3p	13	6	102	128	14908	877	65	1511	123	900	573	691	637	12	6	4	561	62	2447	58	23684.0
hsa-miR-106b-5p	4	4	91	73	14943	1165	100	1212	161	705	447	1061	1055	29	12	2	210	45	1804	70	23193.0
hsa-miR-615-3p	26	3	4	9	15938	49	4	340	35	420	189	23	27	129	0	0	508	5	4811	14	22534.0
hsa-miR-155-5p	27	19	524	510	433	7315	47	206	132	84	58	5013	4739	227	8	10	1456	290	1232	43	22373.0
hsa-miR-125a-5p	43	87	73	35	10864	710	63	3209	186	2289	1030	547	426	6	37	45	104	23	1442	74	21293.0
hsa-miR-98-5p	17	23	100	165	12172	1345	52	1780	135	916	487	913	845	51	14	4	662	97	1415	38	21230.949999999997
hsa-miR-192-5p	116	5	156	197	12136	321	42	1587	120	746	494	191	198	69	4	7	2013	127	2319	39	20886.5
hsa-miR-451a	0	0	1671	1265	0	3414	1051	2819	2296	1053	504	2072	2863	0	0	0	0	987	0	807	20802.0
hsa-miR-532-5p	442	30	48	57	9822	565	42	1342	114	633	417	357	316	365	16	15	874	51	4089	42	19637.0
hsa-miR-92b-3p	445	102	121	162	7437	1012	62	729	154	612	288	633	562	448	68	95	1423	87	3893	74	18407.0
hsa-miR-149-5p	16	15	43	65	10335	517	31	560	72	430	290	275	276	27	5	4	571	32	4511	30	18105.0
hsa-miR-99a-5p	665	226	422	1006	4496	1839	388	1968	893	1138	572	1096	1096	122	233	165	78	490	523	456	17869.0
hsa-miR-125b-5p	288	290	113	120	7858	1548	41	1413	93	1041	473	1221	1083	62	160	123	353	37	1009	54	17380.0
hsa-miR-32-5p	13	0	38	33	14478	144	0	259	18	176	76	156	158	27	0	2	449	20	1306	5	17358.0
hsa-miR-425-5p	32	26	223	219	7170	1448	100	1167	316	851	490	925	974	29	14	12	273	120	2071	120	16580.0
hsa-miR-16-5p	0	7	261	124	6536	1710	103	1172	297	648	333	1228	1138	8	0	0	152	85	2132	70	16004.0
hsa-miR-34c-5p	60	5	6	15	13585	15	0	603	0	491	292	30	10	3	13	12	285	0	8	0	15433.0
hsa-miR-148b-3p	170	13	68	48	8544	1047	47	753	89	447	337	794	738	76	2	11	629	41	1317	40	15210.0
hsa-miR-16-2-3p	34	16	68	93	3726	373	40	493	119	300	161	324	305	32	10	10	2102	33	6816	41	15096.0
hsa-miR-24-2-5p	22	9	41	63	11148	310	10	848	26	453	278	217	262	35	8	3	374	27	532	12	14677.0
hsa-miR-210-3p	3	12	44	45	10987	474	27	487	32	346	338	462	424	6	6	5	149	29	707	18	14601.0
hsa-miR-26b-5p	8	15	218	235	5013	2111	177	1304	395	650	441	1375	1405	16	16	2	126	194	732	161	14593.67
hsa-let-7d-3p	77	62	129	166	4692	1320	39	1224	122	1016	533	958	920	338	77	37	644	87	1623	48	14112.0
hsa-miR-181a-2-3p	740	24	5	9	8828	247	2	695	9	411	216	158	117	1564	12	8	260	6	494	3	13808.0
hsa-miR-146b-5p	190	22	25	33	9319	343	18	1171	66	710	412	239	270	45	8	2	257	20	516	26	13690.0
hsa-miR-27a-5p	435	5	26	25	9623	110	12	113	26	59	21	62	70	178	0	0	1549	17	1330	10	13671.0
hsa-miR-185-5p	22	5	133	158	5359	1760	65	600	127	342	216	1509	1274	43	2	2	601	102	1236	44	13599.5
hsa-miR-339-5p	4	7	262	239	6042	622	113	1356	318	815	529	497	553	7	3	4	225	165	1395	138	13294.0
hsa-miR-106b-3p	84	18	86	162	5512	1389	53	1367	135	737	466	849	716	146	2	7	270	89	1112	53	13253.0
hsa-miR-19b-3p	5	7	77	64	7666	543	54	671	124	382	214	669	746	0	2	0	182	52	1412	52	12922.0
hsa-miR-143-3p	4	2	515	719	147	2234	364	1794	983	894	483	1423	1428	12	0	0	4	399	25	338	11768.0
hsa-miR-484	11	15	92	80	5314	425	71	362	148	275	163	420	335	13	14	0	305	52	3593	52	11740.0
hsa-miR-21-3p	95	7	27	45	4348	219	30	77	64	46	31	219	181	94	7	0	1173	39	4881	21	11604.0
hsa-miR-455-5p	279	60	106	90	3446	451	54	336	80	155	92	368	326	92	35	40	1605	82	3742	50	11489.0
hsa-miR-152-3p	31	0	18	26	6947	628	12	1115	47	592	338	503	487	59	2	4	107	8	345	18	11287.0
hsa-let-7a-3p	60	21	26	31	4587	179	17	192	36	142	66	157	109	63	4	5	859	11	4542	27	11134.34
hsa-miR-96-5p	6	15	28	36	7702	131	15	303	29	205	110	89	76	28	14	3	383	13	1433	5	10624.0
hsa-miR-218-5p	11	9	56	60	7667	285	14	676	42	387	190	232	263	26	5	3	253	38	327	11	10555.0
hsa-miR-135b-5p	8	5	22	22	8043	246	9	561	11	353	167	192	182	5	0	0	156	18	310	4	10313.67
hsa-miR-140-3p	516	14	124	215	2925	666	108	555	244	380	238	408	453	122	22	6	873	124	2095	64	10152.0
hsa-miR-196a-5p	0	0	29	32	4966	274	43	1461	155	662	453	233	169	0	2	0	118	16	1488	41	10141.66
hsa-miR-186-5p	3	16	151	158	2913	945	151	911	308	524	307	833	762	15	14	4	109	125	1699	127	10075.0
hsa-miR-452-5p	15	16	23	23	4767	1507	3	315	17	201	135	1130	1070	122	4	0	241	23	196	2	9810.0
hsa-miR-28-3p	110	19	73	39	2863	1237	27	841	93	465	238	920	673	304	9	5	492	31	1242	35	9716.0
hsa-miR-99b-3p	587	8	10	17	5101	184	15	496	28	262	174	103	94	512	3	5	424	9	1639	6	9677.0
hsa-miR-146a-5p	2	9	282	215	185	3125	0	113	0	156	57	2596	2309	11	3	2	119	300	0	0	9482.0
hsa-miR-30b-5p	0	0	76	67	3937	986	127	748	257	410	221	693	837	0	0	0	36	79	795	125	9392.02
hsa-miR-28-5p	13	17	47	26	4455	679	16	665	67	367	186	518	454	24	11	5	235	23	1189	15	9012.0
hsa-miR-374b-5p	4	2	70	82	3356	966	85	478	181	191	163	802	818	0	0	3	65	61	411	75	7812.5
hsa-miR-9-5p	4	0	2	6	5130	35	12	417	23	231	117	41	33	22	0	0	299	3	1162	5	7542.030000000001
hsa-miR-197-3p	58	14	39	63	3384	226	24	276	75	208	100	132	119	45	4	5	425	36	2123	16	7372.0
hsa-miR-3168	39	1470	345	431	491	57	175	30	109	159	203	197	215	71	1304	682	50	538	209	284	7059.0
hsa-miR-629-5p	182	18	15	21	1693	231	44	302	62	211	135	127	163	185	10	10	257	10	2952	32	6660.0
hsa-miR-424-3p	399	421	12	6	3407	162	4	348	9	175	97	124	93	18	263	282	152	3	674	6	6655.0
hsa-miR-584-5p	172	16	27	35	3794	181	9	676	4	375	200	131	138	83	19	9	389	18	363	2	6641.0
hsa-miR-30a-3p	58	0	89	156	1474	870	3	473	26	289	143	617	588	346	0	0	890	77	143	6	6246.5
hsa-miR-330-3p	33	29	39	36	3747	224	4	537	22	425	200	163	140	11	2	16	217	21	270	6	6142.0
hsa-miR-335-3p	0	0	44	54	943	640	36	119	93	58	33	499	439	105	0	0	561	19	2452	25	6120.0
hsa-miR-141-3p	0	3	16	6	3632	244	12	201	40	177	59	173	200	15	0	0	64	12	911	20	5782.0
hsa-miR-340-5p	25	6	22	28	3087	105	5	131	10	62	50	83	91	9	6	9	226	9	1362	6	5332.0
hsa-miR-503-5p	453	94	0	11	2773	311	0	405	7	203	133	277	254	44	55	34	66	7	200	4	5331.0
hsa-miR-10b-5p	0	0	164	308	304	812	78	625	317	347	161	376	485	111	0	0	392	134	566	101	5281.0
hsa-miR-625-3p	60	8	24	15	2321	373	0	266	4	125	39	280	240	140	0	2	570	13	766	0	5246.0
hsa-miR-18a-5p	0	7	44	28	2559	338	20	220	49	112	68	382	351	6	0	0	101	23	740	13	5059.0
hsa-miR-22-5p	16	0	9	32	1843	766	3	246	23	142	73	496	491	13	5	0	99	18	397	5	4677.0
hsa-miR-127-3p	1493	49	186	316	0	550	89	430	225	269	123	250	337	0	26	41	0	145	0	89	4618.0
hsa-miR-345-5p	13	0	21	47	2699	182	4	241	21	177	136	182	115	10	2	0	179	8	448	8	4493.0
hsa-miR-361-5p	5	5	59	25	2183	251	10	559	49	334	194	272	209	0	5	0	20	14	156	14	4364.0
hsa-miR-769-5p	119	5	23	37	2141	253	6	276	36	176	93	157	139	60	0	2	247	11	539	7	4327.0
hsa-let-7c-5p	129	133	63	130	911	297	25	493	104	280	143	206	159	60	97	76	193	41	755	26	4321.55
hsa-miR-339-3p	25	2	55	49	2262	157	15	226	37	129	128	154	106	4	0	0	156	37	713	9	4264.0
hsa-miR-223-3p	0	0	280	273	9	1008	169	209	518	150	71	570	609	0	0	0	0	200	0	144	4210.0
hsa-miR-574-3p	15	9	61	105	2568	167	7	342	41	289	121	88	54	0	6	0	157	53	97	14	4194.0
hsa-miR-150-5p	0	0	303	393	3	611	133	515	526	303	153	337	430	0	0	0	0	211	0	178	4096.0
hsa-miR-652-3p	2	2	67	68	1394	585	38	415	94	214	109	415	395	2	2	0	30	44	171	32	4079.0
hsa-miR-671-5p	13	18	27	16	1979	119	28	166	51	113	92	123	105	6	30	9	121	21	856	10	3903.0
hsa-miR-450a-5p	4	0	4	9	2954	79	8	242	7	157	93	84	95	0	2	0	24	2	127	2	3893.0
hsa-miR-7974	359	0	0	0	348	0	0	0	0	0	0	0	0	58	0	0	2104	3	999	0	3871.0
hsa-miR-361-3p	123	6	26	48	1745	161	25	215	35	174	71	135	117	55	9	7	179	24	619	19	3793.0
hsa-miR-19a-3p	0	2	16	28	1992	136	7	170	15	120	50	162	125	0	3	4	62	15	731	15	3653.0
hsa-miR-107	4	8	13	24	2492	113	12	244	24	132	88	91	117	1	2	0	22	5	227	16	3635.66
hsa-let-7b-3p	50	21	11	11	283	126	16	23	55	26	15	69	61	50	32	17	391	3	2304	17	3581.0
hsa-miR-365a-3p	1	3	22	13	2337	152	10	320	13	182	93	122	120	0	1	0	23	13	132	8	3561.0
hsa-miR-365b-3p	1	3	22	13	2337	152	10	320	13	182	93	122	120	0	1	0	23	13	132	8	3561.0
hsa-miR-3615	334	10	12	20	1184	109	2	41	6	73	28	34	18	511	6	4	399	9	733	7	3540.0
hsa-miR-141-5p	0	0	10	9	1170	78	13	43	26	22	14	73	69	61	0	0	282	11	1570	10	3461.0
hsa-miR-675-5p	2	0	0	0	2633	28	0	117	11	116	46	19	8	0	0	0	2	0	266	5	3253.0
hsa-miR-29b-3p	59	5	8	10	1959	250	6	102	16	37	10	69	62	30	1	5	144	0	455	4	3233.7000000000003
hsa-miR-221-5p	196	27	25	26	1589	65	0	156	11	79	48	68	71	59	15	6	461	26	267	2	3197.0
hsa-miR-548k	0	0	0	2	214	58	22	7	69	13	5	21	35	0	0	0	12	0	2702	25	3184.5
hsa-miR-1307-5p	19	0	29	28	1478	107	11	143	15	59	66	103	96	60	0	0	162	13	734	7	3130.0
hsa-miR-874-3p	0	0	7	8	2235	42	13	142	24	91	89	45	49	3	0	0	2	2	211	15	2978.0
hsa-miR-95-3p	0	0	0	0	716	279	17	180	28	99	54	235	209	61	0	0	7	0	1071	12	2968.0
hsa-miR-15b-5p	0	0	18	2	1910	54	0	232	16	84	69	67	46	0	6	0	32	4	416	2	2958.0
hsa-miR-320b	22	37	41	40	331	558	16	316	44	252	167	433	345	33	29	24	30	35	168	20	2940.9999999999995
hsa-miR-7977	0	2	0	13	1900	53	0	17	25	12	19	43	32	0	5	0	61	8	708	10	2908.0
hsa-miR-181d-5p	0	0	11	4	1564	129	4	418	17	148	116	81	87	11	0	0	36	5	155	7	2793.0
hsa-miR-342-3p	0	4	37	42	789	512	24	353	96	158	87	276	269	0	0	0	6	46	68	20	2787.0
hsa-miR-941	23	9	28	34	807	461	2	199	24	125	53	324	296	64	0	4	77	18	198	3	2749.2400000000007
hsa-miR-25-5p	17	0	17	28	821	137	10	47	37	32	32	90	96	12	2	5	206	12	1058	4	2663.0
hsa-miR-424-5p	33	26	2	8	2093	57	0	78	5	45	40	76	40	0	18	9	14	0	97	0	2641.0
hsa-miR-139-5p	5	8	77	117	912	237	36	370	116	179	104	100	125	0	3	0	10	57	82	26	2564.0
hsa-miR-877-5p	7	5	4	10	1115	262	4	296	6	170	75	202	194	17	0	5	37	4	126	2	2541.0
hsa-miR-4443	44	0	0	10	584	16	3	23	22	15	9	10	16	44	0	0	126	3	1600	4	2529.0
hsa-miR-30e-3p	50	0	14	8	932	185	11	178	34	89	60	140	156	90	6	0	95	7	442	11	2506.5
hsa-miR-365a-5p	179	2	0	16	1199	47	6	69	0	70	34	21	33	207	10	7	249	7	346	0	2502.0
hsa-miR-15b-3p	0	0	27	15	863	229	4	168	31	94	54	164	183	0	0	0	86	13	440	10	2381.0
hsa-miR-411-5p	12	11	178	138	36	349	56	413	253	147	64	230	310	0	9	2	2	74	19	43	2346.0
hsa-miR-660-5p	8	2	16	14	1292	78	10	249	31	109	68	76	85	0	0	0	13	10	251	10	2322.0
hsa-miR-130a-3p	8	6	7	4	1254	126	4	137	17	92	44	138	134	5	0	0	38	2	296	8	2320.0
hsa-miR-381-3p	948	25	62	90	20	216	54	192	72	101	35	120	158	0	12	24	2	70	75	44	2320.0
hsa-miR-130b-5p	60	2	9	12	1121	20	4	41	7	32	13	22	17	111	9	7	283	6	515	2	2293.0
hsa-miR-421	2	0	10	12	1145	56	0	268	16	192	110	131	102	0	0	0	21	6	105	7	2183.0
hsa-miR-140-5p	2	2	34	13	1205	92	12	136	26	95	40	84	95	0	2	0	25	17	280	10	2170.0
hsa-miR-144-3p	0	0	168	211	3	351	86	281	156	192	52	219	290	0	0	0	0	83	0	68	2160.0
hsa-miR-671-3p	289	4	2	5	872	3	0	37	5	38	11	5	5	41	0	0	321	3	511	0	2152.0
hsa-let-7f-1-3p	18	4	16	21	953	71	4	67	6	37	11	56	61	12	2	0	233	7	535	3	2117.0
hsa-miR-1293	799	34	15	28	98	55	0	26	0	20	4	25	19	79	25	32	568	21	245	0	2093.0
hsa-miR-589-5p	31	0	14	9	509	379	2	120	22	67	36	271	215	141	0	5	101	11	134	5	2072.0
hsa-miR-425-3p	0	2	15	18	1100	150	6	172	21	77	47	120	110	5	0	0	32	13	152	6	2046.0
hsa-miR-200b-5p	0	0	5	14	777	74	3	162	6	126	48	42	24	23	2	2	367	8	352	0	2035.0
hsa-miR-148a-5p	94	3	3	8	826	29	3	54	6	34	8	31	27	63	0	3	465	6	368	0	2031.0
hsa-miR-378c	35	4	34	38	271	338	11	69	18	36	23	299	274	54	3	1	185	28	260	6	1984.55
hsa-miR-454-3p	0	0	7	6	1148	122	9	109	17	46	23	147	99	0	0	0	17	2	145	4	1901.0
hsa-miR-147b-3p	0	0	7	3	811	249	0	99	0	59	30	233	210	85	0	0	39	2	13	0	1840.0
hsa-miR-132-3p	8	0	7	8	1073	51	7	210	10	117	68	39	30	0	0	0	40	5	150	0	1823.0
hsa-miR-542-3p	30	0	0	0	1487	7	3	75	5	33	15	16	22	15	0	0	21	0	43	0	1772.0
hsa-miR-4664-3p	145	0	0	0	563	32	0	44	0	23	9	20	15	536	0	0	113	2	194	2	1698.0
hsa-miR-126-5p	0	2	56	68	500	182	44	150	86	88	55	77	150	0	0	0	13	32	70	42	1615.0
hsa-miR-328-3p	9	4	3	7	1239	24	7	76	4	72	36	12	11	5	0	0	10	0	69	4	1592.0
hsa-miR-455-3p	3	9	23	20	495	146	15	90	47	51	32	98	109	0	0	0	39	18	376	12	1583.0
hsa-miR-199a-3p	0	0	88	88	56	306	63	195	169	71	37	154	222	0	0	0	0	50	2	58	1559.6800000000003
hsa-miR-4326	20	0	0	0	886	0	3	84	10	101	30	0	2	0	0	0	0	0	412	0	1548.0
hsa-miR-378d	47	5	19	27	196	237	7	37	13	24	17	168	167	47	1	3	216	22	290	4	1543.1000000000004
hsa-miR-576-5p	0	0	2	5	396	22	6	36	10	19	5	23	15	0	0	0	57	0	935	9	1540.0
hsa-miR-370-3p	1272	17	8	19	0	41	6	23	19	23	10	6	23	0	22	21	0	16	0	4	1530.0
hsa-miR-92b-5p	117	29	2	4	418	35	3	18	7	9	9	15	17	161	20	15	239	0	376	2	1496.0
hsa-miR-4521	14	0	0	0	381	14	0	0	0	0	0	10	6	3	0	0	96	2	964	0	1490.0
hsa-miR-3613-5p	0	0	5	5	564	105	4	29	2	14	10	86	72	0	0	0	36	0	546	5	1483.0
hsa-miR-320c	5	18	22	26	143	310	8	167	20	103	74	247	231	4	12	6	16	21	40	11	1482.6899999999998
hsa-miR-7704	22	64	36	71	111	39	92	150	167	127	120	38	33	7	41	75	21	80	60	111	1465.0
hsa-miR-196b-5p	0	0	3	2	357	254	14	99	35	46	24	169	173	7	0	0	10	4	245	9	1451.33
hsa-miR-181a-3p	23	4	2	4	689	207	0	40	2	23	21	121	153	38	4	0	97	4	2	0	1434.0
hsa-miR-1296-5p	2	0	9	26	659	107	9	95	15	79	38	114	84	0	0	0	16	8	135	5	1401.0
hsa-miR-379-5p	278	9	45	63	33	194	29	179	103	101	42	100	123	0	4	4	0	41	7	25	1380.0
hsa-miR-142-5p	0	0	70	50	0	269	41	200	137	96	52	189	191	0	0	0	0	39	0	42	1376.0
hsa-miR-4791	53	3	5	3	314	5	7	6	4	4	5	7	2	38	0	0	274	0	641	4	1375.0
hsa-miR-362-5p	3	8	6	0	720	61	0	124	19	46	44	36	43	0	2	3	13	2	224	11	1365.0
hsa-miR-340-3p	5	7	12	12	770	24	2	54	6	54	23	27	23	2	2	0	44	0	272	0	1339.0
hsa-miR-93-3p	0	0	4	2	684	130	0	116	10	110	71	61	79	0	0	0	2	5	45	4	1323.0
hsa-miR-30c-2-3p	20	0	6	20	366	32	0	16	0	8	6	17	13	147	0	0	551	4	110	2	1318.0
hsa-miR-582-3p	255	7	0	2	209	78	0	15	5	0	2	41	34	228	0	0	221	0	217	0	1314.0
hsa-miR-331-3p	0	0	8	2	772	34	10	105	25	36	22	30	17	0	0	0	34	4	203	9	1311.0
hsa-miR-942-5p	3	5	2	9	279	33	10	34	37	29	18	15	15	0	2	0	43	4	760	11	1309.0
hsa-miR-193b-5p	29	11	6	13	702	27	0	97	2	81	31	18	5	7	14	19	67	12	162	2	1305.0
hsa-miR-151b	1	2	2	0	464	341	0	261	6	42	13	53	30	4	0	0	5	1	67	0	1289.0
hsa-miR-324-5p	2	0	2	3	694	141	2	80	4	33	24	114	91	0	0	0	10	2	81	0	1283.0
hsa-miR-194-5p	0	5	25	13	651	64	4	164	24	96	65	64	56	0	2	0	3	10	23	9	1278.0
hsa-miR-31-3p	21	2	9	5	474	133	3	25	5	12	2	119	102	8	0	0	114	7	204	2	1247.0
