miRNA_name	SRX1169949	SRX1169948	SRX1169947	SRX1169946	SRX1169945	SRX1169944	SRX1169943	SRX1169942	SRX1169941	SRX1169940	SRX1169929	SRX1169921	SRX1169920	SRX1169923	SRX1169922	SRX1169925	SRX1169924	SRX1169927	SRX1169926	SRX1169958	SRX1169950	SRX1169951	SRX1169952	SRX1169953	SRX1169954	SRX1169955	SRX1169956	SRX1169957	SRX1169938	SRX1169939	SRX1169919	SRX1169932	SRX1169933	SRX1169930	SRX1169936	SRX1169937	SRX1169935
hsa-miR-26a-5p	9939	8129	15155	8812	7860	23481	24095	23169	30428	37695	11686	52090	55604	59749	47569	4203	9864	62579	2273	21089	9061	7415	32598	32442	22272	16435	15011	3331	25491	3859	34939	11182	22467	11205	20307	34183	12345	830012.34
hsa-miR-30c-5p	23832	13495	18262	20074	11760	14062	17249	17461	31299	33739	20228	35756	22431	32556	21181	2245	6017	45062	1199	31778	22697	20135	39143	20628	10940	24367	26528	10938	19690	6851	12828	19153	36301	22724	37726	24475	29405	804214.66
hsa-miR-223-3p	10645	12550	25901	19726	7550	22668	34470	12570	61365	42814	18660	9021	3644	3540	3636	471	840	9022	493	20168	15882	25369	18058	25177	8102	19468	7189	7393	31889	5962	3845	21050	37928	14762	20876	46586	21681	650971.0
hsa-miR-425-5p	7019	12595	20951	16454	10143	17678	20361	16668	23080	22165	16145	15991	3977	10366	10529	1606	1532	19528	749	27130	13847	12321	36303	20779	14967	20088	27774	6643	20454	4907	6006	16325	21901	14868	23726	26931	14219	576726.0
hsa-let-7a-5p	4342	6869	18803	7589	7133	15592	24504	23245	24635	33963	9638	36220	19606	19289	25810	3686	2085	33748	1224	9483	8133	4864	36654	42375	25442	8910	12307	1611	12375	2206	20872	9008	11979	9897	9742	16613	5236	565684.0699999998
hsa-miR-186-5p	11084	2621	3851	6065	4151	4731	3843	5035	7484	11841	9296	22286	46944	87598	32927	1865	6959	86333	1955	9904	6534	7186	25605	11179	6970	6521	10294	2483	12129	1309	18978	7990	13108	6312	8356	18176	12189	542092.0
hsa-miR-185-5p	8477	10816	13424	14986	6678	16924	19524	17328	20578	20391	13633	30079	7609	4167	19418	3686	1210	22927	1030	19066	11975	7553	42394	23172	12726	11255	16988	3378	18093	9619	11561	9717	13314	12849	15345	18713	6047	516641.0
hsa-miR-150-5p	8985	19360	19846	17769	9180	13901	28848	25534	13652	13230	8145	10452	2696	10248	12691	651	707	23575	482	47371	13214	6537	31745	23508	12005	18208	21009	6680	5683	1964	13057	7506	13985	7552	14023	9248	8273	501520.0
hsa-let-7g-5p	3170	1392	8170	2040	1797	10667	5364	12877	11515	18603	6238	49162	28749	30773	32570	8065	3320	56981	1720	3978	3189	2295	30694	27854	16664	5692	12904	544	12458	1553	22142	5114	7725	5386	7429	17338	2956	479087.50000000006
hsa-miR-142-5p	10573	3889	10070	4054	2805	10431	3605	14447	21401	17957	9919	25758	20364	11274	14462	2230	4236	24213	1307	16936	8982	9007	25649	11422	5009	21408	18748	2303	17891	3010	9089	7639	10742	10489	12889	32561	12631	449400.0
hsa-miR-106b-3p	3251	3306	5070	2386	2556	5298	4795	5748	7508	9399	5387	24930	25987	63172	22375	2027	5013	74341	864	4980	4399	2898	19166	11544	6586	4300	10686	976	7353	1837	25013	3434	4851	4218	5314	7891	3062	401921.0
hsa-miR-182-5p	9359	3312	7960	3910	4762	7827	10025	10720	9442	19741	6898	69806	18252	14032	12363	2268	3125	30092	1288	11994	7016	10882	19150	8649	2165	7391	6301	1653	8988	3960	4408	7998	9273	8279	11360	18328	5798	398775.0
hsa-miR-103a-3p	2727	3166	9534	2169	1802	9747	5214	6110	11893	15492	9417	20092	6281	7417	14545	3201	1193	33413	1155	12851	7603	5258	33941	27153	15482	12787	19348	2664	15594	2821	10464	5025	11430	6454	8554	24389	4905	391293.04
hsa-miR-363-3p	2965	4470	9096	4788	3005	10212	9150	6504	9943	11936	6803	16084	9144	13228	11259	1617	1863	20601	713	7147	4703	4410	24982	17360	12919	6516	7392	1856	12923	1278	11798	5527	11480	6787	12934	18954	5749	328096.0
hsa-let-7i-5p	2678	3047	9136	3850	1547	2995	2981	2945	7182	6498	5252	19295	11861	32210	21125	2432	1573	36018	765	4621	4065	3125	34686	23171	15964	3911	4334	661	3529	1029	23685	4230	3708	3710	2331	4374	1019	315534.5
hsa-miR-96-5p	5169	2267	4124	2684	2455	21849	7932	17370	15365	19033	4586	43814	7356	4641	5333	2961	713	24862	718	1018	2090	3110	12949	7172	1801	2772	6428	118	7838	5555	12602	4213	3910	4029	3813	14948	5279	292877.0
hsa-let-7f-5p	1879	1895	7936	2074	1761	9608	8085	14499	14646	16507	6721	34639	19064	7009	14546	3322	1149	16097	678	3827	2363	1985	16091	14959	7140	3285	5194	455	7980	943	8528	5375	7334	5689	6567	9786	2616	292232.8899999999
hsa-miR-93-5p	1378	2088	4751	2433	1827	3874	4689	4816	8097	13664	9824	21293	7147	12969	15734	1960	910	25875	787	3872	4011	2620	31082	22486	12001	5071	9838	826	6361	787	9042	5887	7035	6308	5034	8374	2299	287050.0
hsa-miR-100-5p	26273	6918	448	11785	10834	9046	10868	23212	14412	503	5713	36175	5204	244	10328	719	1349	5058	404	16944	9736	175	35674	389	84	4155	680	19	4773	2539	1431	91	210	6202	11675	121	4650	279038.0
hsa-miR-30e-5p	1489	945	1911	1452	1769	2106	1863	5714	5225	5379	8504	14165	11827	22584	17282	2238	1436	44714	1515	2993	2761	2967	30364	18242	8311	4517	7706	595	3956	216	7375	6054	7259	6764	5401	6039	2560	276191.5
hsa-miR-342-3p	16943	13368	5457	7263	5746	12026	8820	9251	8932	20072	2478	6929	4790	11431	6357	835	1103	9582	363	13900	9738	3948	10034	10385	5625	8235	5491	1500	4007	806	5691	2378	6905	2982	4544	9018	10623	267556.0
hsa-miR-423-3p	3828	2773	4598	3652	3395	4548	5671	1456	7583	8375	4540	18411	10211	19534	14162	1194	2748	24222	471	7634	4746	3600	4794	5827	3873	6788	3241	2362	7843	1659	21545	3508	4689	4143	6285	6889	5228	246026.0
hsa-miR-181a-5p	1390	3879	4562	2367	1934	3054	5367	1902	4798	7201	3675	10769	10249	20666	16239	451	1032	18465	564	3958	5044	1782	12042	22685	6760	2410	4151	1062	6221	442	14209	2875	4066	3134	2426	13277	1392	226500.0
hsa-miR-192-5p	4315	1324	2698	2984	1777	4040	1544	4953	5163	3863	3339	14844	19809	19323	11010	1469	4816	33458	919	4780	2806	2711	7211	4221	2942	3024	4493	828	5330	1196	12626	2593	5196	2699	5857	6721	5463	222340.0
hsa-miR-30b-5p	4013	3056	6383	5469	2843	6051	5549	6805	11615	6784	4733	7083	4821	9000	5994	466	1678	14706	497	7348	5007	3882	5754	5087	2542	7597	6330	1884	7086	1585	4214	4495	8615	5013	8417	8529	7127	208058.33000000002
hsa-miR-15b-5p	1422	2783	10931	3200	3219	12688	7058	8924	9749	11051	4918	6399	1718	2965	3812	652	626	5543	219	3050	2055	1366	9901	11295	8554	5748	5654	855	9803	1171	6514	4024	4891	3940	8078	8952	3116	196843.0
hsa-miR-423-5p	5908	4530	7073	2487	2442	1258	2911	1642	2601	4133	3349	4969	2309	11658	8818	462	346	10917	173	14591	8715	5571	16496	10053	7730	8763	9523	4127	1821	544	2474	3312	3124	2300	3020	3184	1801	185135.0
hsa-miR-144-5p	622	379	1790	481	332	3195	1615	4796	16542	7877	5898	6951	3068	2890	6878	2026	311	16721	832	617	977	748	25132	18086	3468	4113	2258	56	7789	1011	2618	4030	3965	4804	3826	13328	1781	181811.0
hsa-miR-21-5p	1937	826	1532	557	451	2425	1270	6184	6392	4478	4932	13560	10392	10906	8368	1855	2066	37593	648	983	1231	1562	14875	9606	2974	1800	1772	129	2647	428	2737	2974	3728	2810	2498	4423	1727	175276.0
hsa-miR-92b-3p	2163	1974	2701	2382	1354	2852	4167	1517	3962	6005	2368	8373	8279	16833	8748	664	2387	22981	377	3937	2728	1303	2993	3196	2257	4093	1942	1464	6195	695	21651	2041	2502	2279	3003	5241	3854	171459.35
hsa-miR-17-5p	951	1294	2939	998	1250	2865	3013	6489	5829	6923	5325	12863	2557	2712	6659	1323	517	13697	417	1929	1949	1375	21932	9200	4518	2206	5294	280	2686	726	1412	3629	4303	4320	3909	3235	1339	152858.83000000002
hsa-let-7b-5p	2104	3079	4489	1278	991	821	3254	1841	3315	3177	1855	3270	4523	18328	6753	221	377	11485	173	4102	3158	2783	25406	14109	7978	1631	4279	488	805	321	5261	1963	1418	1187	1054	1184	523	148981.40000000002
hsa-miR-151a-5p	3743	1664	3971	2654	1933	3671	2596	5296	3545	5602	2480	5342	2901	2809	4798	649	422	7792	281	8638	3907	2482	14954	5679	4398	3573	7608	1314	4346	778	3369	2344	4186	1858	3731	8614	2699	146617.0
hsa-miR-20a-5p	513	545	2266	408	725	2178	2005	5761	3441	5624	5384	11438	3461	1667	6220	1894	485	12142	567	1230	1220	1070	20053	13274	5071	2308	3351	188	2445	450	1615	3829	4385	3677	3125	2408	1205	137626.5
hsa-miR-320a-3p	4865	2869	5070	1164	869	689	3023	820	1585	3295	2521	3318	830	2879	4892	199	147	5822	155	18096	7177	7803	14951	8870	6034	6347	4906	2845	1100	213	1444	2468	2740	1843	2582	1821	1289	137538.06
hsa-miR-19b-3p	2162	1698	2276	3182	1528	4272	1842	4786	6714	2206	6014	1836	285	698	2774	430	127	5017	368	2634	2188	3717	16361	10426	2579	5481	3952	518	3062	1214	533	5191	7237	5309	6383	4999	5201	135200.68
hsa-miR-125b-5p	3247	2770	1298	11403	3558	3640	8136	9691	5469	4022	2307	8710	1531	548	6090	244	282	2095	204	4755	3204	254	15538	1061	910	2380	2610	352	5722	1754	3772	466	1026	2220	3834	1170	2296	128569.0
hsa-miR-652-3p	1083	2064	3684	2808	1870	2916	3691	2003	2948	4825	3078	4105	1962	5906	4071	458	524	6956	202	4613	2452	2032	7923	5923	5283	2646	3881	1101	6351	687	7462	2929	3203	2603	3664	5495	1791	125193.0
hsa-miR-183-5p	1958	655	814	518	1448	1523	1666	4366	912	8081	739	22129	8310	14367	5616	1476	1211	10370	528	641	1338	1190	12581	3015	1671	1004	3269	46	713	383	4582	526	833	1007	976	1986	1533	123981.0
hsa-miR-3615	1356	2894	3498	2863	1507	2964	3104	792	4014	3991	2219	3863	2576	15267	5559	318	1138	11455	138	3879	2483	1756	3393	2791	2059	4763	1483	1819	3876	737	7381	1503	2304	1446	2881	3459	2353	119882.0
hsa-miR-501-3p	5020	3489	1746	2281	2633	4123	2348	1958	2110	6991	1536	3739	1322	2316	2635	767	316	3575	139	3224	3640	2267	6226	3732	4875	1660	1269	567	2232	1130	2638	1226	2131	2081	2185	3525	2982	96634.16
hsa-miR-99a-5p	3528	2756	1946	779	1220	2809	2753	4144	4225	6996	892	5955	2881	1781	3675	412	308	4330	143	4063	2387	849	3052	1691	1712	1501	2607	607	1621	765	2085	1183	3703	1363	4978	2267	2923	90887.0
hsa-miR-23a-3p	1685	1805	3278	2819	1718	3056	2964	3382	4468	4089	1917	3042	1354	2116	1685	186	568	3424	133	3188	2029	2027	4471	3539	2338	2079	2040	790	4164	1300	683	2057	3005	1622	3476	4702	2453	89647.5
hsa-miR-99b-5p	3198	2602	943	1101	1180	2055	4186	3855	2284	4048	1004	4535	1725	2363	2491	673	537	3676	101	4945	1493	784	7558	5367	1968	1413	3385	713	1634	549	2452	905	3143	617	1523	2309	2680	85995.0
hsa-miR-148b-3p	4148	1614	1612	1631	1500	1744	968	1163	4393	2390	1942	12577	3029	3603	2726	1162	288	8232	148	987	1079	1029	3794	3126	1995	1045	717	156	1019	380	2698	1235	2535	1411	2197	1628	1499	83400.0
hsa-miR-125a-5p	1200	1837	1985	2899	1005	2209	7104	2416	2321	3723	865	1898	823	2039	2359	170	240	1783	114	6244	904	592	4679	4123	1548	3677	3426	1240	2547	631	3553	750	2849	747	1437	3118	1779	80834.0
hsa-let-7d-5p	740	1525	3245	985	993	2220	3556	3102	2256	4109	1490	4134	2287	1635	2766	263	222	2629	108	2012	1460	815	5454	5743	3542	1522	2384	363	1437	213	2398	1593	1894	1468	1863	2040	837	75297.25
hsa-miR-197-3p	1122	2094	1760	1854	1062	1868	3055	1226	2892	2339	1930	2431	2522	4027	2174	225	623	8335	110	1439	1922	959	2440	1866	1586	2055	1620	554	1926	942	3725	2116	1015	1212	2931	1359	1195	72511.0
hsa-miR-339-5p	1722	1290	1631	2284	1175	888	2458	1532	3759	2714	2719	3308	553	1046	1167	116	279	3607	89	3550	1609	1335	5694	2276	1241	3863	1799	744	1512	1141	1069	1837	2630	1891	3410	1511	2096	71545.0
hsa-miR-93-3p	1430	2363	3664	3118	1173	5021	3136	2398	3217	2458	921	1159	295	329	845	133	51	1318	62	1803	1478	817	2828	1609	1270	1820	3461	731	4244	2386	2586	1041	1105	987	1614	3425	2062	68358.0
hsa-miR-101-3p	446	192	454	421	329	615	602	1006	2360	1006	2456	2117	880	1937	3632	579	133	9042	505	285	499	866	14878	7591	1770	1994	722	43	797	92	788	1710	1240	1462	1229	1641	442	66761.0
hsa-miR-532-3p	1083	2112	1695	2455	1219	1209	2845	2007	2370	2030	1494	2039	674	2422	2161	148	267	6196	56	2857	1785	1067	3133	1923	1258	1153	1470	627	1224	831	2825	1182	1434	1489	1463	961	877	62041.0
hsa-miR-194-5p	1745	753	890	888	651	1076	995	2255	2464	2447	2973	3222	461	216	1696	537	88	2384	140	1636	1675	1689	7733	3481	1722	1288	1625	397	1294	231	271	1520	2487	1578	3287	1706	1518	61019.0
hsa-miR-26b-5p	387	417	1952	340	508	1349	1577	2006	1917	3697	1273	4956	2104	2553	3003	399	456	3534	167	713	563	409	3463	4502	2383	1158	1045	111	1590	183	2468	1529	1418	1006	1198	2322	699	59354.17
hsa-miR-106b-5p	351	448	1245	779	515	1161	1078	2190	2810	1836	2923	1681	345	708	1311	202	67	3275	160	890	783	787	10059	5538	2011	1769	2322	202	1244	142	549	1736	1904	1674	1451	1631	695	58472.33
hsa-miR-331-3p	738	1898	1565	2195	1523	1903	2181	1512	2484	2172	3052	1473	290	272	1073	184	61	1719	55	2189	1374	1094	2121	1925	1790	1390	1502	570	2327	671	925	2160	1459	2311	3981	1892	1543	57574.0
hsa-miR-18a-3p	966	1981	2137	1671	932	1876	2576	1084	2780	2284	1188	1438	824	1533	1141	138	207	2766	55	2057	1296	686	2446	1588	1164	1685	2031	695	2236	789	2294	1042	1268	1178	1804	1229	1374	54439.0
hsa-miR-1260a	578	1497	3508	1718	1102	4607	1795	933	1632	2938	1332	1711	246	71	800	83	143	1654	37	2680	1993	833	2596	1211	1173	1569	1065	1316	1480	820	736	1084	1139	918	3200	1668	1264	53121.5
hsa-miR-144-3p	23	20	292	44	71	829	85	1462	1013	529	862	811	3595	6326	2099	251	326	8336	875	12	61	41	3595	2535	662	1030	527	11	976	60	11401	632	248	302	380	1598	593	52513.0
hsa-miR-1260b	537	1506	3211	1600	1043	3845	1593	845	1572	2668	1249	1834	302	143	868	95	162	1943	31	2483	1854	819	2401	1234	1104	1485	1048	1217	1330	753	851	993	1051	872	2773	1387	1168	49861.5
hsa-miR-126-3p	194	254	897	355	241	1004	1044	2851	2010	2052	1448	2924	1304	929	2720	354	160	3721	169	401	406	261	5669	3529	1261	811	1701	39	1250	79	649	1056	1074	1339	1001	1438	388	46983.0
hsa-miR-532-5p	463	548	867	799	491	1490	858	292	1565	1649	899	3197	1871	3952	2649	366	258	6387	128	1088	626	472	1970	1727	1203	516	595	172	1579	261	2051	834	1025	806	862	1794	649	46959.0
hsa-miR-24-3p	352	316	821	520	275	833	829	1054	1253	1159	530	2417	2204	4967	1721	259	583	6857	150	1053	482	369	2823	1846	924	660	2109	181	1415	682	1312	486	989	397	786	2022	616	46252.0
hsa-miR-4732-3p	1276	1294	1103	1100	914	1155	1759	801	2135	1789	587	1246	1116	2606	1139	72	302	3236	43	1153	1025	439	1934	1179	651	1281	822	504	1685	751	3454	597	793	650	930	1211	1255	43987.0
hsa-miR-550a-3p	1055	2182	1466	1526	1038	2752	3051	1577	1948	1407	856	617	292	820	751	92	100	1664	33	1022	845	530	1091	663	575	743	1035	494	1098	304	1008	1492	1357	785	2848	1334	1854	42305.219999999994
hsa-miR-148a-3p	1142	492	520	426	283	653	738	370	2850	1464	1543	1462	917	1070	1046	641	117	3437	145	941	997	651	3671	3023	1154	881	209	131	623	218	769	1156	1611	1237	1433	1483	413	39917.0
hsa-miR-151a-3p	1412	512	562	953	509	626	936	1424	1066	1416	992	1568	772	1099	1515	159	187	2841	88	1879	1078	959	4634	1587	663	666	959	536	781	195	435	740	1561	575	1375	1228	1029	39517.0
hsa-miR-361-3p	584	1079	1166	1220	828	769	1327	664	1953	1833	1137	2268	364	672	972	170	77	1799	43	1539	1126	564	2334	1695	1068	1717	715	369	854	363	693	803	1447	908	1249	1100	966	38435.0
hsa-miR-221-3p	199	466	659	519	306	610	1043	543	1572	1785	980	1882	1215	2892	1558	125	190	3509	71	1105	707	397	3279	2347	1293	583	630	66	1079	205	1598	717	1180	572	523	1667	357	38429.0
hsa-miR-128-3p	1182	778	1083	928	651	1134	1101	982	2447	1609	929	2003	869	1741	727	65	228	1513	38	1748	959	844	2275	865	744	717	859	412	984	441	448	808	1330	908	1576	1363	996	38285.0
hsa-miR-20b-5p	236	462	859	148	244	956	1015	1397	1293	1585	1264	3375	903	600	1800	319	144	3401	157	569	460	280	4041	2373	1237	517	1805	67	718	125	720	792	1040	682	870	826	304	37582.17999999999
hsa-miR-362-5p	581	690	713	1296	651	1344	826	2584	1195	1810	562	771	698	875	637	75	92	1544	64	679	636	407	5194	1430	1522	583	2267	95	919	639	1142	552	855	762	861	1363	664	37578.0
hsa-miR-941	390	463	385	434	542	420	716	513	647	1197	735	2588	1074	3279	3334	122	298	3310	114	1394	709	393	1783	580	1017	937	663	328	1314	143	1725	514	578	296	511	1111	543	35100.58
hsa-miR-10a-5p	1519	491	455	600	262	1363	476	1227	968	1325	355	2518	1558	917	1282	164	170	1878	81	2020	577	721	1187	984	664	260	647	387	1141	136	544	496	915	429	883	1318	1486	32404.0
hsa-miR-107	190	352	1203	220	139	970	494	118	1193	1158	955	1211	683	1553	1022	163	155	2652	57	911	598	473	1296	2368	1292	1122	223	227	1535	120	1272	464	1141	561	803	2147	472	31511.019999999997
hsa-miR-15a-5p	112	244	803	335	283	1337	848	1551	2049	1491	1406	1658	379	532	1089	201	47	1275	62	227	244	225	3268	2073	880	593	728	50	880	98	211	994	933	896	1091	930	307	30329.0
hsa-miR-328-3p	406	705	692	577	315	609	1544	364	1294	1134	454	1163	682	1944	836	46	172	2577	39	901	689	374	853	725	357	1057	689	327	840	322	2144	370	413	466	659	652	618	28009.0
hsa-miR-7-5p	577	240	351	140	121	292	282	926	845	910	702	2666	1373	731	1092	152	102	1577	100	427	541	441	4671	2108	618	398	856	41	196	109	270	691	692	616	562	533	174	27122.960000000003
hsa-miR-500a-3p	613	484	668	771	528	1143	551	393	873	1188	469	1041	587	686	1024	212	110	1840	66	866	832	421	1610	1035	1176	484	551	154	972	369	1760	425	538	609	655	1045	356	27096.160000000003
hsa-miR-151b	307	170	626	453	239	448	365	762	423	804	360	1051	1262	2211	1451	115	206	2341	62	1096	435	329	1802	696	566	586	982	262	762	58	1093	334	665	284	524	1351	432	25903.0
hsa-miR-146a-5p	548	209	468	321	296	198	300	400	479	923	263	3268	1111	1444	1441	270	135	2058	50	691	335	236	2510	1654	802	451	1438	162	467	31	172	269	597	280	601	424	304	25604.0
hsa-let-7d-3p	521	843	603	361	300	590	994	296	807	1109	826	740	839	1153	725	57	265	1681	26	721	512	363	785	894	532	829	792	454	794	166	1383	559	492	515	1279	608	1129	25543.0
hsa-miR-146b-5p	183	107	395	130	153	369	443	789	444	848	408	2148	1750	2231	1534	154	314	3760	94	713	256	153	1199	636	426	271	507	77	388	56	805	325	890	258	611	612	309	24744.0
hsa-miR-378a-3p	250	277	391	357	268	391	572	424	690	747	557	853	884	2862	1147	103	154	2673	29	478	398	290	1963	1110	555	257	308	66	654	220	1452	449	483	383	468	1039	251	24445.25
hsa-miR-584-5p	552	401	500	391	363	445	1265	249	583	1147	543	1004	505	1430	1668	150	127	1764	63	609	509	345	1445	1367	1039	318	393	102	829	125	1299	576	397	435	379	638	215	24170.0
hsa-miR-942-5p	463	377	778	828	374	711	774	487	1432	1098	428	1299	366	674	688	63	98	1180	22	982	406	343	1045	901	575	680	434	400	1144	230	750	362	741	307	535	670	987	23632.0
hsa-miR-15b-3p	436	305	923	441	179	816	494	520	1455	803	359	1341	679	793	594	68	330	1426	41	562	324	308	1619	568	258	400	676	164	985	633	1749	419	428	365	575	901	524	23461.0
hsa-miR-126-5p	191	123	546	185	130	816	432	1029	1420	1576	659	939	453	324	1085	117	47	1465	96	175	171	100	1605	1853	818	351	649	10	1075	29	762	561	484	721	392	1317	454	23160.0
hsa-miR-106a-5p	181	244	469	124	135	456	612	708	635	941	574	1461	432	262	838	132	73	1458	50	531	397	270	3326	1773	931	380	1199	46	392	63	215	396	681	514	679	681	212	22464.179999999997
hsa-miR-502-3p	303	338	605	502	407	662	424	420	509	865	426	610	383	597	726	106	83	1215	39	882	549	401	1792	961	911	548	983	175	744	246	984	323	535	586	645	717	286	21479.160000000003
hsa-miR-27a-3p	175	213	463	304	222	514	920	1056	1071	708	512	1309	951	774	859	98	115	2014	52	315	164	169	1701	1402	748	267	777	35	472	92	535	359	582	321	366	441	307	21375.85
hsa-miR-576-5p	567	493	1133	536	248	552	520	243	1763	1128	534	429	248	169	161	34	21	370	14	1233	469	563	437	661	339	1111	343	417	798	64	93	466	1384	651	1011	749	1116	21068.0
hsa-miR-425-3p	62	96	214	154	92	223	113	164	366	249	159	1027	1575	4005	1214	64	407	4048	56	184	127	103	513	306	240	76	162	15	286	76	3558	128	153	91	146	340	125	20917.0
hsa-miR-374b-5p	1062	232	543	115	182	813	576	1125	813	1488	774	1156	235	174	395	125	33	621	23	369	383	385	926	1060	510	715	320	78	898	79	142	550	939	488	970	668	716	20680.5
hsa-miR-7976	810	509	506	696	471	950	526	489	826	632	281	937	571	805	671	107	139	1387	43	595	437	303	832	396	375	249	504	179	920	471	1151	325	444	249	492	692	612	20582.0
hsa-miR-629-5p	145	404	394	268	171	258	593	60	615	743	459	833	750	1753	1408	103	124	3604	30	312	332	193	937	880	523	168	35	62	455	205	710	384	200	275	447	661	158	19652.0
hsa-miR-222-3p	165	324	410	254	260	424	549	415	643	878	315	941	709	1894	712	52	157	2001	41	628	287	188	1181	761	480	302	323	56	556	129	1271	244	476	266	343	626	238	19499.0
hsa-miR-3940-3p	222	224	240	407	273	266	621	218	358	466	153	746	1702	1954	1212	63	153	2269	29	755	316	107	389	240	171	225	419	226	424	337	2708	287	118	159	184	506	206	19353.0
hsa-miR-23b-3p	369	415	854	381	351	740	522	563	1154	973	425	552	353	504	246	40	157	761	11	649	454	363	694	570	477	303	332	117	761	310	271	319	509	341	701	894	510	17941.0
hsa-miR-145-5p	232	210	365	384	272	157	324	295	403	389	275	675	527	1465	595	40	169	3265	62	403	404	509	1153	531	326	385	556	72	323	94	858	347	296	170	335	573	318	17757.0
hsa-miR-130b-5p	464	465	765	600	157	494	395	380	855	605	311	513	287	613	317	49	74	806	14	469	270	265	1111	425	269	343	500	167	703	196	808	258	364	203	323	455	415	15708.0
hsa-miR-4326	427	210	445	491	118	542	348	0	394	405	240	519	774	1485	351	76	62	2546	10	264	404	324	531	2	383	638	808	115	275	124	627	169	182	333	397	0	412	15431.0
hsa-miR-361-5p	241	259	358	268	246	264	379	381	493	787	350	745	560	930	576	54	195	938	29	610	289	204	593	479	269	349	358	152	410	59	410	275	481	250	467	603	411	14722.0
hsa-miR-324-3p	194	280	661	503	244	390	596	170	645	697	407	377	142	973	390	18	48	847	5	422	267	180	608	614	380	399	195	137	571	146	901	374	323	303	548	436	298	14689.0
hsa-miR-664a-3p	350	293	436	348	264	264	449	304	665	828	472	813	431	331	241	63	66	639	18	701	465	268	553	426	292	505	534	129	375	75	207	436	444	462	717	295	333	14492.0
hsa-miR-320b	694	430	739	168	106	5	38	4	11	32	24	54	34	125	93	0	9	133	0	2606	1062	1133	2191	1321	891	909	700	452	14	0	52	22	33	22	24	15	8	14155.259999999998
hsa-miR-16-2-3p	513	485	820	911	105	92	184	101	743	336	193	127	100	237	59	0	12	214	3	505	661	307	2806	517	169	350	663	116	293	171	452	277	107	107	126	441	230	13533.0
