name	SRX326607	SRX326606	SRX326605	SRX326604	SRX326603	SRX326602	SRX326601	SRX326620	SRX326629	SRX326628	SRX326623	SRX326609	SRX326608	SRX326622	SRX326625	SRX326624	SRX326627	SRX326600	SRX326618	SRX326619	SRX326621	SRX326610	SRX326611	SRX326612	SRX326598	SRX326614	SRX326615	SRX326616	SRX326617	SRX326632	SRX326633	SRX326630	SRX326631	SRX326636	SRX326637	SRX326634	SRX326635	SRX326638	SRX326639	SRX326599	SRX326613	SRX326626
snoRNA#sense	0.27	0.16	0.09	0.2	0.18	0.28	0.2	0.27	0.13	0.2	0.88	0.61	0.11	0.25	1.27	0.16	0.36	0.08	0.3	0.16	0.08	0.33	0.3	2.03	0.28	0.29	0.52	0.17	0.23	0.2	0.19	0.21	0.46	0.25	0.26	0.65	0.17	0.28	0.17	0.13	0.09	0.34	13.79
hairpin#antisense	0.84	0.01	0.62	0.27	0.66	0.02	0.3	0.32	0.27	0.11	0.76	0.01	1.05	0.15	0.02	0.1	0.05	0.08	0.19	0.57	0.49	0.0	0.01	1.41	0.17	0.03	0.01	0.03	0.05	0.27	0.0	0.01	0.06	0.16	0.28	0.48	0.01	0.04	0.33	0.14	0.01	0.26	10.649999999999997
snRNA#sense	0.08	0.17	0.12	0.08	0.11	0.16	0.11	0.1	0.08	0.23	0.11	1.14	0.18	0.13	0.11	0.06	0.15	0.18	0.3	0.43	0.12	0.19	0.91	0.14	0.85	0.28	0.6	0.1	0.09	0.21	0.35	0.15	0.09	0.28	0.1	0.24	0.07	0.55	0.07	0.17	0.14	0.13	9.860000000000001
otherRNA#sense	0.29	0.01	0.04	0.24	0.19	0.52	0.2	0.41	0.02	0.09	0.36	0.45	0.22	0.02	0.43	0.28	0.3	0.07	0.4	0.53	0.02	0.28	0.34	0.22	0.02	0.02	0.5	0.3	0.32	0.02	0.1	0.29	0.27	0.02	0.4	0.25	0.24	0.01	0.27	0.01	0.01	0.66	9.639999999999999
retained_intron#sense	0.17	0.31	0.15	0.16	0.11	0.15	0.15	0.2	0.15	0.24	0.28	0.34	0.1	0.47	0.4	0.13	0.21	0.2	0.19	0.41	0.28	0.18	0.17	0.62	0.33	0.24	0.26	0.13	0.15	0.19	0.16	0.14	0.22	0.39	0.18	0.24	0.15	0.21	0.12	0.22	0.18	0.25	9.530000000000001
protein_coding#antisense	0.21	0.21	0.13	0.21	0.23	0.21	0.22	0.32	0.12	0.11	0.29	0.38	0.15	0.18	0.28	0.19	0.33	0.1	0.18	0.2	0.16	0.3	0.41	0.32	0.14	0.2	0.32	0.24	0.21	0.13	0.11	0.17	0.23	0.28	0.27	0.17	0.24	0.26	0.22	0.15	0.15	0.33	9.260000000000003
lincRNA#sense	0.13	0.17	0.11	0.1	0.12	0.09	0.14	0.15	0.09	0.23	0.17	0.74	0.24	0.15	0.15	0.11	0.18	0.16	0.14	0.49	0.13	0.3	0.32	0.28	0.1	0.2	0.3	0.17	0.12	0.11	0.1	0.13	0.11	0.29	0.16	0.15	0.14	0.29	0.13	0.11	0.13	0.17	7.800000000000001
lncRNA#sense	0.11	0.21	0.11	0.13	0.13	0.15	0.19	0.21	0.09	0.25	0.18	0.3	0.11	0.21	0.13	0.14	0.29	0.15	0.12	0.39	0.12	0.38	0.17	0.22	0.09	0.21	0.27	0.17	0.14	0.16	0.08	0.14	0.12	0.27	0.16	0.12	0.17	0.24	0.16	0.12	0.15	0.2	7.460000000000002
antisense_RNA#sense	0.15	0.13	0.13	0.14	0.14	0.14	0.19	0.18	0.08	0.1	0.22	0.48	0.12	0.13	0.15	0.11	0.21	0.11	0.13	0.2	0.17	0.2	0.24	0.23	0.08	0.12	0.22	0.16	0.12	0.09	0.09	0.12	0.15	0.22	0.17	0.14	0.18	0.2	0.12	0.1	0.13	0.19	6.68
lncRNA#antisense	0.09	0.14	0.11	0.11	0.15	0.12	0.2	0.16	0.07	0.12	0.21	0.15	0.08	0.13	0.11	0.12	0.3	0.15	0.1	0.32	0.09	0.27	0.1	0.19	0.1	0.12	0.17	0.13	0.13	0.14	0.06	0.13	0.09	0.17	0.14	0.11	0.16	0.21	0.19	0.09	0.12	0.16	6.009999999999999
Mt_tRNA#sense	0.06	0.02	0.02	0.2	0.29	0.06	0.12	0.11	0.03	0.03	0.24	0.04	0.08	0.07	0.14	0.17	0.3	0.03	0.05	0.02	0.01	0.03	0.02	0.16	0.07	0.03	0.1	0.15	0.07	0.03	0.02	0.06	0.14	0.03	0.03	0.16	0.17	0.01	0.09	0.02	0.01	0.11	3.5999999999999983
processed_pseudogene#antisense	0.11	0.01	0.02	0.1	0.04	0.11	0.09	0.19	0.01	0.02	0.15	0.08	0.05	0.01	0.13	0.08	0.14	0.0	0.1	0.02	0.02	0.06	0.11	0.2	0.01	0.02	0.17	0.1	0.07	0.01	0.03	0.08	0.13	0.02	0.12	0.1	0.1	0.02	0.05	0.01	0.01	0.23	3.13
processed_transcript#sense	0.06	0.04	0.03	0.09	0.11	0.05	0.05	0.07	0.06	0.03	0.08	0.08	0.06	0.08	0.08	0.11	0.11	0.03	0.04	0.04	0.04	0.06	0.06	0.07	0.1	0.05	0.07	0.08	0.04	0.04	0.02	0.04	0.08	0.06	0.06	0.08	0.09	0.06	0.06	0.05	0.04	0.06	2.6100000000000008
antisense_RNA#antisense	0.05	0.06	0.03	0.03	0.03	0.04	0.05	0.05	0.03	0.03	0.05	0.28	0.03	0.05	0.03	0.04	0.06	0.02	0.04	0.05	0.04	0.15	0.16	0.06	0.03	0.05	0.08	0.04	0.04	0.04	0.03	0.03	0.04	0.08	0.06	0.03	0.04	0.08	0.04	0.03	0.05	0.06	2.3100000000000005
retained_intron#antisense	0.03	0.04	0.03	0.04	0.04	0.03	0.05	0.05	0.02	0.03	0.04	0.05	0.02	0.03	0.03	0.04	0.06	0.02	0.03	0.03	0.03	0.05	0.05	0.07	0.03	0.04	0.05	0.05	0.04	0.04	0.02	0.04	0.04	0.09	0.05	0.03	0.04	0.1	0.04	0.03	0.03	0.05	1.720000000000001
sense_intronic#sense	0.03	0.03	0.04	0.03	0.02	0.02	0.03	0.02	0.05	0.01	0.02	0.03	0.02	0.06	0.05	0.02	0.02	0.04	0.02	0.01	0.05	0.02	0.01	0.04	0.13	0.05	0.02	0.02	0.03	0.02	0.0	0.02	0.02	0.04	0.03	0.04	0.03	0.06	0.03	0.07	0.11	0.04	1.4500000000000006
nonsense_mediated_decay#sense	0.03	0.02	0.02	0.03	0.03	0.03	0.11	0.05	0.01	0.02	0.03	0.09	0.02	0.03	0.03	0.02	0.04	0.01	0.03	0.03	0.01	0.05	0.08	0.03	0.01	0.02	0.05	0.03	0.03	0.02	0.02	0.02	0.03	0.04	0.04	0.03	0.04	0.02	0.03	0.01	0.01	0.04	1.3400000000000005
nonsense_mediated_decay#antisense	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.02	0.02	0.08	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.05	0.02	0.02	0.02	0.03	0.02	0.04	0.05	0.03	0.02	0.01	0.01	0.01	0.03	0.03	0.05	0.03	0.03	0.02	0.03	0.02	0.02	0.03	1.0700000000000005
processed_transcript#antisense	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.03	0.04	0.01	0.01	0.01	0.02	0.03	0.0	0.02	0.04	0.01	0.04	0.04	0.03	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.03	0.01	0.02	0.01	0.01	0.01	0.01	0.03	0.7500000000000002
Mt_rRNA#sense	0.02	0.01	0.0	0.03	0.03	0.01	0.02	0.03	0.01	0.0	0.04	0.03	0.02	0.02	0.03	0.03	0.05	0.0	0.01	0.0	0.0	0.02	0.01	0.03	0.02	0.01	0.02	0.03	0.01	0.01	0.01	0.01	0.03	0.01	0.01	0.03	0.04	0.0	0.02	0.01	0.0	0.02	0.7400000000000003
scaRNA#sense	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.05	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.0	0.01	0.04	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.05	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.6000000000000002
Mt_tRNA#antisense	0.0	0.02	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.02	0.02	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.01	0.01	0.05	0.0	0.0	0.0	0.0	0.06	0.01	0.01	0.01	0.05	0.0	0.03	0.0	0.0	0.01	0.0	0.05	0.0	0.0	0.0	0.0	0.04	0.44999999999999996
piRNA#sense	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.01	0.03	0.02	0.0	0.01	0.03	0.0	0.01	0.0	0.01	0.01	0.0	0.01	0.01	0.04	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.0	0.01	0.01	0.4300000000000002
processed_pseudogene#sense	0.01	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.04	0.01	0.0	0.01	0.01	0.02	0.0	0.0	0.02	0.0	0.02	0.06	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.33
sense_overlapping#sense	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.0	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.02	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.01	0.23000000000000007
sense_intronic#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.09
miRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
sense_overlapping#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
3prime_overlapping_ncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
guide_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
misc_RNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
macro_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
	sumtRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
IG_C_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnase#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
piRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_J_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TEC#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vault_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
microRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otherRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
