name	SRX590714	SRX590715	SRX590712	SRX590713	SRX590710	SRX590711	SRX590705	SRX590704	SRX590707	SRX590706	SRX590701	SRX590700	SRX590703	SRX590702	SRX590709	SRX590708	SRX590693	SRX590697	SRX590696	SRX590695	SRX590694	SRX590699	SRX590698
hsa-miR-342-3p	107	103	51	27	73	62	78	51	75	48	54	79	45	64	44	52	70	63	56	66	69	66	111
hsa-miR-7-5p	965	955	1055	545	1423	1228	1660	1501	1138	1113	1151	738	1065	1163	1305	1152	1462	1756	1076	1687	1465	1389	1403
hsa-miR-6125	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-2-3p	109	122	69	44	183	244	240	171	102	167	166	75	128	146	152	160	78	134	70	102	72	94	112
hsa-miR-144-3p	159	192	87	88	62	220	100	191	1661	115	70	88	487	163	89	53	150	103	83	123	216	215	115
hsa-miR-331-5p	70	96	67	40	115	118	76	70	76	66	92	101	65	62	85	58	98	167	96	51	73	93	98
hsa-miR-26b-5p	328	389	161	110	363	423	351	350	413	227	286	203	323	358	294	228	256	327	161	345	287	433	311
hsa-miR-889-3p	2550	3014	1634	924	4596	5780	4120	4029	2663	3175	3304	1841	3128	4277	5043	3502	2206	5695	1534	3251	2819	4216	3327
hsa-miR-5189-5p	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-15a-3p	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-34c-3p	88	102	128	77	187	273	258	129	97	151	115	97	104	157	189	176	116	189	108	135	128	113	189
hsa-miR-3120-3p	2	5	3	3	4	6	2	3	4	3	3	2	3	2	0	6	14	6	0	4	9	8	5
hsa-miR-181c-5p	198	249	375	144	261	274	324	261	273	222	269	224	222	229	239	277	391	230	345	380	427	258	271
hsa-miR-3661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
hsa-miR-1224-5p	7677	10005	19749	10908	5945	7023	10737	7094	10528	6661	8304	9799	6145	6982	7494	7937	18200	15455	23659	15547	19005	11217	11347
hsa-miR-191-3p	218	252	240	133	207	195	268	135	217	171	186	159	126	190	170	160	325	220	361	306	366	254	249
hsa-miR-383-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	2	3	4	0	0
hsa-miR-214-3p	15	22	4	5	4	12	3	12	8	15	6	9	6	3	5	10	14	6	9	13	7	19	13
hsa-miR-93-5p	290	380	427	148	596	593	574	506	805	381	488	309	544	412	417	451	420	427	364	368	383	501	518
hsa-miR-98-3p	32	37	40	23	76	71	55	47	31	36	36	29	35	47	59	51	35	53	21	55	55	80	38
hsa-miR-767-3p	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	2	0
hsa-miR-4741	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-33b-5p	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	3	0	0	2	0	3	0	0
hsa-miR-296-5p	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-148a-3p	18085	24717	16978	9600	32810	36003	32232	29036	24422	21913	21942	21238	22141	29063	31398	25268	22592	52644	17108	28210	24913	31043	32272
hsa-miR-127-5p	588	668	1191	592	810	794	1218	989	699	786	936	640	662	789	810	924	1195	1126	1518	1198	1455	883	856
hsa-miR-323b-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-185-3p	223	226	361	201	236	274	382	243	287	205	243	226	200	207	223	238	376	392	475	390	403	251	326
hsa-miR-377-3p	203	326	380	183	423	358	453	503	295	381	448	220	332	352	378	360	481	318	375	458	511	369	314
hsa-let-7a-2-3p	14	11	4	6	4	10	8	2	10	9	2	10	4	10	4	4	12	10	9	16	7	11	9
hsa-miR-3085-3p	12	12	19	5	18	22	17	11	10	10	23	19	11	12	15	19	16	28	13	15	18	16	21
hsa-miR-19b-3p	289	402	449	205	628	543	523	611	837	430	585	251	639	431	397	469	461	516	441	479	558	442	502
hsa-miR-3651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-1260b	7	14	14	8	15	15	13	8	10	11	12	8	15	10	5	7	18	11	13	15	15	13	12
hsa-miR-1260a	0	3	5	1	0	1	5	2	2	4	0	3	3	1	0	0	3	3	6	3	6	2	1
hsa-miR-3074-5p	72	81	121	64	41	62	86	51	87	57	66	72	53	59	62	55	95	104	166	102	148	95	89
hsa-miR-18a-5p	1	5	1	1	2	8	2	3	10	6	0	4	6	2	4	2	5	3	0	2	7	2	4
hsa-miR-331-3p	21	23	23	10	37	35	46	23	22	29	25	24	24	33	22	23	28	19	34	41	36	27	34
hsa-miR-499a-5p	202	191	199	91	504	289	301	311	197	192	232	156	188	220	274	245	287	284	137	246	285	283	173
hsa-miR-26b-3p	6	11	0	5	12	5	4	8	9	5	3	6	0	10	12	2	16	4	8	3	9	6	2
hsa-miR-941	7	12	3	3	2	17	12	6	43	0	6	17	14	0	2	5	10	20	2	16	4	18	11
hsa-miR-940	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-628-5p	13	43	18	10	37	41	47	32	24	33	10	10	32	32	47	24	35	31	18	46	29	54	31
hsa-miR-181c-3p	214	227	382	209	262	381	449	337	240	255	325	248	240	295	338	383	471	438	518	516	515	294	451
hsa-miR-494-3p	0	2	2	0	0	0	0	0	0	0	7	0	0	4	0	0	0	2	0	0	2	0	0
hsa-miR-1224-3p	11	5	13	0	2	2	6	2	6	0	2	6	0	8	3	5	12	3	14	8	6	6	3
hsa-miR-873-5p	488	577	809	394	753	722	1019	869	743	667	687	529	660	676	895	739	926	845	1048	889	1045	876	688
hsa-miR-93-3p	0	10	0	4	6	4	4	6	6	0	2	0	4	2	3	0	5	8	5	8	2	7	0
hsa-miR-5009-5p	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c-5p	4717	5550	3391	1769	4431	5902	5545	3863	4071	3177	3351	3025	2741	3953	4455	3665	4527	6877	2527	5751	3975	5634	7035
hsa-miR-33b-3p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-6500-3p	0	0	0	0	89	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-483-5p	6	27	95	30	4	6	8	12	15	25	31	10	3	22	2	6	28	13	26	22	16	17	115
hsa-miR-296-3p	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-122-5p	2236	3873	11489	2356	9898	6222	9259	16757	3704	4695	10040	2759	850	22458	1414	2541	2460	5066	2066	4121	1965	2029	51249
hsa-miR-675-5p	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-127-3p	23137	28925	47696	26807	22511	29967	39913	26711	29667	24791	27198	28915	20938	26725	28728	29128	44020	49899	49549	38914	46676	32047	35990
hsa-miR-323b-3p	27	47	32	28	14	22	17	19	33	11	14	27	11	18	16	10	36	21	24	21	41	34	31
hsa-miR-6529-5p	14385	17373	22532	12600	8609	10663	15061	8843	16663	9118	11214	14729	7617	9464	10001	10543	22477	15744	27976	21336	26273	18839	18193
hsa-miR-4286	0	2	2	2	2	0	2	3	2	3	0	0	0	0	0	3	2	2	0	2	3	2	4
hsa-miR-935	74	88	83	55	84	96	110	92	80	73	78	52	72	67	88	96	87	89	82	112	95	89	103
hsa-miR-450b-5p	247	249	145	101	270	339	273	314	257	199	194	156	193	277	339	250	238	315	106	237	253	350	188
hsa-miR-6850-5p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-200b-5p	4	8	9	6	11	9	11	10	14	3	24	2	2	10	2	7	9	10	9	13	8	7	10
hsa-miR-130a-3p	605	716	760	489	680	676	774	750	774	549	669	622	567	542	672	596	825	820	828	684	911	797	655
hsa-miR-496	22	32	16	8	23	21	23	22	22	24	17	21	20	11	21	21	19	22	14	22	11	26	23
hsa-miR-361-5p	1124	1509	900	453	2135	2805	1773	1323	953	1226	1394	1092	1121	1349	2038	1606	959	1979	814	1274	1120	1327	1556
hsa-miR-3199	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3196	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3195	0	0	2	0	0	0	0	0	0	2	0	4	0	2	2	0	2	0	2	3	0	0	0
hsa-miR-3074-3p	0	0	4	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0
hsa-miR-18a-3p	0	0	0	0	2	0	0	0	12	0	0	0	3	4	0	2	0	0	0	0	0	2	0
hsv2-miR-H10	19	42	78	42	2	2	14	14	74	11	7	51	5	10	4	8	79	23	94	75	68	36	25
hsa-miR-1912-5p	8	0	4	0	6	7	6	8	2	4	0	3	2	5	5	2	4	6	8	9	9	2	9
hsa-miR-5010-5p	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsa-Mir-3059_5p	2	2	0	4	2	2	0	0	0	2	1	0	0	0	0	3	3	2	2	2	1	4	3
hsa-miR-3913-5p	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-365b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-431-5p	11	8	15	15	12	16	9	13	8	7	13	15	11	7	20	14	5	26	24	15	19	9	28
hsa-miR-6891-5p	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-628-3p	248	281	232	124	380	374	408	245	338	257	236	204	195	286	359	298	333	299	200	376	336	340	302
hsa-miR-3144-3p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-512-3p	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-873-3p	779	859	1775	1007	646	646	1041	722	997	723	864	968	567	647	714	860	1417	1518	2105	1344	1790	859	1055
hsa-miR-484	663	820	586	450	569	715	635	394	1626	347	500	680	654	466	478	404	675	626	786	796	788	651	781
hsa-miR-99a-5p	366527	426108	443747	235200	353618	414807	500125	328141	392137	322530	314657	398539	274196	326671	383015	369389	498202	427835	479911	503001	554394	431515	419138
hsa-let-7c-3p	43	49	25	22	36	45	44	25	45	26	23	48	24	34	40	34	38	52	25	53	45	61	56
hsa-miR-4664-3p	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-425-5p	687	912	1081	526	590	837	910	644	1159	618	610	634	462	596	616	607	989	660	891	899	1011	817	836
hsa-miR-3182	0	2	6	2	2	6	0	0	3	2	0	3	9	2	0	0	7	3	0	7	4	6	4
hsa-miR-483-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-122-3p	0	0	0	0	0	0	0	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0
hsa-miR-3180	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-501-5p	11	6	9	6	2	0	9	5	5	2	4	4	4	4	2	2	10	9	17	7	13	9	13
hsa-miR-6529-3p	144	213	93	36	106	130	166	94	126	80	79	103	69	110	110	114	130	79	111	163	124	137	146
hsa-miR-3191-3p	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-133a-5p	0	0	0	0	2	0	2	0	0	0	4	0	0	0	0	0	2	0	2	4	0	0	0
hsa-miR-200b-3p	4	19	28	27	71	42	32	30	19	20	84	16	17	29	38	31	21	39	8	33	16	15	49
hsa-miR-3615	43	92	50	89	85	83	29	58	719	36	44	119	127	41	26	28	58	66	45	91	41	77	59
hsa-miR-361-3p	725	901	1001	434	837	771	1166	641	739	658	726	614	530	706	741	760	1020	961	1069	1119	1111	792	1015
hsa-miR-450a-2-3p	2	0	0	0	2	0	0	0	0	0	0	2	0	2	4	4	0	0	0	0	0	2	2
hsa-miR-3178	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-29b-3p	128	130	86	73	196	219	146	183	123	132	141	77	132	140	171	133	124	153	91	132	142	175	144
hsa-miR-3176	0	0	0	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
hsa-miR-1912-3p	10	16	18	11	16	29	16	14	8	10	9	19	10	14	16	19	20	24	14	17	11	11	9
hsa-miR-125b-1-3p	3386	3858	3181	2257	2990	3857	3824	2476	2858	2511	2875	2983	2277	2679	3538	3104	3450	5766	3345	4017	3995	3874	4303
hsa-miR-105-5p	1689	2212	2467	1327	1451	1841	2263	1242	1814	1227	1249	1782	1017	1409	1655	1516	2469	2387	2414	2608	2702	1975	2518
hsa-miR-376c-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5010-3p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-542-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0
hsa-miR-4781-3p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-365b-3p	60	53	42	27	53	62	59	50	44	47	42	47	26	42	56	54	47	64	32	53	46	44	63
kshv-miR-K12-3-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
hsa-miR-431-3p	128	171	188	92	154	199	194	193	153	158	167	131	139	153	183	185	205	199	222	151	228	162	178
hsa-miR-30d-5p	45294	53120	51606	33011	45966	52384	60754	38077	48414	38015	38167	41796	32792	41816	46110	42892	60097	60040	48615	62105	60656	49584	62072
hsa-miR-551b-5p	13	12	11	10	9	18	25	16	17	13	11	15	9	14	8	8	13	8	21	15	25	15	15
hsa-miR-5697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-29b-2-5p	8	11	12	9	6	12	25	14	7	8	7	5	14	11	7	7	26	2	13	18	10	11	19
hsa-miR-5695	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30c-2-3p	20	22	20	5	14	11	28	17	11	19	11	13	9	12	12	17	22	20	38	24	17	20	22
hsa-miR-107	762	923	971	592	888	957	956	921	1928	716	926	748	934	760	848	714	1064	962	1031	933	1158	1050	860
hsa-miR-152-5p	0	3	2	2	0	0	0	0	0	0	0	5	0	0	0	0	3	2	2	0	0	0	2
hsa-miR-12136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-99a-3p	50	48	50	18	66	74	73	57	34	59	50	47	46	55	75	38	52	64	37	64	53	54	97
hsa-miR-12135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-3168	253	179	378	214	109	166	284	192	532	125	355	218	248	193	168	200	412	127	849	346	472	276	69
hsa-miR-3164	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-425-3p	283	344	520	236	450	441	509	417	490	467	451	400	382	376	422	463	458	653	584	466	565	463	527
hsa-miR-670-3p	0	0	0	0	0	0	0	0	0	0	2	0	2	3	0	0	0	2	2	0	0	2	3
hsa-miR-501-3p	852	1127	1051	674	695	879	1076	654	1127	602	668	756	619	639	738	719	1111	1025	1226	1018	1228	932	867
hsa-miR-6716-3p	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-24-3p	28833	38732	28387	18984	36074	43373	38855	32978	33544	29502	34060	28705	29991	33199	40831	33662	31368	51778	34179	36134	41315	41097	35777
hsa-miR-664b-5p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-133a-3p	154	169	234	105	177	155	156	127	166	116	172	142	147	102	145	134	221	221	223	216	248	193	196
hsa-miR-338-5p	9	29	16	15	31	16	13	16	19	3	16	46	9	7	5	6	33	18	14	12	11	18	16
hsa-miR-222-5p	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0
hsa-miR-190b-5p	54	40	44	20	73	89	67	46	44	56	73	26	57	69	63	62	61	79	46	62	63	68	60
hsa-miR-371a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-5684	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
hsa-miR-3675-5p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-3180-3p	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-422a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
hsa-miR-12124	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1307-5p	157	159	351	210	173	189	223	218	250	169	249	214	170	200	186	171	314	263	452	341	419	208	229
hsa-miR-769-5p	5	9	6	5	15	17	8	10	16	0	14	15	3	2	0	4	19	30	9	5	11	4	12
hsa-miR-100-5p	99100	102826	136897	73019	88194	105934	134488	92295	109020	85971	82310	100178	70106	81866	100784	100879	154117	157901	143027	144551	158552	118203	123386
hsa-miR-653-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-105-3p	62	76	87	52	87	112	146	105	57	108	90	54	59	95	90	107	106	140	159	132	118	82	83
hsa-miR-6507-5p	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-542-3p	147	201	280	161	248	236	278	415	222	222	234	150	173	220	280	236	316	322	253	306	407	348	172
hsa-miR-187-5p	37	25	32	25	17	23	31	21	18	24	15	29	15	16	13	23	38	27	30	34	44	27	30
hsa-miR-379-5p	4011	5023	4521	2576	4816	6052	6297	5382	4465	4260	4137	3509	3833	4948	6058	4956	5266	8768	4565	5345	5807	6352	5083
hsa-miR-5587-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-30d-3p	118	152	165	105	195	239	258	217	134	161	142	127	150	152	221	185	246	216	227	240	275	187	201
hsa-miR-6715a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-551b-3p	4	2	4	2	3	2	10	3	7	2	0	4	0	8	4	4	2	2	6	2	10	3	0
hsa-miR-455-5p	468	559	552	235	543	698	683	557	537	432	474	448	376	521	592	475	597	695	606	660	697	625	706
hsa-miR-301b-3p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-448	0	2	0	0	0	6	0	2	5	0	0	0	3	0	2	3	0	7	2	2	2	2	0
hsa-miR-152-3p	669	811	1198	848	956	1080	1231	1240	946	933	1074	682	920	993	1122	1048	1304	1658	1295	1138	1329	996	964
hsa-miR-9-5p	64026	70772	38081	19206	88147	102463	89453	86534	57365	60453	52285	36793	53125	72438	94734	63302	56159	94495	33748	72577	65343	101643	65699
hsa-miR-10a-5p	1908	1943	1375	877	1755	1544	1842	1179	1556	1091	2579	1341	1042	1295	1327	1176	1718	1994	1203	1886	1757	1914	1658
hsa-miR-3146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
hsa-miR-550a-5p	7	9	7	3	5	11	1	2	40	0	5	16	27	5	0	0	2	7	2	2	0	15	4
hsa-miR-10527-5p	53	52	90	50	54	74	71	53	100	46	46	52	46	57	55	56	81	109	92	104	87	56	51
hsa-miR-3143	0	0	0	0	0	2	0	2	12	0	0	0	7	0	0	0	0	0	0	0	0	0	0
hsa-miR-203b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	3
hsa-miR-7854-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-92b-5p	43	30	55	40	15	17	22	19	56	20	22	45	19	24	12	19	57	47	59	60	52	32	39
hsa-miR-338-3p	117	121	152	65	161	170	157	163	122	133	125	113	133	131	166	139	163	129	133	166	179	159	125
hsa-miR-3939	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-222-3p	6607	7657	5714	3756	5330	6253	6706	4377	6050	4350	4505	5779	4023	5149	5527	5142	6684	7376	5969	7819	7504	6278	7305
hsa-miR-4659b-3p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3617-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-6513-3p	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-3138	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-211-5p	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0
hsa-miR-95-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-1307-3p	231	350	471	276	320	320	367	227	381	247	406	342	268	271	263	349	404	469	622	442	550	285	425
hsa-miR-3131	0	0	0	0	0	0	0	0	2	0	24	0	0	0	0	0	0	5	0	0	0	0	0
hsa-miR-129-5p	131799	146776	213833	137796	114625	129432	184115	120231	133844	121052	130506	142091	100254	115523	135885	139191	194396	252281	245278	185042	225512	146811	161192
hsa-miR-182-5p	49	71	32	44	155	74	36	76	310	49	57	45	104	43	62	42	48	97	20	32	67	50	36
hsa-miR-187-3p	84	92	184	72	115	128	169	133	130	99	131	82	92	124	101	143	144	147	176	166	168	126	156
hsa-miR-379-3p	6	21	6	0	23	26	21	4	7	8	9	6	9	13	7	10	5	26	0	8	8	18	4
hsa-miR-205-5p	0	2	0	5	0	0	0	0	0	0	2	0	0	2	0	2	0	2	0	0	8	2	2
hsa-miR-758-5p	4	14	5	4	7	9	5	7	8	7	9	4	9	8	13	6	11	18	7	15	8	6	10
hsa-miR-429	0	0	0	4	28	0	0	0	0	2	48	0	0	0	0	0	0	8	0	2	0	2	7
hsa-miR-455-3p	0	0	5	0	0	0	0	0	2	0	0	0	0	2	0	0	0	5	2	0	2	0	4
hsa-miR-6741-5p	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-421	401	439	289	168	549	595	617	389	364	371	407	304	342	424	538	484	388	501	310	503	437	427	433
hsa-miR-9-3p	142772	158747	112422	83580	119285	134802	131133	123624	150762	96878	112238	114879	104263	112676	134490	104777	140853	157419	116908	131184	164955	169362	128630
hsa-miR-10a-3p	41	57	57	26	63	40	31	45	61	28	119	41	36	29	55	26	78	68	41	68	66	72	43
hsa-miR-550a-3p	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
hsa-miR-193b-5p	87	75	140	98	31	32	39	36	76	38	34	114	24	25	40	21	132	80	198	119	167	75	90
hsa-miR-141-3p	0	0	2	5	12	0	5	3	0	2	12	0	0	0	2	0	2	0	0	2	0	0	4
hsa-miR-374a-5p	4	8	4	0	2	5	3	4	10	4	12	4	12	0	3	3	3	9	0	6	6	0	3
hsa-miR-92b-3p	5840	6778	3822	2220	4652	5858	5152	3379	5081	3457	3423	4157	2767	3850	4334	3617	4532	5520	3511	5044	4947	5786	6870
hsa-miR-26a-1-3p	526	656	610	371	840	922	950	833	620	619	691	486	688	759	947	801	782	999	779	931	928	851	757
hsa-miR-6735-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0
hsa-miR-3917	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-10400-5p	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0
hsa-miR-4485-3p	2	2	2	0	0	2	0	0	0	3	0	2	0	0	0	2	4	4	0	3	2	4	2
hsa-miR-3617-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
hsa-miR-4677-3p	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	3	0	0	3	0
hsa-miR-491-5p	0	3	3	0	0	3	0	2	2	3	0	3	0	0	0	0	7	3	4	2	2	0	0
hsa-miR-6729-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
