name	SRX2409152	SRX2409153	SRX2409150	SRX2409151	SRX2409149	SRX2409148
hsa-miR-199b-3p	39639	16441	3268	101558	14691	35972	211568.51
hsa-miR-223-3p	7304	3895	12026	8526	11930	166166	209847.0
hsa-miR-26b-5p	31206	19506	6501	37228	42004	69238	205683.99
hsa-miR-222-3p	44525	21244	6942	91072	19208	15153	198144.0
hsa-miR-142-5p	8676	22360	26013	5907	27157	92894	183007.0
hsa-miR-1307-3p	37526	27534	13067	48886	38718	14505	180236.0
hsa-miR-93-5p	19683	14911	3789	45167	17832	75307	176689.0
hsa-miR-146b-5p	14168	8559	6887	19869	44345	78481	172308.5
hsa-miR-584-5p	25397	16918	2456	38700	48124	35263	166858.0
hsa-miR-128-3p	32629	30190	7097	32223	36676	19441	158256.0
hsa-miR-381-3p	24523	14863	3066	7426	37145	44711	131734.0
hsa-miR-652-3p	14022	8662	4891	31295	13313	53642	125825.0
hsa-miR-186-5p	9319	14798	17503	14515	17105	51437	124677.0
hsa-miR-1-3p	16828	9233	1900	3402	45665	47593	124620.66
hsa-miR-22-3p	14579	26538	8469	13331	15167	39181	117265.0
hsa-miR-361-3p	18765	13005	10347	18809	35580	20155	116661.0
hsa-miR-28-3p	14817	9615	7883	18216	37130	27272	114933.0
hsa-miR-148b-3p	9099	9178	7106	7640	15031	65295	113347.5
hsa-miR-378a-3p	5199	5937	3614	5390	12304	78908	111351.23999999999
hsa-miR-99a-5p	21374	19371	11767	11890	26441	20490	111331.5
hsa-miR-139-5p	14150	6352	4134	45149	21016	16929	107730.0
hsa-miR-629-5p	15826	24060	10360	33003	9030	14997	107276.0
hsa-miR-223-5p	13612	10113	18542	17593	10905	33224	103989.0
hsa-miR-16-2-3p	13196	44119	15806	12529	7934	9485	103069.0
hsa-miR-23a-3p	10603	5909	1893	18595	6258	57229	100485.83
hsa-miR-484	12921	10071	10234	12437	28084	14935	88682.0
hsa-miR-425-3p	7215	5329	13981	12609	19342	28171	86647.0
hsa-miR-27a-3p	11225	9848	13228	11232	9401	29840	84773.5
hsa-miR-199a-5p	10935	5442	1554	14088	5335	35086	72440.0
hsa-miR-30e-3p	11361	9407	2137	10067	7530	31832	72333.5
hsa-miR-320b	10099	14224	14820	11986	12305	3158	66592.69
hsa-miR-16-5p	5568	13511	4346	5592	4849	32290	66156.34
hsa-miR-98-5p	13481	10063	3498	23663	7883	4107	62694.759999999995
hsa-miR-181a-5p	5685	6362	8866	7477	10183	20632	59203.5
hsa-miR-30e-5p	6265	7856	2345	4293	6178	29684	56620.0
hsa-miR-532-5p	6321	9371	3058	8603	5103	24006	56462.0
hsa-miR-425-5p	7419	7963	7893	10973	6380	14363	54991.0
hsa-miR-4433b-3p	13521	7400	3599	13016	11422	4571	53529.0
hsa-miR-192-5p	5064	9617	4977	2434	7581	22907	52578.5
hsa-miR-150-5p	871	751	2703	273	29497	18430	52525.0
hsa-let-7d-3p	5827	5705	3951	6591	14037	11088	47199.0
hsa-miR-134-5p	11526	5565	207	3037	15437	10627	46399.0
hsa-miR-340-5p	3475	3209	1741	1896	7345	26844	44510.0
hsa-miR-432-5p	3242	1635	571	848	27531	9929	43756.0
hsa-miR-11400	9769	5627	1158	10700	4923	9085	41262.0
hsa-miR-17-5p	2909	2872	719	4928	4809	24752	40988.67
hsa-miR-29a-3p	2244	1688	3050	1733	3330	28830	40874.83
hsa-miR-409-3p	11124	4989	194	3115	14092	6267	39781.0
hsa-let-7c-5p	6597	7173	4525	8783	7996	4174	39247.619999999995
hsa-miR-363-3p	3851	9060	2624	6543	3089	13716	38883.0
hsa-miR-20a-5p	4237	4056	935	7280	4586	16528	37619.509999999995
hsa-miR-99b-5p	7196	4019	2102	10957	8645	4473	37392.0
hsa-miR-1843	7089	4776	1377	9276	9447	4354	36319.0
hsa-miR-152-3p	4414	2211	469	9874	7516	11637	36121.0
hsa-miR-328-3p	3819	2977	1554	2921	16752	7398	35421.0
hsa-miR-185-3p	6141	3135	912	11899	6080	7214	35381.0
hsa-miR-941	3205	3924	6857	5292	4069	10917	34263.84000000001
hsa-miR-101-3p	2161	8241	3223	1556	2238	16723	34142.0
hsa-miR-3615	3587	9048	804	3904	12413	3574	33330.0
hsa-miR-224-5p	7501	3560	506	5936	9319	6416	33238.0
hsa-miR-486-3p	5359	7602	4771	4365	8062	2692	32851.0
hsa-miR-126-5p	5781	3475	1075	8163	2810	10451	31755.0
hsa-miR-183-5p	1738	12220	4267	3623	2425	7194	31467.0
hsa-miR-10a-5p	3351	2994	2869	4037	10017	8112	31378.0
hsa-miR-4446-3p	6092	3188	2320	7744	8785	2070	30199.0
hsa-miR-155-5p	5408	2512	740	8029	7171	6119	29979.0
hsa-miR-182-5p	3162	7427	2830	5880	2458	7892	29649.0
hsa-miR-370-3p	5493	3017	162	1214	6612	12895	29393.0
hsa-miR-30c-5p	6134	3566	710	6327	2507	9644	28889.02
hsa-miR-127-3p	7211	3149	258	3114	11029	3772	28533.0
hsa-miR-625-3p	2403	2048	4812	9464	5237	4201	28165.0
hsa-miR-15b-5p	1099	2921	3428	1104	3927	15515	27993.0
hsa-let-7e-5p	6020	2981	1792	11940	2315	706	25753.649999999998
hsa-miR-4433b-5p	2755	1226	126	2193	9421	7270	22991.0
hsa-miR-320c	3261	3201	4664	3535	5837	1139	21636.809999999998
hsa-miR-382-5p	5140	2657	204	1442	7462	4197	21102.0
hsa-miR-7-5p	3297	6588	890	4825	1536	3621	20757.0
hsa-miR-181b-5p	1940	1320	1865	4521	3715	7063	20423.52
hsa-miR-30a-5p	1245	1166	524	1582	3183	10421	18119.0
hsa-miR-326	2114	1316	427	2263	5534	5749	17403.0
hsa-miR-361-5p	1397	831	515	1976	5336	7161	17216.0
hsa-miR-133a-3p	3311	1285	857	2006	4763	4823	17044.66
hsa-miR-139-3p	2347	1227	475	5867	5309	1401	16626.0
hsa-miR-342-3p	419	204	1372	880	4679	7613	15167.0
hsa-miR-1301-3p	3237	1532	261	4855	3750	1501	15136.0
hsa-miR-23b-3p	2391	1390	253	5579	740	4496	14846.83
hsa-miR-501-3p	1627	2983	1290	2824	2266	3161	14148.67
hsa-miR-2110	1954	2822	2132	2475	3199	1338	13920.0
hsa-miR-330-3p	2654	1557	379	3741	3580	1996	13907.0
hsa-miR-335-3p	2773	2132	610	1477	4431	1668	13091.0
hsa-miR-493-5p	3920	1571	64	1415	2952	2916	12838.0
hsa-miR-6852-5p	2246	1130	472	3268	3590	1955	12661.0
hsa-miR-654-3p	2316	1519	155	524	2628	5194	12336.0
hsa-miR-1180-3p	1018	3861	2654	1655	1412	789	11389.0
hsa-miR-338-5p	1160	646	822	2237	2342	4023	11230.0
hsa-miR-342-5p	740	698	5604	844	2722	337	10945.0
hsa-miR-493-3p	2568	1459	55	851	2938	3023	10894.0
hsa-miR-22-5p	1886	1970	672	2563	1402	1854	10347.0
hsa-miR-543	3931	3026	66	775	2055	210	10063.0
hsa-miR-345-5p	1066	722	812	1122	1704	4540	9966.0
hsa-miR-1246	82	87	210	130	6888	1946	9343.0
hsa-miR-125a-5p	1326	859	170	951	4613	1174	9093.0
hsa-miR-200b-3p	585	252	95	926	3643	3299	8800.0
hsa-miR-148a-5p	909	706	829	1455	1057	3821	8777.0
hsa-miR-10b-5p	1396	1424	584	487	2287	2547	8723.0
hsa-miR-654-5p	1699	931	69	663	3521	1808	8691.0
hsa-miR-1273h-3p	1471	890	680	2170	1996	1445	8652.0
hsa-miR-339-3p	684	900	1105	581	1630	3748	8648.0
hsa-miR-92b-3p	640	1064	612	1279	2993	2035	8621.68
hsa-miR-107	803	1895	365	951	874	3511	8398.67
hsa-miR-877-5p	1200	650	939	1923	2368	1192	8272.0
hsa-miR-374b-5p	1076	665	394	1352	688	3928	8100.5
hsa-miR-664a-5p	1037	823	591	1065	2777	1765	8058.0
hsa-miR-500a-3p	559	594	263	1034	815	4309	7572.17
hsa-miR-3158-3p	321	3289	1581	388	980	667	7226.0
hsa-miR-181a-2-3p	775	757	1331	940	1027	1956	6786.0
hsa-miR-760	1131	670	718	1204	2595	437	6755.0
hsa-miR-494-3p	782	500	39	193	2274	2920	6708.0
hsa-miR-15b-3p	556	1285	1104	577	464	2706	6692.0
hsa-miR-30a-3p	912	677	254	2248	1022	1505	6617.5
hsa-miR-339-5p	896	555	93	474	1662	2806	6486.0
hsa-miR-130a-3p	338	396	298	341	1636	3078	6086.5
hsa-miR-194-5p	518	1636	1338	235	568	1606	5901.0
hsa-miR-6842-3p	738	548	870	1149	1471	1018	5794.0
hsa-miR-379-5p	1977	671	2	880	806	1419	5755.0
hsa-miR-150-3p	512	375	1031	604	2521	593	5636.0
hsa-miR-671-3p	838	495	259	1330	2117	584	5623.0
hsa-miR-151a-5p	975	620	61	1592	894	1330	5471.0
hsa-miR-100-5p	953	866	1157	539	1304	526	5343.5
hsa-miR-324-3p	447	346	565	839	757	2376	5330.0
hsa-let-7f-1-3p	654	588	804	732	1010	1534	5321.5
hsa-miR-769-5p	470	301	201	752	584	3010	5318.0
hsa-miR-424-3p	538	987	642	1406	782	924	5279.0
hsa-miR-574-3p	558	376	118	446	1876	1861	5235.0
hsa-miR-589-5p	320	359	1256	508	633	2106	5182.0
hsa-miR-10399-3p	758	534	407	1283	758	1355	5095.0
hsa-miR-495-3p	1250	705	62	263	1051	1746	5077.0
hsa-miR-3177-3p	948	560	247	1626	1226	468	5075.0
hsa-let-7a-3p	695	860	461	481	477	2087	5061.34
hsa-miR-30b-5p	830	400	127	816	380	2408	4960.01
hsa-miR-23a-5p	1070	457	197	1841	989	280	4834.0
hsa-miR-582-3p	117	87	1354	365	227	2645	4795.0
hsa-miR-10527-5p	730	628	246	972	1458	737	4771.0
hsa-miR-1908-5p	957	731	105	1455	1077	353	4678.0
hsa-miR-320d	658	575	729	781	1543	336	4621.06
hsa-miR-193a-5p	538	354	1400	969	769	554	4584.0
hsa-miR-4732-5p	401	1566	1397	366	509	339	4578.0
hsa-miR-130b-3p	110	121	223	96	1808	2219	4576.5
hsa-miR-421	495	514	260	658	837	1668	4432.0
hsa-miR-197-3p	335	215	175	307	875	2470	4377.0
hsa-miR-335-5p	224	318	102	61	1174	2477	4356.0
hsa-miR-766-3p	346	147	70	383	849	2426	4221.0
hsa-miR-20b-5p	254	599	156	932	356	1916	4212.49
hsa-miR-200c-3p	542	300	63	872	1262	1065	4104.0
hsa-miR-146b-3p	399	245	426	1136	925	936	4067.0
hsa-miR-323a-3p	862	401	40	462	1505	786	4055.5
hsa-miR-1304-3p	740	405	388	906	916	633	3988.0
hsa-miR-766-5p	882	526	244	830	1121	333	3936.0
hsa-miR-1304-5p	600	770	258	823	960	467	3878.0
hsa-miR-181d-5p	1102	466	87	1338	441	419	3852.01
hsa-miR-99b-3p	847	449	174	1375	543	273	3661.0
hsa-miR-1260b	449	188	81	455	1200	1237	3608.0
hsa-miR-505-3p	557	292	132	1013	679	863	3536.0
hsa-miR-145-3p	292	179	534	583	367	1539	3494.0
hsa-miR-503-5p	286	558	160	447	638	1348	3437.0
hsa-miR-628-3p	425	418	295	564	914	786	3402.0
hsa-miR-3120-3p	364	251	62	259	1044	1395	3375.0
hsa-miR-1294	363	1015	595	484	432	405	3294.0
hsa-miR-21-3p	86	61	69	68	245	2691	3220.0
hsa-miR-323b-3p	500	272	17	179	1469	765	3201.5
hsa-miR-548o-3p	430	312	326	507	299	1324	3198.0
hsa-miR-369-3p	1039	470	10	293	469	886	3167.0
hsa-miR-28-5p	434	357	99	483	506	1286	3165.0
hsa-miR-2355-3p	435	190	85	828	401	1163	3102.0
hsa-miR-942-5p	495	583	177	677	707	456	3095.0
hsa-miR-433-3p	708	377	13	224	1345	355	3022.0
hsa-miR-199b-5p	80	68	119	165	118	2435	2985.0
hsa-miR-106b-5p	154	437	148	243	203	1792	2977.0
hsa-miR-11401	552	723	191	565	469	377	2877.0
hsa-miR-1307-5p	204	198	363	144	522	1375	2806.0
hsa-miR-15a-5p	128	388	113	234	173	1766	2801.0
hsa-miR-454-3p	602	181	11	1364	133	459	2750.0
hsa-miR-502-3p	186	315	196	307	318	1425	2746.67
hsa-miR-221-5p	410	221	231	587	400	784	2633.0
hsa-miR-324-5p	154	113	356	295	331	1375	2624.0
hsa-miR-4326	492	309	141	427	797	453	2619.0
hsa-miR-140-5p	275	202	181	282	219	1443	2602.0
hsa-miR-329-3p	419	197	6	86	825	1057	2590.0
hsa-miR-485-5p	427	211	33	122	1061	613	2467.0
hsa-miR-378c	75	147	69	58	237	1860	2445.7400000000002
hsa-miR-196b-5p	372	356	152	500	408	648	2436.0
hsa-miR-25-5p	334	332	276	518	551	424	2435.0
hsa-miR-32-5p	345	643	270	484	102	563	2407.0
hsa-miR-331-5p	290	395	104	413	453	723	2378.0
hsa-miR-145-5p	40	20	78	111	212	1876	2337.0
hsa-miR-548j-5p	707	324	53	878	153	186	2299.5
hsa-miR-26b-3p	245	131	376	160	528	808	2248.0
hsa-miR-505-5p	349	327	228	793	443	95	2235.0
hsa-miR-125a-3p	211	176	615	286	490	452	2230.0
hsa-miR-181c-3p	386	191	121	393	323	759	2172.0
hsa-miR-550a-3-5p	274	557	163	411	367	389	2161.0699999999997
hsa-miR-660-5p	110	226	287	92	151	1279	2145.0
hsa-let-7b-3p	163	293	397	174	501	614	2141.5
hsa-miR-1287-5p	338	165	27	433	323	846	2132.0
hsa-miR-181a-3p	311	167	222	662	167	599	2127.0
hsa-miR-374a-5p	314	328	147	250	224	738	1998.5
hsa-miR-106a-5p	71	214	52	190	236	1201	1963.33
hsa-miR-191-3p	360	155	83	748	373	235	1954.0
hsa-miR-144-3p	172	905	283	146	73	372	1951.0
hsa-miR-340-3p	503	298	61	542	214	281	1899.0
hsa-miR-330-5p	245	162	358	420	286	404	1875.0
hsa-miR-125b-5p	203	183	48	84	975	354	1847.0
hsa-miR-29b-3p	71	156	194	91	202	1098	1813.02
hsa-miR-4665-5p	404	182	48	656	367	143	1800.0
hsa-miR-452-5p	280	93	6	232	405	779	1795.0
hsa-miR-29c-5p	292	135	39	522	231	557	1776.0
hsa-miR-550a-5p	217	445	139	325	318	328	1772.1399999999999
hsa-miR-1306-3p	340	237	216	325	419	197	1734.0
hsa-miR-130b-5p	316	276	5	153	798	156	1704.0
hsa-miR-487b-3p	291	100	0	169	392	726	1678.0
hsa-miR-142-3p	423	267	73	267	111	517	1658.0
hsa-miR-7706	231	393	204	287	312	189	1616.0
hsa-miR-320e	311	300	211	403	307	73	1605.3400000000001
hsa-miR-3138	239	140	384	358	340	127	1588.0
hsa-miR-27a-5p	87	65	63	153	119	1073	1560.0
hsa-miR-1250-5p	153	65	31	260	192	826	1527.0
hsa-miR-190b-5p	96	122	96	104	476	587	1481.0
hsa-miR-4664-3p	219	172	251	431	280	126	1479.0
hsa-miR-450a-5p	93	103	284	134	190	669	1473.0
hsa-miR-6741-5p	228	210	266	216	443	105	1468.0
hsa-miR-625-5p	115	145	109	524	287	287	1467.0
hsa-miR-6515-5p	323	159	92	485	223	142	1424.0
hsa-miR-23b-5p	298	168	86	360	350	83	1345.0
hsa-miR-200a-3p	79	54	22	71	564	555	1345.0
hsa-miR-889-3p	277	196	7	71	316	474	1341.0
hsa-miR-1292-5p	179	193	208	335	277	121	1313.0
hsa-miR-27b-5p	371	139	16	485	149	134	1294.0
hsa-miR-7-1-3p	32	48	428	39	160	560	1267.0
hsa-miR-24-2-5p	207	121	71	183	100	559	1239.5
hsa-miR-1271-5p	174	132	103	204	229	379	1221.0
hsa-miR-3120-5p	267	170	52	370	315	34	1208.0
hsa-miR-598-3p	156	166	122	172	328	257	1201.0
hsa-miR-30b-3p	266	128	74	396	201	135	1200.0
hsa-miR-19a-3p	157	232	198	135	104	364	1190.0
hsa-miR-19b-3p	63	112	93	30	108	756	1162.0
hsa-miR-331-3p	198	129	58	229	298	230	1142.0
hsa-miR-431-5p	172	97	8	94	241	526	1138.0
hsa-miR-30c-1-3p	203	87	60	416	190	162	1118.0
hsa-miR-5010-5p	71	164	313	171	300	87	1106.0
hsa-miR-4429	197	156	122	295	266	62	1098.12
hsa-miR-375-3p	222	271	53	92	400	60	1098.0
hsa-miR-539-5p	377	157	0	180	207	170	1091.0
hsa-miR-132-3p	93	104	93	164	225	392	1071.0
hsa-miR-3928-3p	102	71	26	115	336	372	1022.0
hsa-miR-6877-5p	182	120	20	189	408	101	1020.0
hsa-miR-144-5p	108	296	59	210	19	312	1004.0
hsa-miR-7976	109	277	194	51	78	292	1001.0
hsa-miR-18a-3p	101	110	115	65	277	332	1000.0
hsa-miR-3613-5p	114	96	43	108	89	547	997.0
hsa-miR-98-3p	86	51	94	104	176	475	986.0
hsa-miR-450b-5p	43	42	71	83	100	630	969.0
hsa-miR-151b	148	108	10	280	176	247	968.0
hsa-miR-576-5p	59	102	60	36	154	545	956.0
hsa-miR-382-3p	210	271	12	91	231	137	952.0
hsa-miR-215-5p	89	146	54	46	167	433	933.5
hsa-miR-93-3p	73	60	85	87	209	419	933.0
hsa-miR-92b-5p	117	169	208	254	140	36	924.0
hsa-miR-532-3p	44	65	156	26	225	374	890.0
hsa-miR-641	189	98	31	269	81	214	882.0
hsa-miR-210-3p	116	139	31	250	83	255	874.0
hsa-miR-5189-5p	118	106	129	253	203	54	863.0
hsa-miR-6503-3p	19	7	127	5	155	547	860.0
hsa-miR-874-3p	84	69	60	103	280	245	841.0
hsa-miR-454-5p	116	89	36	111	169	318	839.0
hsa-miR-4750-5p	151	91	46	274	208	66	836.0
hsa-miR-873-5p	21	12	95	22	156	525	831.0
hsa-miR-296-3p	101	59	109	374	125	43	811.0
hsa-miR-362-5p	152	27	8	437	40	131	795.0
hsa-miR-203a-3p	61	150	99	211	112	126	759.0
hsa-miR-1296-5p	89	48	22	144	227	225	755.0
hsa-miR-548l	137	175	30	227	85	96	750.0
hsa-miR-378d	31	49	12	18	63	577	748.6400000000001
hsa-miR-378a-5p	37	43	104	48	168	347	747.0
hsa-miR-4473	89	118	36	137	245	112	737.0
hsa-miR-483-5p	271	116	136	109	98	6	736.0
hsa-miR-548e-3p	84	82	25	62	92	372	717.0
hsa-miR-34c-5p	2	12	9	10	637	41	711.0
hsa-miR-410-3p	31	44	6	19	97	511	708.0
hsa-miR-337-3p	192	79	8	32	181	209	701.0
hsa-miR-378g	30	26	18	30	75	517	696.0
hsa-miR-6516-5p	112	70	8	194	150	155	689.0
hsa-miR-4467	21	122	251	97	110	74	675.0
hsa-miR-939-5p	50	50	189	91	198	46	624.0
hsa-miR-1224-5p	12	119	391	29	43	30	624.0
hsa-miR-3605-5p	62	54	222	153	40	69	600.0
hsa-miR-30d-3p	130	99	19	137	47	166	598.0
hsa-miR-618	0	5	33	10	40	500	588.0
hsa-miR-664b-5p	119	62	40	98	191	77	587.0
hsa-miR-9-5p	39	110	21	118	212	73	573.0
hsa-miR-664a-3p	35	18	51	26	164	276	570.0
hsa-miR-3074-5p	51	39	4	53	108	307	562.0
hsa-miR-4659b-3p	150	72	6	120	148	60	554.5
hsa-miR-5010-3p	59	53	18	68	197	146	541.0
hsa-miR-96-5p	32	113	154	36	29	173	537.0
hsa-miR-4435	78	69	3	155	170	61	536.0
hsa-miR-409-5p	83	42	2	39	71	293	530.0
hsa-miR-744-3p	85	64	44	59	82	187	521.0
hsa-miR-542-3p	15	7	23	8	47	414	514.0
hsa-miR-4645-3p	74	38	10	192	52	145	511.0
hsa-let-7f-2-3p	50	26	17	37	21	342	492.67
hsa-miR-4286	25	6	18	9	92	337	487.0
hsa-miR-4732-3p	30	233	85	19	91	29	487.0
hsa-miR-218-5p	33	63	41	34	182	128	481.0
hsa-miR-374b-3p	121	50	0	166	24	117	478.0
hsa-miR-34a-5p	54	27	0	339	22	31	473.0
hsa-miR-3064-5p	67	69	46	98	107	82	469.0
hsa-miR-1278	38	103	89	86	6	145	467.0
hsa-miR-219a-1-3p	76	71	32	89	143	52	463.0
hsa-miR-3913-5p	51	151	72	69	26	90	459.0
hsa-miR-146a-3p	156	136	39	119	5	4	459.0
hsa-miR-4746-5p	64	83	39	42	104	119	451.0
hsa-miR-499a-5p	54	68	96	52	73	100	443.0
hsa-miR-6734-5p	43	93	133	62	76	35	442.0
hsa-miR-1270	39	89	29	94	77	113	441.0
hsa-miR-651-5p	35	49	50	28	53	219	434.0
hsa-miR-92a-1-5p	46	19	50	82	173	59	429.0
hsa-miR-642a-3p	18	25	219	15	102	45	424.0
hsa-miR-7849-3p	46	39	13	82	152	91	423.0
hsa-miR-3188	110	30	5	197	48	32	422.0
hsa-miR-9985	45	33	16	81	91	153	418.5
hsa-miR-6735-5p	64	59	72	81	112	30	418.0
hsa-miR-6852-3p	74	82	2	43	157	52	410.0
hsa-miR-548j-3p	87	47	17	21	74	159	405.0
hsa-miR-4433a-3p	93	63	16	97	96	32	397.0
hsa-miR-5187-5p	59	32	47	99	114	45	396.0
hsa-miR-132-5p	58	49	89	84	60	56	396.0
hsa-miR-29c-3p	19	42	33	24	17	251	385.17999999999995
hsa-miR-2277-5p	25	29	14	65	47	202	382.0
hsa-miR-129-5p	59	54	25	111	107	19	375.0
hsa-miR-4738-3p	40	55	48	49	139	39	370.0
hsa-miR-204-5p	57	39	8	56	145	64	369.0
hsa-miR-143-5p	4	5	0	34	27	299	369.0
hsa-miR-1538	60	26	10	132	113	22	363.0
hsa-miR-32-3p	72	51	36	82	52	62	355.0
hsa-miR-3909	45	44	28	47	76	111	351.0
hsa-miR-511-5p	69	63	13	23	152	24	344.0
hsa-miR-548k	74	41	10	106	8	104	343.0
hsa-miR-6862-5p	29	39	50	84	112	29	343.0
hsa-miR-374a-3p	100	70	7	87	18	61	343.0
hsa-miR-628-5p	51	20	3	45	62	159	340.0
hsa-miR-4661-5p	43	68	15	62	104	47	339.0
hsa-miR-369-5p	60	50	0	15	132	73	330.0
hsa-miR-3187-3p	41	59	24	92	61	50	327.0
hsa-miR-1185-1-3p	70	26	2	7	55	161	319.5
hsa-miR-3691-5p	38	50	27	85	87	30	317.0
hsa-miR-3150b-3p	6	25	4	17	51	214	317.0
hsa-miR-671-5p	18	12	2	21	156	105	314.0
hsa-miR-4511	6	13	10	46	61	177	313.0
hsa-miR-136-3p	38	16	0	3	51	202	310.0
hsa-miR-3614-5p	24	17	77	26	36	128	308.0
hsa-miR-12136	37	11	0	23	104	131	306.0
hsa-miR-1260a	45	24	12	35	68	122	304.0
hsa-miR-6721-5p	70	29	23	104	59	18	303.0
hsa-miR-363-5p	36	74	48	94	41	10	303.0
hsa-miR-4533	46	19	6	48	150	32	301.0
hsa-miR-940	10	4	0	26	140	118	298.0
hsa-miR-26a-1-3p	58	29	4	111	31	62	295.0
hsa-miR-2115-5p	3	0	59	19	13	200	294.0
hsa-miR-3174	42	20	9	62	94	66	293.0
hsa-miR-431-3p	31	17	0	15	58	172	293.0
hsa-miR-6813-5p	46	25	10	90	67	54	292.0
hsa-miR-10399-5p	15	20	14	15	40	183	287.0
hsa-miR-379-3p	69	33	5	12	58	108	285.0
hsa-miR-6859-5p	20	28	37	31	109	58	282.88
hsa-miR-148b-5p	41	34	6	33	34	133	281.0
hsa-miR-6866-5p	49	43	29	75	12	73	281.0
hsa-miR-197-5p	22	25	47	33	97	53	277.0
hsa-miR-204-3p	42	23	24	135	51	2	277.0
hsa-miR-6837-3p	37	37	27	50	61	63	275.0
hsa-miR-659-5p	21	17	24	16	84	113	275.0
hsa-miR-4508	36	141	31	54	4	2	268.0
hsa-miR-424-5p	9	13	8	11	12	212	265.0
hsa-miR-376c-3p	9	3	0	4	45	201	262.0
hsa-miR-451b	6	72	130	7	9	35	259.0
hsa-miR-200b-5p	10	8	0	2	201	33	254.0
hsa-miR-491-5p	24	6	4	31	41	146	252.0
hsa-miR-411-3p	55	58	2	14	51	71	251.0
hsa-miR-95-3p	40	29	45	20	44	69	247.0
hsa-miR-2115-3p	2	2	31	24	7	180	246.0
hsa-miR-1468-5p	39	36	6	32	83	49	245.0
hsa-miR-3198	35	31	24	77	53	22	242.0
hsa-miR-3127-5p	25	34	37	36	67	42	241.0
hsa-miR-4677-3p	41	36	17	81	19	46	240.0
hsa-miR-6805-5p	7	69	121	19	13	10	239.0
hsa-let-7i-3p	17	25	64	6	11	115	238.0
hsa-miR-412-5p	47	28	0	12	76	73	236.0
hsa-miR-195-3p	59	47	4	57	48	20	235.0
hsa-miR-4669	22	132	0	0	48	32	234.0
hsa-miR-196a-5p	3	17	82	4	102	25	233.0
hsa-miR-656-3p	35	21	0	3	40	130	229.0
hsa-miR-3175	37	29	20	86	36	18	226.0
hsa-miR-18a-5p	32	35	16	18	15	110	224.5
hsa-miR-103a-2-5p	16	11	7	23	10	157	224.0
hsa-miR-206	4	11	2	1	177	27	222.32999999999998
hsa-miR-296-5p	6	7	5	4	107	93	222.0
hsa-miR-758-3p	69	37	0	12	21	81	220.0
hsa-miR-4785	7	5	10	9	15	172	218.0
hsa-miR-200a-5p	21	12	9	6	90	77	215.0
hsa-miR-411-5p	76	42	0	18	19	55	210.0
hsa-miR-127-5p	22	5	0	2	46	135	210.0
hsa-miR-1275	18	18	18	23	103	30	210.0
hsa-miR-3688-3p	3	36	16	4	31	118	208.0
hsa-miR-490-5p	18	6	0	126	32	26	208.0
hsa-miR-501-5p	41	22	0	81	40	24	208.0
hsa-miR-581	41	30	7	52	27	51	208.0
hsa-miR-3191-3p	45	22	7	70	46	17	207.0
