name	SRX1733814	SRX1733815	SRX1733816	SRX1733810	SRX1733811	SRX1733812	SRX1733813	SRX1733809	SRX1733808
scaRNA#antisense	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.02
	sumtRNA#antisense	0.03	0.01	0.02	0.02	0.03	0.01	0.01	0.08	0.01	0.22000000000000003
rnase#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01
mature#antisense	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01
TR_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01
transcribed_processed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01
transcribed_processed_pseudogene#antisense	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
polymorphic_pseudogene#antisense	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
IG_C_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
guide_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_coding#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_stop_decay#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
scRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_J_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
microRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
