name	SRX1733814	SRX1733815	SRX1733816	SRX1733810	SRX1733811	SRX1733812	SRX1733813	SRX1733809	SRX1733808
IG_V_gene#antisense	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.02
TR_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
guide_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
misc_RNA#antisense	0.02	0.04	0.03	0.04	0.03	0.09	0.06	0.06	0.03
Mt_rRNA#sense	0.07	0.05	0.02	0.04	0.04	0.06	0.32	0.06	0.06
ribozyme#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0
sense_intronic#sense	0.48	0.57	0.49	0.48	0.52	0.45	0.46	0.53	0.33
TEC#sense	0.02	0.02	0.02	0.01	0.01	0.01	0.0	0.03	0.01
IG_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_tRNA#sense	0.02	0.01	0.01	0.01	0.01	0.01	0.08	0.01	0.05
pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otherRNA#sense	0.08	0.06	0.05	0.06	0.06	0.06	0.23	0.08	0.08
TR_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mature#sense	0.79	0.7	0.42	0.99	0.73	0.62	1.5	0.38	5.9
microRNA#sense	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.01
otherRNA#antisense	0.05	0.04	0.02	0.03	0.03	0.06	0.02	0.04	0.02
non_coding#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_pseudogene#sense	0.09	0.11	0.09	0.12	0.1	0.13	0.09	0.12	0.1
Mt_rRNA#antisense	0.01	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.01
lincRNA#sense	8.79	12.67	8.32	11.23	8.88	6.92	6.73	10.45	7.16
IG_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#antisense	0.11	0.13	0.13	0.17	0.21	0.15	0.12	0.18	0.11
retained_intron#antisense	1.0	0.53	0.6	0.82	0.74	1.06	1.32	1.2	0.73
transcribed_unprocessed_pseudogene#sense	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01
hairpin#sense	0.0	0.01	0.01	0.0	0.01	0.01	0.03	0.0	0.01
snRNA#sense	0.04	0.03	0.04	0.05	0.06	0.02	0.05	0.09	0.09
lncRNA#sense	5.62	4.41	5.53	6.09	6.26	6.08	5.37	7.4	5.37
non_coding#sense	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.0
antisense_RNA#antisense	2.42	2.59	2.77	2.58	3.01	2.09	1.93	3.43	2.14
macro_lncRNA#sense	0.14	0.18	0.07	0.21	0.11	0.33	0.2	0.14	0.16
miRNA#antisense	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.03	0.01
unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miRNA#sense	0.17	1.04	0.15	0.24	0.18	0.34	0.12	0.2	0.48
mature#antisense	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0
snoRNA#sense	0.05	0.03	0.04	0.02	0.04	0.03	0.25	0.03	0.08
TR_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0
3prime_overlapping_ncRNA#antisense	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0
un-assigned	47.38222862787647	45.00759403416583	28.111957159461124	40.1910736836707	30.920137371346005	56.66256433206534	49.61729679731761	31.05171354600904	39.34003820164502
nonsense_mediated_decay#sense	0.32	0.75	0.29	0.59	0.32	0.28	0.34	0.36	0.38
non_stop_decay#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asRNA#antisense	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.01	0.0
scaRNA#antisense	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
srpRNA#antisense	0.0	0.0	0.0	0.01	0.01	0.02	0.0	0.0	0.0
piRNA#sense	0.02	0.02	0.04	0.08	0.05	0.01	0.02	0.04	0.03
transcribed_unprocessed_pseudogene#antisense	0.02	0.01	0.0	0.01	0.0	0.01	0.03	0.01	0.01
scRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0
nonsense_mediated_decay#antisense	0.25	0.18	0.29	0.26	0.34	0.35	0.22	0.33	0.27
sRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
snRNA#antisense	0.02	0.0	0.01	0.01	0.01	0.01	0.02	0.02	0.01
srpRNA#sense	0.03	0.01	0.02	0.03	0.03	0.05	0.05	0.04	0.03
unprocessed_pseudogene#sense	0.04	0.03	0.04	0.03	0.04	0.05	0.03	0.03	0.03
TR_J_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
macro_lncRNA#antisense	0.06	0.04	0.03	0.03	0.04	0.07	0.05	0.04	0.03
transcribed_processed_pseudogene#antisense	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#sense	0.01	0.02	0.01	0.02	0.03	0.03	0.03	0.03	0.01
lincRNA#antisense	3.46	3.45	4.93	4.17	5.23	2.65	3.21	5.28	3.96
microRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_intronic#antisense	0.34	0.37	0.25	0.23	0.22	0.11	0.3	0.23	0.26
IG_V_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
misc_RNA#sense	0.18	0.15	0.23	0.35	0.32	0.11	0.32	0.39	0.25
snoRNA#antisense	0.01	0.01	0.03	0.02	0.04	0.01	0.03	0.03	0.02
scaRNA#sense	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0
polymorphic_pseudogene#antisense	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TEC#antisense	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.0
