name	SRX395539	SRX395538	SRX395537	SRX395536	SRX395535	SRX395548	SRX395542	SRX395543	SRX395540	SRX395541	SRX395546	SRX395547	SRX395544	SRX395545
nonsense_mediated_decay#sense	0.25	0.27	0.25	0.32	0.26	0.27	0.17	0.18	0.27	0.25	0.26	0.29	0.16	0.25	3.45
sense_intronic#sense	0.22	0.22	0.2	0.19	0.18	0.21	0.17	0.14	0.23	0.23	0.21	0.22	0.15	0.2	2.77
otherRNA#sense	0.2	0.18	0.2	0.12	0.13	0.21	0.11	0.1	0.21	0.2	0.2	0.24	0.17	0.19	2.46
hairpin#antisense	0.15	0.11	0.09	0.04	0.04	0.24	0.02	0.02	0.2	0.2	0.22	0.27	0.06	0.11	1.77
miRNA#sense	0.11	0.1	0.1	0.06	0.06	0.12	0.03	0.03	0.12	0.11	0.11	0.12	0.06	0.09	1.2200000000000002
sense_overlapping#sense	0.09	0.08	0.08	0.09	0.07	0.09	0.03	0.03	0.08	0.1	0.09	0.08	0.03	0.07	1.01
piRNA#sense	0.07	0.07	0.07	0.08	0.08	0.09	0.06	0.06	0.06	0.08	0.07	0.06	0.06	0.07	0.9800000000000002
Mt_tRNA#sense	0.05	0.04	0.04	0.03	0.07	0.06	0.06	0.02	0.07	0.05	0.06	0.07	0.04	0.04	0.7000000000000002
sense_intronic#antisense	0.06	0.06	0.05	0.06	0.05	0.06	0.03	0.02	0.05	0.06	0.06	0.05	0.03	0.05	0.6900000000000002
snoRNA#sense	0.05	0.11	0.04	0.05	0.04	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.1	0.6799999999999999
processed_pseudogene#sense	0.04	0.04	0.04	0.04	0.04	0.05	0.02	0.02	0.04	0.04	0.04	0.05	0.03	0.04	0.53
TR_J_gene#sense	0.04	0.03	0.04	0.01	0.02	0.05	0.02	0.01	0.07	0.04	0.05	0.06	0.04	0.03	0.51
ribozyme#sense	0.03	0.06	0.03	0.02	0.02	0.03	0.01	0.01	0.06	0.03	0.04	0.07	0.02	0.05	0.48000000000000004
macro_lncRNA#sense	0.03	0.03	0.03	0.04	0.03	0.04	0.01	0.02	0.03	0.03	0.04	0.04	0.01	0.03	0.41000000000000003
snoRNA#antisense	0.03	0.03	0.03	0.04	0.04	0.03	0.02	0.02	0.02	0.03	0.03	0.02	0.01	0.03	0.3800000000000001
non_coding#antisense	0.02	0.07	0.01	0.03	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.0	0.05	0.28
Mt_rRNA#sense	0.02	0.01	0.02	0.01	0.05	0.01	0.04	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.22000000000000006
unprocessed_pseudogene#sense	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.22
non_coding#sense	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.18000000000000005
transcribed_unprocessed_pseudogene#sense	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.13999999999999999
unprocessed_pseudogene#antisense	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.11999999999999998
bidirectional_promoter_lncRNA#sense	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.10999999999999999
rRNA#antisense	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.10999999999999999
misc_RNA#antisense	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.10999999999999999
scaRNA#sense	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.09999999999999999
Mt_tRNA#antisense	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.07
	sumtRNA#antisense	0.1	0.06	0.06	0.03	0.03	0.11	0.01	0.01	0.12	0.1	0.11	0.14	0.03	0.05	0.9600000000000001
TEC#sense	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
hairpin#sense	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.02
miRNA#antisense	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.02
3prime_overlapping_ncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.02
otherRNA#antisense	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
macro_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01
IG_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
piRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_J_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_J_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
guide_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vault_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rnase#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
microRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mature#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_stop_decay#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
scaRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
srpRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
scRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
snRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
srpRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
polymorphic_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TEC#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
