name	SRX1158749	SRX1158748	SRX1158761	SRX1158760	SRX1158767	SRX1158766	SRX1158765	SRX1158764	SRX1158769	SRX1158768	SRX1158747	SRX1158746	SRX1158763	SRX1158824	SRX1158810	SRX1158816	SRX1158822	SRX1158811	SRX1158798	SRX1158799	SRX1158796	SRX1158797	SRX1158794	SRX1158795	SRX1158792	SRX1158793	SRX1158790	SRX1158791	SRX1158762	SRX1158774	SRX1158813	SRX1158812	SRX1158815	SRX1158814	SRX1158817	SRX1158775	SRX1158819	SRX1158818	SRX1158823	SRX1158776	SRX1158821	SRX1158758	SRX1158759	SRX1158778	SRX1158779	SRX1158752	SRX1158753	SRX1158750	SRX1158751	SRX1158756	SRX1158757	SRX1158754	SRX1158755	SRX1158772	SRX1158777	SRX1158773	SRX1158771	SRX1158820	SRX1158803	SRX1158789	SRX1158788	SRX1158770	SRX1158784	SRX1158787	SRX1158786	SRX1158781	SRX1158780	SRX1158783	SRX1158782	SRX1158802	SRX1158785	SRX1158800	SRX1158801	SRX1158806	SRX1158807	SRX1158804	SRX1158805	SRX1158808	SRX1158809
hsa-miR-608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-383-5p	9	0	0	0	8	0	0	4	5	0	11	3	0	0	0	634	0	0	6	0	12	0	0	0	0	0	0	0	0	4	0	0	0	0	0	203	4	0	5	0	0	0	0	0	0	2	0	0	0	56	0	193	2	86	0	0	2	0	0	0	3	0	2	2568	9	0	0	0	0	0	0	0	6	160	340	2280	0	0	0
hsa-miR-606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-187-3p	231	3	0	0	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	42	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-551b-3p	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2277-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-20a-5p	0	0	5	0	0	0	0	0	0	0	0	157	0	0	0	0	0	3	0	0	0	0	0	0	0	1043	0	1322	0	0	2	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	12	0	2	858	0	0	0	0	0	227	7	0	0	0	3	0	0	0	2	4	2	5	0	0	296	0	3	0	0	0	1	0	0
hsa-miR-205-5p	0	0	2789	41	2196	132	3848	12	105	823	753	2	30	574	0	1437	0	0	0	0	778	6	2	0	9	5	0	0	1917	3	6	0	0	2	8	2	0	0	2	12252	1873	81	0	191	2	7	120	0	33	11282	16	0	3	2236	17	185	36	0	0	2	3	89	2370	1240	0	3463	14	221	397	0	1754	0	1219	4	637	2	11	0	0
hsa-miR-206	0	0	6	0	534	9	6	0	0	93	3	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	2479	0	0	3	0	0	2	0	0	9	0	0	0	0	0
hsa-miR-150-5p	0	0	5	2	0	4	0	0	0	0	80	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	170	0	0	0	57	0	0	0	0	0	2	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-539-5p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1249-3p	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	273	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-654-3p	0	2	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	0	0	6
hsa-miR-629-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	942	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-379-5p	14	3	4	0	7	3	0	2	8	59	3	3	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	4	0	0	0	0	0	0	176	0	0	0	0	0	3	0	138	0	2	2	4	3	0	0	6	0	2	2	2	2	0	0	0	0	2	3	1618	6	3	0	0	0	0	0	0	0	0	156	0	0	0	0
hsa-miR-411-5p	258	3	39	8	5	390	2	10	2	0	81	0	6	0	0	0	0	3	0	7	2	0	4	2	5	9	2	3449	660	5	0	0	0	472	0	0	0	2	0	6	71	5	2	2	0	95	7	12	117	12	4	6	163	287	0	8	9	2	0	9	3	9	9	1182	11	5	153	64	5	0	216	826	6	0	149	9	2	0	0
hsa-miR-4492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-574-3p	0	0	0	0	0	2	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	401	0
hsa-miR-299-5p	4	0	0	223	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-376a-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30b-5p	19	279	53	25	64	282	17	216	9	175	278	47	361	453	660	1349	393	5	2728	8	883	5	18	1865	14	1692	19	10	162	15	911	0	709	4	0	27	3	15	8	1474	907	18	0	15	2	110	171	360	34	1010	0	25	275	169	7	776	671	518	6	731	7	5	140	30	32	767	76	166	387	9	163	2267	21	589	2	1407	4	0	12
hsa-miR-494-3p	0	0	228	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-501-3p	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-451a	6	13	425	8	352	289	285	9	6	215	25	26	13	0	0	15617	0	2	1281	0	46355	0	0	1438	0	3546	1634	10	8	0	661	0	0	0	0	9	0	0	0	53097	2	8	86	381	4	207	3413	16	31	146414	3	3	199	0	0	960	18	0	2	15	0	2	569	22	5	6	3	4	0	0	173	0	5	2	834	2	3	4	0
hsa-miR-146b-5p	3	0	6	0	0	90	0	110	0	290	0	14	18	0	0	573	0	0	0	0	3	0	0	4	1029	0	0	4	231	0	2	4	0	0	0	116	0	0	0	91	0	4	0	0	0	5	0	2	200	220	0	4	0	0	0	0	204	0	2836	2	5	0	2	0	7	2	0	199	4	0	0	0	5	2	0	187	7	0	0
hsa-miR-376c-3p	0	0	0	0	3	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1313	4	0	0	0	5	3	3	0	0	0	3	0	0	0	0
hsa-miR-675-3p	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-199a-3p	0	1	0	161	205	67	2	1	1	0	0	11	11	0	0	39	0	0	0	0	2	0	0	2	3	0	0	2	3	0	0	0	0	0	0	0	0	0	0	189	0	16	0	119	0	321	7	0	7	6	0	0	0	9	3	1	9	0	2888	0	0	0	0	0	607	2	0	209	1	1	0	0	0	87	152	1	15	0	0
hsa-miR-23b-3p	68	29	150	14	809	510	404	27	257	17	437	12	52	0	51	3	0	3	3	0	8	0	18	3637	6	10	14	0	13	172	0	1993	6	472	3	18	0	138	0	1194	1034	21	0	9	0	88	29	628	17	152	10	23	18	100	0	666	11	0	12	1973	20	26	8	5	6	19	11	39	3	2	613	0	0	7	632	7	3	1047	13
hsa-miR-499a-5p	4	12	86	2	0	1963	0	0	383	10	0	897	0	0	0	6	0	1250	23	46	1777	0	0	0	0	0	0	4981	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1543	4	0	0	0	5	0	2	2146	0	0	13	11	0	0	0	5156	4	0	0	0	0	0	0	0	2877	0	0	4	290	2
hsa-miR-15b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-147b-3p	2	87	254	0	2	0	270	0	0	2	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	688	0	0	0	0	0	198	0	0	4	460	0	0	0	2	3	149	3	0	0	0	0	0	0	0	0	488	0	0	0	0	252	0	0	0	0	0	0	0	0
hsa-miR-181a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-522-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1293	0	0	66	0	57	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3200-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	1654	0	0	0
hsa-miR-181c-3p	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-554	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-4521	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	2	0	0	0	644	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-192-5p	2	3	2	9	0	0	0	76	2	167	0	0	8	0	0	2	521	0	0	0	733	0	3	1868	211	901	0	0	0	0	0	252	6	0	0	3	0	4	0	63	0	0	97	2	4	150	5	0	5	162	0	0	0	204	0	364	4	0	0	21	2	0	4	0	0	0	221	7	0	0	0	0	0	0	3	0	0	0	0
hsa-miR-4488	0	44	0	0	0	0	0	0	0	22	0	11	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	10	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	57	8	0	49	0	0	0	0	0	0	0	0
hsa-let-7e-5p	36	36	26	7	9	308	229	294	25	19	4	21	556	554	3	5	4	299	2644	10	54	7	79	20	4170	19	23	56	180	191	86	832	8	4	0	433	0	4	6	384	0	17	10	17	2	29	14	11	172	144	0	511	155	494	3	3	18	3	1637	3882	69	12	20	3	30	19	301	415	18	1355	26	789	454	92	387	1894	57	222	381
hsa-miR-4484	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-301a-3p	0	4	2	0	0	0	15	0	0	214	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	135	0	0	2	0	0	0	9	2	2	0	0	181	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	11	0	0	0	0	0	3	0	0
hsa-miR-378i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-378g	0	0	4	0	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	2	0	2	4	0	0	12	8	0	0
hsa-miR-6734-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	22	0	0	0	0	0	0	0	0
hsa-miR-378f	0	0	0	0	2	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-378d	0	0	83	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	2	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0
hsa-miR-151a-5p	6	39	0	0	0	4	0	0	0	75	0	4	4	0	0	0	272	0	680	0	11	2	0	893	0	4	4	0	0	0	0	0	2	0	0	234	0	2	0	101	0	0	0	0	0	2	0	0	5	70	0	2	6	131	0	0	5	0	0	5	752	0	0	2	3	0	0	2	0	0	0	0	0	3	0	2	0	2	0
hsa-miR-944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-378c	64	0	195	4	87	0	121	0	0	3	38	0	0	151	2	1	2	0	0	2	39	0	0	0	2	27	1	0	0	0	0	0	0	0	1	0	0	0	0	337	0	0	2	0	0	1	6	3	0	546	2	0	0	0	3	2	54	187	1	0	0	16	0	0	0	237	3	0	0	598	37	209	0	0	143	3	2	0	0
hsa-miR-140-5p	3	0	0	5	2	0	0	2	5	0	2	291	0	0	0	0	0	0	0	0	2912	0	0	0	0	17	5	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	340	0	8	0	236	0	5	0	279	21	0	0	0	0	2	0	2	0	4	3	0	2	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-378b	0	2	15	0	6	0	25	0	0	5	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	11	0	0	3	2	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	38	0	0	4	2	0	0	2	0	0	0	0	0	0	0	0	11	0	2	4	2	8	0	4	0	0	2	22	0	0
hsa-miR-93-5p	5	3	291	2	718	139	4	6	7	262	5	165	4	3	0	835	0	0	1775	2	5670	4	0	0	0	5	2	2	0	0	3	0	0	0	0	194	0	3	570	2382	3	101	0	4	0	5	343	16	4	3318	2	228	2	570	5	499	7	0	0	0	4	398	186	1286	7	12	13	262	0	0	2	0	9	0	3	4	3	351	0
hsa-miR-941	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3127-5p	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-135a-5p	7	3	3	0	2	3	0	0	457	94	2	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1980	0	471	0	0	0	0	0	0	0	0	0	62	0	132	0	4	0	0	2	0	8	4	0	5	0	2	0	384	453	0	1078	6	2	0	3	0	2	4	0	5	430	0	0	0	5	0	0	0	2	0	0
hsa-miR-4516	0	0	133	55	0	0	84	0	0	0	0	50	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	2	0	0	4	0	0	0	0	0	0	0	0	835	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-20a-3p	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-365b-3p	0	0	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	125	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-369-5p	7	3	177	0	4	108	2	0	7	0	2	2	0	0	0	0	0	0	0	0	0	0	2091	0	5	0	0	3	7	2	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	2	0	10	0	0	0	0	4	0	0	4	3	0	0	2743	21	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-519c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-543	0	0	4	0	0	3	6	0	0	0	0	7	433	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	2	0	2	0	0	0	0	0	3	2	0	5	0	0	195	0	0	0	0	0	0	0	0
hsa-miR-4510	5	2	7	11	13	17	3	6	3	12	9	9	12	1	0	0	0	2	16	3	27	1	17	9	55	49	61	20	0	20	3	0	0	2	0	2	0	1	0	17	0	0	0	2	4	1	11	8	8	19	0	6	10	15	0	5	10	0	4	30	26	7	9	14	24	6	7	26	0	7	17	12	12	2	1	73	41	0	0
