name	SRX3432753	SRX3432752	SRX3432751	SRX3432750	SRX3432748	SRX3432749	SRX3432755	SRX3432754	SRX3432746	SRX3432747	SRX3432758	SRX3432757	SRX3432760	SRX3432759	SRX3432756
hsa-miR-4640-3p	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
hsa-miR-214-3p	0	0	0	8	0	5	0	0	0	7	0	0	0	0	0
hsa-miR-93-5p	5328	10449	1495	1386	34	44	2535	5304	61	1338	2401	1191	716	437	4446
hsa-miR-4744	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-98-3p	50	40	7	0	0	0	5	5	0	0	0	2	2	0	16
hsa-miR-33b-5p	39	55	25	0	0	0	26	9	0	4	3	0	2	0	63
hsa-miR-4741	6	0	0	0	0	0	0	0	0	19	0	0	0	0	0
hsa-miR-296-5p	24	12	5	4	0	0	8	6	0	2	27	0	2	6	16
hsa-miR-148a-3p	9203775	2033786	642879	17059	1363	1109	611566	2871408	6998	15348	598147	161173	2590729	2562791	1035938
hsa-miR-127-5p	3	0	0	0	0	0	0	0	0	22	0	0	0	0	0
hsa-miR-4745-5p	0	0	0	0	2	26	0	0	2	20	2	0	0	0	0
hsa-miR-185-3p	108	35	8	117	35	199	21	48	8	1445	9	10	31	44	15
hsa-miR-1271-5p	40	42	13	4	0	0	6	9	0	0	33	0	0	7	15
hsa-miR-377-3p	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
hsa-miR-6779-5p	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
hsa-let-7a-2-3p	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6855-5p	2	0	0	17	0	47	0	3	0	70	0	0	0	0	0
hsa-miR-3654	3	0	0	0	0	0	0	0	0	0	0	2	6	0	5
hsa-miR-19b-3p	34396	20754	6740	364	6	12	5891	5795	0	211	2893	773	1844	860	15732
hsa-miR-130a-5p	6	2	0	0	0	0	0	3	0	2	2	0	2	0	8
hsa-miR-6820-3p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4797-3p	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0
hsa-miR-4734	0	2	0	5	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-1260b	352	516	147	16	77	0	154	327	10	33	209	42	121	54	174
hsa-miR-1260a	170	197	80	8	75	0	105	103	3	21	78	18	62	22	56
hsa-miR-3074-5p	10	40	0	6	3	2	4	10	0	34	7	0	0	3	0
hsa-miR-18a-5p	102	279	39	11	0	0	59	82	0	24	33	8	5	2	111
hsa-miR-331-3p	125	149	17	9	6	2	72	73	0	25	92	30	47	38	72
hsa-miR-6733-5p	27	2	5	0	0	0	2	4	0	2	0	0	2	4	10
hsa-miR-499a-5p	7817	12947	1550	33	0	0	1378	5891	4	3	1072	246	440	310	4288
hsa-miR-523-3p	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-26b-3p	92	98	9	5	0	0	20	24	0	0	35	2	11	6	80
hsa-miR-5189-3p	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-944	15	9	2	0	0	0	0	2	0	3	0	0	2	0	7
hsa-miR-4786-5p	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-943	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0
hsa-miR-941	2273	2498	561	435	91	467	699	2031	97	3089	1276	605	1072	1552	801
hsa-miR-4670-5p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-940	18	10	2	0	0	0	10	5	0	0	5	2	0	0	20
hsa-miR-519a-5p	3	0	0	4	0	0	0	3	0	6	4	0	0	0	0
hsa-miR-628-5p	38	119	21	0	0	0	14	28	0	0	19	0	4	0	25
hsa-miR-494-3p	0	2	0	3	0	0	0	3	5	0	0	0	0	0	0
hsa-miR-181c-3p	185	162	40	2	4	0	126	47	0	26	57	17	23	0	132
hsa-miR-873-5p	3	2	0	14	0	4	0	0	0	42	0	0	3	0	0
hsa-miR-6727-5p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-570-3p	3	12	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-93-3p	20	59	2	19	5	7	14	19	2	42	25	5	4	2	19
hsa-miR-5009-5p	0	0	0	0	0	5	2	3	0	9	0	0	0	0	0
hsa-let-7c-5p	45039	25116	5194	266	6	48	6036	15969	216	251	11445	2398	18848	22577	7967
hsa-miR-6808-3p	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-4721	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
hsa-miR-6500-3p	0	3	0	0	0	0	0	2	0	2	0	0	0	0	2
hsa-miR-33b-3p	517	179	49	0	0	0	47	231	0	0	179	33	36	19	91
hsa-miR-4664-5p	2	4	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-1295a	14	5	0	0	0	0	0	3	0	0	2	0	8	0	9
hsa-miR-518e-5p	1	0	0	2	0	0	0	0	0	6	0	0	0	0	0
hsa-miR-483-5p	2	0	0	18	42	458	0	0	2	342	0	0	0	0	0
hsa-miR-296-3p	204	6	12	0	0	5	23	43	0	14	24	15	16	25	83
hsa-miR-122-5p	346	89	4	51886	82	33028	8	65	120863	378564	3	22	14	24	67
hsa-miR-675-5p	0	0	0	0	4	5	0	0	0	6	0	0	0	0	0
hsa-miR-488-3p	0	9	0	0	0	0	0	0	0	0	0	0	0	0	5
hsa-miR-127-3p	217	33	4	333	21	425	8	23	376	2605	40	5	15	144	11
hsa-miR-323b-3p	0	0	0	14	0	4	0	0	37	12	0	0	0	0	0
hsa-miR-4745-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-372-3p	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
hsa-miR-526a-5p	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4286	14	4	0	0	0	0	4	0	0	0	2	0	0	4	2
hsa-miR-934	650	315	387	0	0	0	455	231	0	0	201	54	36	15	1203
hsa-miR-933	3	3	0	0	0	0	0	2	0	13	0	0	0	0	0
hsa-miR-450b-5p	49	5	2	4	0	0	87	2	6	6	3	2	0	0	36
hsa-miR-6850-5p	0	0	0	3	0	5	0	0	0	18	0	0	0	0	0
hsa-miR-200b-5p	1642	1902	218	2	0	0	402	963	0	10	606	196	407	592	431
hsa-miR-130a-3p	263	476	125	29	0	0	122	116	0	28	123	36	13	2	262
hsa-miR-361-5p	1746	2089	380	17	2	0	525	896	4	14	771	184	244	250	1137
hsa-miR-492	0	0	0	0	0	0	4	0	0	0	2	2	2	0	4
hsa-miR-3199	2	0	0	5	0	2	0	3	0	0	2	0	0	0	0
hsa-miR-3198	0	0	0	2	0	6	0	0	0	43	0	0	0	0	0
hsa-miR-3196	0	0	2	0	0	4	0	2	0	0	6	3	3	0	0
hsa-miR-3195	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
hsa-miR-3074-3p	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0
hsv2-miR-H12	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-18a-3p	96	69	2	38	29	0	11	33	0	72	27	4	18	12	27
hsv2-miR-H10	0	0	0	13	886	79	2	2	3	685	2	0	0	0	0
hsa-miR-499a-3p	3	9	2	0	0	0	0	3	0	0	4	0	0	0	7
hsa-miR-5010-5p	2	0	0	5	0	41	0	0	2	24	0	0	0	0	0
hsa-miR-3913-5p	285	78	22	8	0	14	20	49	3	74	18	11	54	42	42
hsa-miR-365b-5p	181	56	6	2	0	4	11	62	0	7	26	4	56	144	14
hsa-miR-431-5p	0	0	0	3	0	0	0	0	0	8	0	0	0	0	0
hsa-miR-6838-5p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-519a-3p	10	4	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-6891-5p	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0
hsa-miR-628-3p	19	16	2	11	0	0	3	17	2	4	12	2	5	2	2
hsa-miR-873-3p	0	0	0	5	0	54	0	0	0	176	0	0	0	0	0
hsa-miR-512-3p	6	2	0	6	0	0	0	3	0	36	2	0	0	0	4
hsa-miR-3144-3p	6	17	0	0	0	0	0	4	0	0	0	0	0	0	2
hsa-miR-484	1600	3002	312	1160	1003	20	392	759	105	854	1048	117	161	339	682
hsa-miR-4706	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
hsa-miR-99a-5p	57142	234978	23034	4835	50	379	44175	135563	747	9406	129926	19288	26970	29958	34951
hsa-miR-4705	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6803-3p	0	0	0	0	8	0	0	0	0	7	0	0	0	0	0
hsa-miR-3188	0	7	0	0	0	0	0	0	0	14	2	2	0	0	0
hsa-let-7c-3p	17	34	3	0	0	0	2	14	0	0	5	0	0	2	5
hsa-miR-4664-3p	13	4	2	0	0	4	0	9	0	15	0	0	7	27	0
hsa-miR-425-5p	1720	2960	225	707	131	43	764	2504	57	1606	1163	371	621	653	1381
hsa-miR-3182	537	923	613	4	3	2	504	700	3	126	670	66	345	33	618
hsa-miR-483-3p	0	0	0	12	0	0	0	0	10	2	0	0	0	0	0
hsa-miR-518e-3p	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-3180	1	1	0	1	0	8	0	0	0	7	0	0	0	1	0
hsa-miR-520c-5p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-675-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-501-5p	10	17	0	2	0	0	4	2	0	9	8	0	7	15	24
hsa-miR-3191-3p	2	0	0	3	0	2	0	0	0	10	0	0	0	4	0
hsa-miR-200b-3p	181173	340011	34531	84	34	0	46135	134529	14	58	100193	18315	23349	53898	57955
hsa-miR-3615	857	987	74	1321	1252	1128	199	581	198	5568	641	132	281	634	275
hsa-miR-7108-5p	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-3611	0	3	2	0	0	0	0	0	0	3	0	0	0	0	2
hsa-miR-3127-5p	47	6	2	0	0	2	7	10	2	12	2	0	3	16	3
hsa-miR-361-3p	30828	15975	1613	321	95	157	4960	14154	36	2010	14230	3536	9721	11343	8788
hsa-miR-3179	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-3178	2	3	0	0	11	6	0	12	2	12	17	0	4	0	5
hsa-miR-29b-3p	411	1131	138	38	0	5	179	102	0	15	118	12	29	22	225
hsa-miR-3176	10	4	4	0	0	0	0	15	0	47	0	0	0	0	26
hsa-miR-937-3p	12	2	0	0	2	0	0	0	2	14	0	2	0	0	0
hsa-miR-3175	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-3174	31	38	2	2	0	0	2	4	0	0	0	0	2	11	5
hsa-miR-3170	5	5	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-125b-1-3p	36	20	0	7	0	6	7	42	0	21	2	0	2	153	21
hsa-miR-4536-3p	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4723-5p	2	0	0	2	4	0	0	0	0	0	0	0	0	0	0
hsa-miR-7155-5p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-4728-3p	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-5010-3p	3	7	0	20	4	0	0	0	3	16	7	0	3	6	3
hsa-miR-4781-3p	2	3	0	0	0	0	0	2	0	9	0	0	0	0	0
hsa-miR-365b-3p	2338	3257	91	3	0	0	249	686	0	0	1129	98	198	710	686
kshv-miR-K12-3-5p	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0
hsa-miR-431-3p	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
hsa-miR-30d-5p	189184	305096	29582	15316	1004	1271	50361	94109	2347	18247	90557	17348	24015	63136	67358
hsa-miR-5697	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5696	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0
hsa-miR-29b-2-5p	62	64	12	5	0	0	13	30	0	12	29	5	5	4	20
hsa-miR-5695	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30c-2-3p	1378	368	101	3	0	0	132	337	0	8	224	49	272	520	224
hsa-miR-107	1243	1652	288	164	9	0	406	584	8	190	748	86	77	110	914
hsa-miR-3692-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-4699-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-152-5p	24	16	0	0	0	2	0	2	0	0	0	0	0	0	0
hsa-miR-4717-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-5690	2	3	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-12136	8	21	8	11	0	5	35	4	0	23	4	10	0	0	39
hsa-miR-99a-3p	97	277	41	0	0	0	57	63	0	0	47	9	15	10	233
hsa-miR-3168	0	0	0	4	66	0	0	0	0	16	0	0	0	0	0
hsa-miR-6511a-5p	5	0	0	0	0	0	0	0	0	10	0	0	0	0	0
hsa-miR-3166	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0
hsa-miR-3164	0	0	0	2	0	0	0	0	0	26	0	0	0	0	0
hsa-miR-425-3p	931	1389	244	53	0	4	364	709	0	286	343	102	115	142	608
hsa-miR-3163	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-6827-5p	6	0	0	0	0	0	0	0	0	5	0	0	0	0	0
hsa-miR-3161	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0
hsa-miR-4662a-5p	5	7	0	0	0	0	0	5	0	0	0	0	0	0	0
hsa-miR-520c-3p	9	3	0	0	0	0	0	0	0	0	0	0	0	0	4
hsa-miR-501-3p	473	350	56	198	51	81	95	197	45	752	203	49	70	175	269
hsa-miR-6716-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-24-3p	24500	60087	15927	4506	31	121	19678	27408	277	5073	15524	5835	4761	2298	19376
hsa-miR-664b-5p	212	23	4	4	0	5	6	24	0	8	15	6	41	63	19
hsa-miR-133a-3p	0	0	0	7	0	0	0	0	2	11	0	0	0	0	0
hsa-miR-338-5p	7	7	0	27	0	0	93	9	10	33	6	11	8	0	21
hsa-miR-190b-5p	723	806	218	0	3	0	193	483	0	2	134	37	61	45	365
hsa-miR-222-5p	11	2	2	0	0	0	2	2	0	0	10	0	2	0	0
hsa-miR-6513-5p	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5684	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3675-5p	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0
hsa-miR-5683	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3180-3p	6	3	0	3	0	41	2	0	0	36	0	0	0	7	2
hsa-miR-12125	22	16	0	0	0	0	0	11	0	0	11	0	0	0	3
hsa-miR-422a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-4758-5p	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
hsa-miR-12120	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3154	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-1307-5p	769	1080	483	22	0	13	570	504	4	442	87	102	182	53	1486
hsa-miR-769-5p	4131	948	314	64	0	110	591	729	6	860	569	171	708	907	1011
hsa-miR-100-5p	21166	8085	1404	534	0	338	2184	4857	229	2103	2043	804	1431	10529	2250
hsa-miR-653-5p	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4
hsa-miR-6507-5p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-7155-3p	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0
hsa-miR-542-3p	11	4	0	2	0	0	63	0	4	18	0	0	0	0	29
hsa-miR-2861	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-187-5p	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-379-5p	29	7	5	25	0	0	0	11	26	86	4	0	3	7	2
hsa-miR-6833-3p	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-30d-3p	742	782	129	0	6	0	211	496	0	11	123	29	149	135	280
hsa-miR-6715a-3p	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
hsa-miR-455-5p	1302	2479	410	3	0	0	523	964	5	29	402	166	162	46	817
hsa-miR-301b-3p	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-448	5	4	0	0	0	0	0	0	0	0	0	0	2	0	2
hsa-miR-152-3p	9767	6468	1541	189	0	27	1423	1966	26	506	940	340	778	2643	2276
hsa-miR-6746-5p	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-3149	3	0	2	0	0	0	0	4	0	0	0	0	2	2	2
hsa-miR-9-5p	54	23	7	3	0	4	21	16	2	8	4	4	4	0	21
hsa-miR-10a-5p	14812	9248	2204	1241	6	99	5488	6039	813	738	2229	924	2576	12229	2347
hsa-miR-6511a-3p	0	6	0	5	2	0	0	3	0	5	4	0	0	3	2
hsa-miR-3146	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6822-5p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4799-5p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-550a-5p	24	24	6	52	0	29	3	13	12	455	3	5	2	1	11
hsa-miR-10527-5p	183	138	32	32	0	17	48	103	3	85	72	17	27	24	64
hsa-miR-10393-3p	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2
hsa-miR-3143	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-203b-3p	96	12	21	0	0	0	10	19	0	0	3	0	23	12	30
hsa-miR-7854-3p	7	2	0	0	0	7	0	0	0	10	0	0	0	0	0
hsa-miR-141-5p	260	993	213	0	0	0	240	583	0	0	100	29	49	10	442
hsa-miR-92b-5p	39	19	0	33	0	387	12	14	11	453	8	4	16	13	6
hsa-miR-664b-3p	20	33	5	0	6	0	10	8	0	0	15	0	0	3	5
hsa-miR-3157-5p	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0
hsa-miR-525-5p	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0
hsa-miR-338-3p	6	6	0	0	0	0	7	5	0	4	0	0	0	0	0
hsa-miR-6793-5p	3	0	0	0	0	5	0	0	0	6	0	0	2	0	0
hsa-miR-3939	2	8	3	0	0	0	0	2	0	0	5	0	4	0	0
hsa-miR-222-3p	5739	4130	1666	1043	10	42	1480	2873	135	671	2120	422	757	386	3318
hsa-miR-3936	19	3	0	0	0	0	0	0	0	0	0	0	0	6	0
hsa-miR-3617-5p	0	5	0	0	0	0	0	0	0	2	0	2	0	0	2
hsa-miR-6513-3p	2	8	2	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-6874-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-7848-3p	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-1226-5p	16	5	0	0	0	0	8	16	0	0	15	5	7	0	16
hsa-miR-4758-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-3138	3	2	0	2	0	5	0	3	0	2	0	0	0	2	3
hsa-miR-211-5p	0	0	0	0	0	0	0	2	0	3	0	0	0	4	0
hsa-miR-6745	3	0	0	0	0	0	0	0	0	7	0	0	0	4	0
hsa-miR-3133	3	0	0	0	0	0	0	2	0	0	0	0	0	0	2
hsa-miR-1307-3p	2363	5945	738	2082	45	1057	1049	4953	374	16628	2019	857	801	710	1847
hsa-miR-769-3p	14	17	0	0	0	0	4	6	0	0	0	0	4	0	6
hsa-miR-3132	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6502-5p	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6868-3p	2	5	0	3	0	0	0	0	0	0	0	0	6	0	0
hsa-miR-3664-5p	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548t-5p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-129-5p	7	0	0	31	0	64	2	0	2	131	0	0	3	10	0
hsa-miR-182-5p	94015	38372	5763	1512	14	31	6706	17642	202	1174	7531	2382	12161	49618	11081
hsa-miR-187-3p	202	439	9	0	0	0	26	34	0	0	47	6	11	31	41
hsa-miR-205-5p	10530	14609	2374	66	6	0	3730	5335	0	58	11763	1605	1451	4070	10937
hsa-miR-5587-3p	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-455-3p	242	326	25	0	0	0	35	136	0	3	166	29	33	157	102
hsa-miR-429	12732	56147	3786	14	6	0	4322	10214	0	9	5657	893	1031	1301	6761
hsa-miR-3920	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-147b-5p	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-6741-5p	3	4	0	6	2	17	0	5	2	247	0	0	6	4	2
hsa-miR-3128	3	9	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-421	403	1022	115	52	0	0	209	250	2	15	139	35	33	15	275
hsa-miR-9-3p	0	7	0	0	0	0	2	2	0	0	0	0	0	0	3
hsa-miR-10a-3p	25	115	17	5	0	0	65	21	0	0	8	4	0	0	31
hsa-miR-3125	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-550a-3p	5	4	0	11	4	0	0	0	5	45	5	0	0	0	2
hsa-miR-193b-5p	1093	607	156	31	0	598	142	475	19	353	218	154	185	262	361
hsa-miR-3122	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
hsa-miR-1343-5p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-4701-5p	5	2	0	0	0	0	0	0	0	0	0	0	0	2	2
hsa-miR-374a-5p	2612	8886	813	40	0	0	920	2462	2	3	732	161	187	88	2086
hsa-miR-141-3p	35300	166387	28102	35	42	0	30722	56165	4	18	16662	4330	4705	1522	82396
hsa-miR-92b-3p	646	824	109	346	396	19	197	309	143	111	483	62	108	124	251
hsa-miR-3152-5p	0	4	0	0	0	0	0	2	0	0	4	0	0	0	0
hsa-miR-26a-1-3p	6	11	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-6735-5p	3	0	0	0	0	6	0	0	2	2	0	0	0	2	0
hsa-miR-3157-3p	5	2	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-6793-3p	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-3919	0	0	0	0	0	0	0	6	0	0	0	2	0	0	2
hsa-miR-3918	0	0	0	0	0	0	0	0	0	6	2	0	2	0	0
hsa-miR-1185-2-3p	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-3917	0	3	0	0	0	4	0	2	0	0	0	0	0	0	0
hsa-miR-10400-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
hsa-miR-3914	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-4485-3p	0	2	2	2	0	0	2	0	0	6	0	2	0	0	0
hsa-miR-4677-3p	138	36	11	4	0	0	8	19	0	0	8	0	19	39	12
hsa-miR-3911	0	0	0	0	0	0	0	0	2	7	0	0	0	0	2
hsa-miR-519c-5p	1	0	0	2	0	0	0	0	0	6	0	0	0	0	0
hsa-miR-491-5p	20	21	8	0	0	2	4	21	0	3	4	5	3	2	44
