name	SRX3432753	SRX3432752	SRX3432751	SRX3432750	SRX3432748	SRX3432749	SRX3432755	SRX3432754	SRX3432746	SRX3432747	SRX3432758	SRX3432757	SRX3432760	SRX3432759	SRX3432756
IG_J_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#antisense	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0
TR_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
misc_RNA#antisense	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.0
guide_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0
Mt_rRNA#sense	0.0	0.0	0.02	0.05	0.02	0.03	0.02	0.0	0.06	0.07	0.0	0.01	0.0	0.0	0.0
ribozyme#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_intronic#sense	0.27	0.15	0.18	0.63	0.12	0.24	0.2	0.43	0.27	0.24	0.39	0.28	0.62	0.54	0.18
TEC#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0
IG_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_tRNA#sense	0.0	0.0	0.05	0.01	0.0	0.01	0.12	0.0	0.05	0.02	0.01	0.06	0.01	0.01	0.02
pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otherRNA#sense	0.13	0.14	0.23	0.05	0.35	0.06	0.29	0.14	0.09	0.15	0.39	0.07	0.18	0.12	0.17
TR_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vault_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mature#sense	68.99	42.3	54.17	4.36	52.45	18.14	43.62	46.91	10.33	15.14	38.34	9.94	41.13	50.5	52.7
gRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
microRNA#sense	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0
otherRNA#antisense	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0
non_coding#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_J_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_pseudogene#sense	0.02	0.01	0.02	0.04	0.04	0.04	0.03	0.02	0.08	0.04	0.03	0.01	0.02	0.02	0.02
Mt_rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lincRNA#sense	0.27	0.22	0.35	1.2	3.1	2.98	0.31	0.36	3.19	2.89	0.43	0.13	0.27	0.22	0.33
IG_C_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_overlapping#antisense	0.01	0.0	0.0	0.03	0.04	0.04	0.01	0.01	0.1	0.05	0.01	0.0	0.0	0.0	0.0
retained_intron#antisense	0.07	0.02	0.05	0.15	0.3	0.46	0.12	0.02	0.31	0.32	0.09	0.01	0.03	0.03	0.05
transcribed_unprocessed_pseudogene#sense	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
snRNA#sense	0.04	0.01	0.04	0.08	0.04	0.25	0.1	0.03	0.13	0.1	0.03	0.05	0.05	0.02	0.18
lncRNA#sense	0.53	0.27	0.36	1.23	1.76	2.36	0.42	0.55	2.87	2.14	0.39	0.2	0.5	0.32	0.26
hairpin#sense	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01
non_coding#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
antisense_RNA#antisense	0.14	0.09	0.15	0.44	1.34	1.29	0.15	0.16	1.2	0.96	0.23	0.05	0.13	0.09	0.15
macro_lncRNA#sense	0.0	0.0	0.0	0.03	0.04	0.01	0.0	0.0	0.05	0.02	0.0	0.0	0.0	0.0	0.0
miRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.01	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miRNA#sense	0.22	0.11	0.2	0.02	0.64	0.19	0.16	0.12	0.12	0.37	0.13	0.03	0.12	0.18	0.23
mature#antisense	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
snoRNA#sense	0.06	0.03	0.4	0.02	0.44	0.08	0.14	0.07	0.04	0.11	0.03	0.08	0.04	0.03	0.12
TR_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#antisense	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0
un-assigned	5.757710540598399	3.0178024015574003	5.295604784877811	27.33555762062293	15.269172700322898	24.43392800418598	9.310095768147155	3.7331542085900247	25.583460098348606	20.437816477465077	8.920538545171425	3.3357791618668378	7.95493901513067	3.97201487593085	5.770009945117684
nonsense_mediated_decay#sense	0.03	0.02	0.03	0.08	0.13	0.13	0.04	0.04	0.29	0.13	0.05	0.02	0.06	0.03	0.05
non_stop_decay#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
translated_processed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
asRNA#antisense	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
scaRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
piRNA#sense	0.09	0.02	0.03	0.01	0.01	0.02	0.04	0.02	0.04	0.03	0.07	0.01	0.09	0.15	0.05
srpRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
scRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nonsense_mediated_decay#antisense	0.02	0.02	0.03	0.11	0.08	0.15	0.04	0.02	0.11	0.11	0.03	0.01	0.02	0.01	0.03
sRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
snRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
srpRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
unprocessed_pseudogene#sense	0.01	0.0	0.01	0.03	0.04	0.03	0.01	0.0	0.04	0.02	0.01	0.0	0.01	0.01	0.01
TR_J_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
macro_lncRNA#antisense	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.03	0.01	0.0	0.0	0.0	0.0	0.0
transcribed_processed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3prime_overlapping_ncRNA#sense	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0
lincRNA#antisense	2.5	0.51	1.89	2.68	2.2	2.69	3.39	0.73	3.36	2.6	2.65	0.57	1.79	0.86	1.42
IG_V_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_intronic#antisense	0.04	0.01	0.03	0.07	0.05	0.15	0.03	0.02	0.2	0.13	0.04	0.0	0.03	0.01	0.01
misc_RNA#sense	0.12	0.19	0.21	0.5	0.3	0.24	0.26	0.22	0.54	0.77	0.4	0.26	0.24	0.67	0.24
snoRNA#antisense	0.0	0.0	0.01	0.01	0.0	0.0	0.02	0.0	0.02	0.01	0.01	0.0	0.0	0.0	0.01
scaRNA#sense	0.11	0.05	0.08	0.0	0.01	0.0	0.06	0.06	0.0	0.0	0.05	0.01	0.05	0.05	0.11
polymorphic_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TEC#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
