name	SRX2540520	SRX2540521	SRX2540509	SRX2540508	SRX2540518	SRX2540519	SRX2540514	SRX2540512	SRX2540513	SRX2540510	SRX2540511	SRX2540516	SRX2540517	SRX2540507	SRX2540515
hsa-miR-142-5p	19526	8095	16760	10206	27823	19523	72526	1634	732	15100	64851	127755	55752	5527	52331	498141.0
hsa-miR-10b-5p	29324	10518	11960	7876	79164	19477	6712	1093	667	3796	407	51893	200209	3380	38312	464785.5
hsa-miR-378a-3p	53039	25474	10168	6794	27267	28633	30495	1466	1833	5305	15833	109671	78576	2738	66912	464202.79999999993
hsa-miR-10a-5p	22733	8833	11438	9810	79569	18186	5449	1047	659	9293	1392	52764	207467	4089	26709	459436.0
hsa-miR-181a-5p	19425	10285	15497	12695	24102	14998	27450	958	700	8360	16304	136389	102293	2962	25679	418095.5
hsa-miR-27b-3p	17186	10812	13521	9889	23250	16873	27500	1020	416	11986	12954	77282	135330	3841	21400	383258.6699999999
hsa-miR-192-5p	11180	4508	11346	4676	23541	17635	19933	328	362	7533	57803	50615	101839	5614	11851	328759.0
hsa-let-7d-3p	19641	6611	7775	5417	39663	24092	18839	1418	761	1872	1135	47192	111975	3432	37822	327645.0
hsa-miR-29a-3p	4096	2473	2952	1659	6081	3001	9366	484	293	2770	7264	18082	260147	667	7606	326940.68
hsa-miR-128-3p	26774	9987	19208	15873	28114	29496	31207	1241	661	14947	4909	54265	42495	7364	31306	317847.0
hsa-miR-26b-5p	11205	8261	9243	11984	24662	34211	21311	453	453	11029	38595	79173	32418	3571	22862	309429.17
hsa-miR-221-3p	14196	20453	11356	21782	24139	32810	8113	877	323	16513	6021	56606	67471	4505	18366	303531.0
hsa-let-7d-5p	26631	5617	16106	23458	24512	34003	38547	995	658	17015	23141	20829	33469	7199	25038	297218.57
hsa-miR-629-5p	18991	14296	3333	2805	31474	15469	36050	1446	692	1953	5197	76743	38789	1244	46540	295022.0
hsa-miR-223-5p	18825	4499	12525	7685	19931	23669	22344	694	317	3141	2142	72099	19536	2750	49655	259812.0
hsa-miR-16-5p	9276	3018	9056	8297	15465	20110	12944	283	133	6823	90201	37714	23174	2090	6298	244883.02
hsa-miR-16-2-3p	12030	10893	6574	3258	40720	20521	24227	664	224	7303	9847	53870	34457	2428	9098	236114.0
hsa-miR-146b-5p	17378	5365	10512	20667	12846	28194	4466	484	717	33580	42988	20586	8852	5162	14314	226109.0
hsa-miR-222-3p	20874	7409	12635	18769	17816	35964	8343	785	739	18469	3077	22748	22783	7909	17924	216244.0
hsa-miR-148b-3p	10787	7416	9052	13188	15799	14485	13474	565	213	8754	17501	44834	30805	3754	14673	205297.68000000002
hsa-miR-144-3p	3927	3657	2190	1523	9513	7207	13851	188	197	1202	60549	60426	22245	804	1345	188824.0
hsa-miR-20a-5p	7497	4768	7326	6117	10722	34468	3754	180	145	4743	27510	55332	15391	1985	6658	186595.00000000003
hsa-miR-3615	12314	4229	4472	3681	14454	8946	25827	459	618	1614	1405	47407	28030	1181	23597	178234.0
hsa-miR-484	13579	9797	6914	12199	17601	17604	13238	464	397	5288	7649	35292	15336	2476	16575	174409.0
hsa-miR-532-5p	11355	6728	6585	6253	9217	12985	20979	491	275	6558	21861	25023	11513	2164	17578	159565.0
hsa-miR-99b-5p	12862	2545	4177	10920	13361	10850	2693	267	389	3818	745	20639	53108	5758	11876	154008.0
hsa-miR-584-5p	14185	5621	7009	9188	19782	23185	6034	345	310	6925	3131	23623	21250	3161	9981	153730.0
hsa-miR-340-5p	7998	4373	6380	4467	7919	7127	9237	263	138	5957	8689	57040	16861	2304	9412	148165.0
hsa-miR-23a-3p	7286	3571	6258	11888	7878	7599	10963	329	176	1924	2748	32726	33381	1326	14308	142356.16999999998
hsa-miR-100-5p	4539	5635	1861	911	10175	3601	5480	187	128	1107	3261	16004	70677	1006	3666	128233.5
hsa-miR-363-3p	7261	2049	3510	3593	11439	14670	8792	165	130	2106	28005	26819	15612	785	1865	126801.0
hsa-miR-186-5p	6487	5571	4713	4076	8311	11661	5153	252	129	5101	27313	26536	8491	1392	5276	120462.0
hsa-miR-30a-5p	5490	2956	5195	5140	7740	4795	1903	270	240	3069	1765	16454	51307	1524	7509	115353.0
hsa-miR-182-5p	3781	1624	2132	3104	15288	25289	10326	134	112	1397	19941	13029	10557	642	5665	113021.0
hsa-miR-7-5p	5327	2894	2763	2700	14149	21804	4623	216	186	2387	12185	19777	7333	733	9298	106374.98000000001
hsa-miR-193a-5p	8087	2793	1101	916	4949	9355	9251	319	351	120	49	22360	32631	258	13241	105781.0
hsa-miR-320b	7080	2523	1808	1147	11789	2757	4596	373	359	1057	1971	3766	61944	433	4075	105679.94
hsa-miR-199a-3p	3918	2586	3989	4637	7646	6531	8507	263	44	3441	1796	32055	19886	1319	7973	104589.98000000001
hsa-miR-93-5p	4168	2133	4191	6388	4851	15201	3439	80	123	2886	14080	27643	6483	1225	9274	102165.0
hsa-miR-125b-5p	2409	825	1302	887	3867	1537	1048	110	222	351	138	3517	78489	588	4930	100220.34
hsa-miR-1307-3p	8466	1836	8109	11949	3831	7127	6313	283	332	9901	3203	10937	7094	2813	14761	96955.0
hsa-miR-106b-3p	2781	2502	3624	4777	3856	7492	6734	118	113	3339	21217	16637	5281	1232	7338	87041.0
hsa-miR-30c-5p	6695	1893	3880	10701	5501	10557	3473	126	257	5878	3369	17482	5934	1764	8876	86386.34
hsa-miR-181b-5p	3489	2857	1743	1366	5675	3168	5085	212	143	1107	1652	23055	30778	323	5680	86331.84
hsa-miR-1-3p	2082	586	2073	2074	2830	2233	845	122	81	351	846	5416	61229	714	4722	86204.0
hsa-miR-744-5p	7174	1387	9304	11788	2306	4998	6367	256	272	9688	2880	5161	5027	3273	8390	78271.0
hsa-miR-28-3p	6490	1920	4361	5756	6146	7699	3259	154	205	5229	2026	13230	7674	1578	11777	77504.0
hsa-miR-183-5p	3131	935	1559	1643	9145	13228	9167	59	85	1581	18298	6731	7144	557	2818	76081.0
hsa-miR-127-3p	5436	1776	4325	11480	6531	7531	439	198	74	15229	1767	4879	3440	2168	2753	68026.0
hsa-miR-223-3p	3187	1034	8988	13559	1209	4113	3913	28	84	2335	1850	14510	2082	2049	7385	66326.0
hsa-miR-144-5p	2417	893	592	895	6187	13496	3520	69	89	249	7610	19184	9297	202	962	65662.0
hsa-miR-17-5p	3137	1262	2437	3370	3773	13264	1364	63	103	1876	5900	18444	5291	777	2890	63951.0
hsa-let-7c-5p	2952	1716	3090	2703	3731	4364	9468	224	243	2486	5280	5804	9542	1027	7362	59993.28
hsa-miR-375-3p	1588	482	2302	376	3808	540	481	17	24	486	77	593	43618	2254	1336	57982.0
hsa-miR-338-5p	2055	1173	1327	817	4046	1702	5531	189	51	303	95	21316	5187	334	10969	55095.0
hsa-miR-199b-3p	1952	1291	1986	2311	3819	3251	4250	131	22	1713	895	16014	9933	658	3980	52206.990000000005
hsa-miR-150-5p	2205	1013	1131	3330	1311	2674	1085	55	450	14178	14631	1933	2669	496	3530	50691.0
hsa-miR-425-5p	4100	1314	2556	3868	2773	4361	4764	153	116	2156	4513	9899	4858	778	3798	50007.0
hsa-miR-30e-3p	2329	1266	2204	3495	2825	5332	3950	103	139	2502	3464	10146	3491	857	7618	49716.5
hsa-miR-199a-5p	3636	1287	5613	6206	3979	4138	342	154	59	8351	2419	5300	3048	1988	1946	48464.64
hsa-miR-501-3p	3295	2690	540	520	4822	3251	4159	130	127	364	873	5403	12692	217	5666	44747.5
hsa-miR-126-5p	2744	1128	2994	3386	2798	4565	877	98	53	3807	5053	8060	5729	1214	1782	44288.0
hsa-miR-134-5p	5107	1223	1590	3114	4820	4466	733	174	102	4464	1088	3951	10677	534	1918	43961.0
hsa-miR-107	2767	1576	616	901	3389	3060	5145	110	30	559	5135	8913	9748	188	1269	43406.66
hsa-miR-409-3p	3246	1216	2404	7504	5336	4334	221	141	52	7161	529	3614	3294	1576	2420	43048.0
hsa-miR-152-3p	1613	927	1358	1812	1870	3189	496	57	51	1189	843	8202	16947	528	2465	41546.17999999999
hsa-miR-98-5p	1976	959	1770	3558	3160	6829	2060	64	36	1553	3313	6863	3487	921	3042	39590.91
hsa-miR-125a-5p	2457	1323	1761	3793	2797	4089	868	122	250	940	136	8164	4995	1713	4999	38407.0
hsa-miR-625-3p	3028	1175	1162	2428	2688	4747	1200	92	139	4247	634	6017	2144	1276	7163	38140.0
hsa-miR-361-3p	2588	840	2500	3622	1656	3294	1716	55	169	4525	4055	4644	1633	876	4716	36889.0
hsa-miR-142-3p	2159	1290	1219	1710	1927	4398	1676	46	99	951	1956	13134	3474	367	2477	36883.0
hsa-miR-145-3p	1626	534	787	259	3401	970	3165	86	26	134	45	11913	8040	152	4073	35211.0
hsa-miR-215-5p	585	263	1038	143	1136	341	568	10	0	132	521	1117	26783	195	399	33226.0
hsa-miR-652-3p	1733	769	1197	2426	2760	2812	2400	41	46	1417	5375	6577	2879	383	2408	33223.0
hsa-miR-370-3p	2629	836	2066	4908	1950	3164	301	101	33	9275	2045	2151	1774	692	1250	33175.0
hsa-miR-486-3p	2687	861	2656	1993	2944	4394	3887	89	99	1720	2311	2115	4452	884	1360	32452.0
hsa-miR-450b-5p	1085	708	262	104	2610	1032	2806	92	8	57	141	15174	3587	65	2431	30162.0
hsa-miR-328-3p	2379	1214	1392	2418	3016	4045	1090	116	117	834	78	6926	2228	940	2732	29525.0
hsa-miR-139-5p	2952	604	2116	4153	1457	2498	776	96	100	2378	342	4101	3649	637	3542	29401.0
hsa-miR-2110	2061	995	724	715	3036	3008	2654	112	74	585	799	3003	5413	297	4089	27565.0
hsa-miR-320c	1535	841	373	391	3859	555	1858	165	88	372	399	1227	13396	159	1523	26741.03
hsa-miR-19b-3p	2067	516	1876	1061	1711	2023	728	42	23	937	6073	6197	1214	464	1420	26352.68
hsa-miR-224-5p	3900	489	2651	2845	925	6868	178	36	31	3605	127	989	1789	1021	795	26249.0
hsa-miR-941	1476	621	1966	1456	1017	2106	3314	89	113	945	1242	4819	1434	470	5013	26081.060000000005
hsa-miR-106b-5p	1058	604	776	372	867	1298	2188	41	18	408	8710	5725	3041	150	642	25898.0
hsa-miR-140-5p	1686	400	2111	1447	945	3211	1482	35	31	1213	2228	4683	2126	438	3092	25128.0
hsa-miR-27a-5p	2488	870	362	720	2134	4230	2972	70	214	83	31	5762	1365	83	3626	25010.0
hsa-miR-23b-3p	836	645	1348	4994	1100	1160	1019	50	27	841	565	2697	7828	600	1171	24876.17
hsa-miR-361-5p	1162	407	778	1083	1397	1647	1253	33	9	487	398	4713	6270	233	3797	23667.0
hsa-miR-155-5p	1219	1047	687	1402	1097	3095	375	82	729	1454	1275	2620	2123	356	5061	22622.0
hsa-miR-424-3p	1038	479	1062	546	1302	1332	4113	62	41	237	346	2948	4588	279	4225	22598.0
hsa-let-7e-5p	2131	332	1218	4034	2022	1543	1106	67	47	2416	507	1387	1494	2150	1936	22387.64
hsa-miR-660-5p	1311	955	469	347	2098	1157	1437	59	18	283	1714	5328	5180	119	1572	22047.0
hsa-miR-22-5p	1488	617	290	351	2345	1053	1479	59	26	242	605	5188	6431	79	1452	21705.0
hsa-let-7a-3p	1203	430	585	386	2522	865	1395	48	28	477	589	7939	3404	247	1273	21391.68
hsa-miR-335-5p	1653	435	344	229	2057	1270	247	35	21	185	218	6218	7130	75	876	20993.0
hsa-miR-194-5p	882	279	555	368	1349	1947	985	18	23	180	2707	4544	5702	186	661	20386.0
hsa-miR-500a-3p	987	1044	284	309	1891	1565	1467	47	26	202	617	3703	5252	82	2896	20368.5
hsa-miR-320d	1427	432	324	144	1327	370	1322	94	62	118	178	866	12502	63	996	20224.359999999997
hsa-miR-203a-3p	237	1118	1114	334	130	232	874	78	152	138	86	4863	8846	71	499	18772.0
hsa-miR-379-5p	1710	446	1194	2295	1128	2061	204	52	21	3101	1354	1630	2503	334	727	18760.0
hsa-miR-130b-5p	1612	441	960	1095	1628	4855	601	61	39	386	0	2048	2109	540	2147	18522.0
hsa-miR-1180-3p	2176	704	385	375	1639	1424	1607	26	52	304	943	2321	5928	108	519	18511.0
hsa-miR-15b-5p	867	652	371	508	794	983	1905	15	13	202	4022	4717	2357	95	744	18244.5
hsa-miR-382-5p	1180	577	705	1567	1678	2493	126	48	17	1286	380	2169	3612	236	1079	17153.0
hsa-miR-92b-3p	1114	882	816	968	1559	2561	1364	63	55	500	642	1998	3313	438	760	17032.67
hsa-miR-432-5p	1108	334	999	2260	1874	1625	104	52	15	4066	602	939	1005	438	872	16293.0
hsa-miR-20b-5p	620	277	368	431	991	3697	370	6	17	269	2165	4667	1278	74	307	15534.01
hsa-miR-15a-5p	718	468	200	124	1576	936	1037	31	9	123	1778	4703	3261	45	445	15453.5
hsa-miR-32-5p	666	182	343	175	739	525	786	28	7	181	1713	7215	2122	65	451	15198.0
hsa-miR-21-3p	748	581	214	226	1772	794	909	66	29	341	304	2323	6011	64	799	15181.0
hsa-miR-378c	1112	785	214	115	800	604	1096	61	41	88	587	5076	3359	48	1018	15002.299999999997
hsa-miR-330-3p	1433	253	1118	1853	787	1359	568	16	40	1571	309	2111	743	577	2160	14898.0
hsa-miR-11400	2098	404	734	2338	1092	1312	272	45	11	1192	729	1988	1084	514	934	14747.0
hsa-miR-543	2291	681	907	1676	1707	1659	112	80	18	653	24	1558	1688	468	751	14273.0
hsa-miR-381-3p	945	358	786	1686	847	781	125	59	12	3525	1151	2272	770	229	396	13942.0
hsa-miR-323b-3p	1427	212	410	874	2329	1287	329	56	19	934	40	1891	3353	101	492	13754.0
hsa-miR-1307-5p	560	543	340	218	1041	195	1411	35	15	202	336	4534	3301	62	649	13442.0
hsa-miR-28-5p	1416	326	1197	1210	625	1267	646	22	42	1240	982	1959	979	363	1145	13419.0
hsa-miR-4433b-5p	853	411	793	3118	702	1897	33	44	33	1071	66	988	659	950	1799	13417.0
hsa-miR-125a-3p	984	328	93	111	245	272	4540	10	102	18	8	2216	1888	38	2453	13306.0
hsa-miR-542-3p	490	234	188	59	472	432	1384	38	3	26	141	6963	1786	45	968	13229.0
hsa-miR-197-3p	715	132	1791	2010	372	1209	919	19	26	243	48	1705	803	667	2568	13227.0
hsa-miR-502-3p	952	543	171	156	956	1028	1127	31	20	94	502	2444	3142	35	1981	13179.0
hsa-miR-503-5p	590	724	363	256	573	1439	1290	28	25	94	812	2543	3228	57	1048	13070.0
hsa-miR-342-5p	1966	238	416	337	643	806	590	38	49	1501	2397	628	2265	121	931	12926.0
hsa-miR-151a-5p	1438	292	434	844	1296	1951	212	16	7	711	408	2017	1749	602	751	12726.5
hsa-miR-425-3p	634	315	505	1009	571	617	1194	22	7	872	1181	3033	738	170	1419	12287.0
hsa-miR-1301-3p	756	281	802	1649	877	1374	280	28	16	914	205	954	2480	538	1129	12283.0
hsa-miR-181a-2-3p	618	387	647	639	696	534	987	37	32	776	939	1155	3317	208	1063	12035.0
hsa-miR-345-5p	972	251	286	480	841	806	1264	42	25	261	296	2782	1226	118	2352	12002.0
hsa-miR-15b-3p	417	493	252	346	1220	852	662	31	6	282	2114	2717	1710	86	467	11655.0
hsa-miR-130b-3p	285	114	67	57	335	441	244	20	13	46	143	749	8637	5	370	11526.0
hsa-miR-654-3p	1025	326	910	1430	827	743	166	65	10	1950	407	1359	1402	336	332	11288.0
hsa-miR-206	63	13	69	18	192	22	40	14	0	14	1	245	10380	52	69	11192.0
hsa-miR-19a-3p	635	253	699	353	743	994	301	31	18	397	2105	2993	501	190	586	10798.34
hsa-miR-1843	911	342	644	1123	944	1093	393	21	16	651	500	1780	1845	279	188	10730.0
hsa-miR-339-5p	682	276	725	1986	671	1107	435	24	33	1185	258	968	1190	438	652	10630.0
hsa-miR-493-5p	713	436	505	1351	1123	1560	76	23	5	1721	218	1280	900	228	418	10557.0
hsa-miR-769-5p	453	309	839	863	438	714	1179	41	29	568	555	1661	831	277	1581	10338.0
hsa-miR-340-3p	927	228	632	1067	584	1282	438	11	18	695	231	2087	919	198	765	10082.0
hsa-miR-148a-5p	460	291	353	345	447	395	1064	34	69	402	238	2022	2840	122	963	10045.0
hsa-miR-10a-3p	164	109	61	35	853	170	86	10	5	21	13	577	7631	7	133	9875.0
hsa-miR-193b-5p	142	60	21	13	257	641	23	0	35	6	2	61	8163	8	308	9740.0
hsa-miR-181d-5p	865	169	295	273	604	364	379	37	14	199	141	3307	2119	104	785	9654.67
hsa-miR-589-5p	806	245	286	305	601	607	885	7	15	218	448	2668	1413	74	721	9299.0
hsa-miR-582-3p	368	275	557	133	446	159	1509	14	15	78	130	3018	1493	135	819	9149.0
hsa-miR-185-3p	480	271	482	1043	485	1379	474	9	12	527	846	1477	776	201	567	9029.0
hsa-miR-335-3p	1114	253	1140	763	499	1585	100	15	20	597	119	1522	831	109	315	8982.0
hsa-let-7b-3p	486	99	275	249	994	415	422	17	13	119	147	1035	4014	105	590	8980.0
hsa-miR-24-2-5p	644	206	426	305	411	418	741	11	22	273	208	2043	2422	81	727	8937.0
hsa-miR-664a-5p	1059	214	470	483	845	750	524	41	40	347	208	880	1489	147	1419	8916.0
hsa-miR-106a-5p	363	139	195	251	570	2051	152	6	5	100	1157	2886	674	41	271	8859.0
hsa-miR-374b-5p	368	106	629	1118	492	723	321	4	5	492	1414	1812	621	186	206	8496.5
hsa-miR-1246	696	539	118	170	569	372	2809	78	40	138	24	930	614	24	1359	8480.0
hsa-miR-339-3p	624	235	482	638	425	561	791	15	19	607	771	1073	1027	135	598	8001.0
hsa-miR-150-3p	266	167	103	121	403	351	1025	28	69	456	418	267	2342	35	1843	7894.0
hsa-miR-942-5p	644	167	301	257	902	1041	437	22	12	190	207	1703	835	110	823	7651.0
hsa-miR-130a-3p	468	99	158	187	514	500	242	8	0	201	763	978	3142	25	134	7419.0
hsa-miR-421	583	189	323	357	493	863	334	6	8	219	446	1648	789	89	846	7193.0
hsa-miR-424-5p	208	145	96	46	292	235	475	9	4	7	103	3987	1126	12	418	7163.0
hsa-miR-3613-5p	385	271	225	171	515	773	672	8	6	113	457	1386	1037	69	694	6782.0
hsa-miR-450a-5p	199	176	340	138	276	308	1495	21	8	62	192	2139	530	112	784	6780.0
hsa-miR-494-3p	533	135	219	945	445	587	21	10	16	1161	210	819	1102	86	302	6591.0
hsa-miR-200a-3p	94	45	300	60	382	115	149	11	2	90	14	320	4652	63	159	6456.0
hsa-miR-671-3p	526	155	407	636	622	854	223	14	27	347	20	996	591	244	698	6360.0
hsa-miR-433-3p	502	269	335	931	705	690	53	28	5	836	64	652	883	184	223	6360.0
hsa-miR-548e-3p	396	161	181	59	587	345	384	20	0	92	247	2564	643	35	646	6360.0
hsa-miR-199b-5p	200	247	494	309	279	283	1371	18	8	131	146	1425	274	120	999	6305.32
hsa-miR-323a-3p	743	215	218	614	774	489	135	16	10	664	28	1105	923	107	242	6283.0
hsa-miR-30a-3p	371	230	220	303	255	311	318	12	15	191	209	1681	1343	57	767	6279.0
hsa-miR-29b-3p	223	99	103	77	216	371	248	6	24	164	1359	705	2103	27	416	6142.7
hsa-miR-181a-3p	229	165	182	256	314	187	577	8	24	198	204	1342	1893	45	452	6075.0
hsa-miR-452-5p	1109	83	102	120	387	823	45	5	0	118	25	364	2566	32	225	6004.0
hsa-miR-493-3p	568	144	393	822	482	661	34	27	3	1203	413	591	294	120	229	5984.0
hsa-miR-342-3p	596	190	206	754	480	547	120	9	45	453	539	1064	264	130	573	5970.0
hsa-miR-651-5p	329	176	96	54	531	246	412	13	7	59	353	2042	1151	44	250	5763.0
hsa-miR-1273h-3p	446	170	333	438	447	465	285	26	31	442	78	973	478	134	854	5600.0
hsa-miR-200c-3p	421	147	497	619	248	939	213	17	20	362	291	500	500	151	598	5523.0
hsa-miR-3614-5p	565	431	217	686	377	522	293	41	15	8	0	788	226	59	1213	5441.0
hsa-miR-139-3p	522	90	489	641	431	579	129	10	32	559	36	375	571	211	719	5394.0
hsa-miR-221-5p	466	171	357	541	406	950	197	24	21	403	254	847	186	144	392	5359.0
hsa-miR-30b-5p	257	50	211	496	134	261	190	4	5	434	2039	783	226	83	112	5284.67
hsa-miR-3158-3p	344	67	371	232	248	408	443	18	6	265	1488	458	712	79	110	5249.0
hsa-miR-411-5p	589	111	379	740	313	502	37	14	6	1004	409	427	441	103	165	5240.0
hsa-miR-10b-3p	121	56	25	5	491	118	69	8	2	2	0	249	3860	4	184	5194.0
hsa-miR-628-3p	465	103	348	356	209	462	306	2	13	415	145	606	583	122	884	5019.0
hsa-miR-499a-5p	190	84	77	37	406	125	284	14	4	21	97	1057	2261	19	246	4922.0
hsa-miR-29c-3p	182	115	94	43	199	136	341	11	11	41	624	738	1950	18	390	4891.68
hsa-miR-1260b	202	90	526	1099	165	333	216	23	25	124	30	673	442	270	478	4692.5
hsa-let-7i-3p	184	111	51	58	244	180	273	20	2	26	266	981	2095	15	172	4678.0
hsa-miR-550a-5p	515	92	259	172	196	293	747	4	11	168	348	429	437	63	750	4483.68
hsa-miR-99b-3p	226	68	71	332	274	185	162	10	0	101	16	833	1255	179	471	4183.0
hsa-miR-320e	233	116	75	40	261	97	292	17	15	32	46	148	2646	11	149	4179.6
hsa-miR-485-5p	392	68	224	393	444	444	18	11	11	645	91	188	875	64	163	4031.0
hsa-miR-4433b-3p	487	131	405	257	594	69	115	17	8	444	306	578	314	77	178	3980.0
hsa-miR-374a-5p	113	63	158	221	247	467	96	3	4	150	1055	703	487	55	117	3939.0
hsa-miR-96-5p	98	49	61	43	353	392	175	0	4	18	1795	537	314	5	50	3894.0
hsa-miR-378d	414	181	76	41	118	106	391	13	20	34	229	1044	722	18	274	3677.6
hsa-miR-6852-5p	316	62	298	655	214	373	54	15	9	573	159	233	208	152	322	3643.0
hsa-miR-654-5p	321	76	238	582	238	300	30	9	4	1086	156	103	168	83	163	3557.0
hsa-miR-485-3p	195	93	169	427	459	549	2	15	0	73	3	274	953	138	188	3538.0
hsa-miR-4443	229	226	92	69	179	47	1302	23	75	9	4	249	200	31	771	3506.0
hsa-miR-505-3p	306	129	198	446	239	270	233	4	12	182	40	582	216	99	542	3498.0
hsa-miR-148b-5p	260	46	116	116	164	365	178	4	8	124	1072	575	258	37	147	3470.0
hsa-miR-326	243	131	293	682	178	233	90	2	21	500	262	352	194	126	115	3422.0
hsa-miR-1304-3p	202	100	142	146	229	240	465	4	2	164	83	859	325	43	410	3414.0
hsa-miR-4732-5p	544	80	125	92	322	170	371	4	13	202	924	232	192	37	83	3391.0
hsa-miR-760	395	84	150	221	311	254	112	11	8	123	28	336	920	87	337	3377.0
hsa-miR-125b-2-3p	102	52	55	27	154	79	34	3	7	21	31	152	2385	11	258	3371.0
hsa-miR-4508	247	590	430	135	248	48	767	3	14	51	180	297	259	43	42	3353.5
hsa-miR-210-3p	288	178	111	192	278	482	173	5	9	96	338	549	412	61	130	3302.0
hsa-miR-618	144	46	98	60	156	169	422	5	2	16	21	1277	245	11	512	3184.0
hsa-miR-548o-3p	252	144	128	72	318	295	149	11	5	89	346	858	288	15	191	3161.68
hsa-miR-136-3p	181	88	101	228	482	144	34	9	0	429	220	480	611	50	54	3111.0
hsa-miR-10527-5p	277	68	101	77	307	358	212	4	4	119	97	552	314	30	586	3106.0
hsa-miR-18a-5p	181	67	110	116	156	544	164	4	4	113	733	455	333	47	68	3092.0
hsa-miR-495-3p	348	84	201	342	397	230	40	19	0	571	160	288	186	78	137	3081.0
hsa-miR-200b-3p	218	98	288	176	142	413	145	5	9	184	112	255	639	88	298	3070.0
hsa-miR-26b-3p	175	92	224	243	285	218	175	3	3	122	59	673	230	95	438	3035.0
hsa-miR-873-5p	50	56	67	17	103	21	400	15	11	36	125	395	1031	2	698	3027.0
