name	SRX2742138	SRX2742139	SRX2742130	SRX2742131	SRX2742132	SRX2742133	SRX2742134	SRX2742135	SRX2742136	SRX2742137	SRX2742158	SRX2742159	SRX2742152	SRX2742153	SRX2742150	SRX2742151	SRX2742156	SRX2742157	SRX2742154	SRX2742155	SRX2742129	SRX2742128	SRX2742127	SRX2742126	SRX2742125	SRX2742124	SRX2742123	SRX2742122	SRX2742149	SRX2742148	SRX2742161	SRX2742160	SRX2742166	SRX2742165	SRX2742164	SRX2742141	SRX2742140	SRX2742143	SRX2742142	SRX2742145	SRX2742144	SRX2742147	SRX2742146	SRX2742163	SRX2742162
piRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lncRNA#antisense	0.04	0.04	0.02	0.02	0.08	0.04	0.15	0.06	0.12	0.04	0.06	0.06	0.08	0.04	0.14	0.09	0.11	0.1	0.13	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.09	0.1	0.1	0.1	0.05	0.08	0.08	0.09	0.03	0.07	0.14	0.05	0.03	0.08	0.06	0.06
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#antisense	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.01
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
protein_coding#antisense	0.54	0.43	0.32	0.67	0.77	0.61	0.66	0.46	1.14	0.5	0.66	0.59	0.9	0.51	0.73	0.66	0.92	1.5	0.84	1.16	0.0	0.0	0.67	0.0	0.56	0.0	0.0	0.59	0.5	0.61	0.84	0.85	0.64	0.68	0.56	0.62	1.0	0.49	0.55	0.69	0.47	0.36	0.78	0.43	0.53
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
protein_coding#sense	0.41	0.42	0.2	0.35	0.34	0.33	0.28	0.28	0.66	0.39	0.44	0.38	0.55	0.26	0.45	0.33	0.48	0.76	0.45	0.6	0.51	0.57	1.34	0.0	1.41	1.03	0.0	1.47	0.31	0.29	0.48	0.53	0.39	0.44	0.33	0.38	0.51	0.37	0.29	0.35	0.4	0.23	0.31	0.24	0.33
pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rRNA#sense	15.47	12.76	16.53	13.83	29.82	11.02	29.4	13.35	28.28	17.5	12.18	11.48	20.8	13.59	18.63	16.08	13.14	19.95	17.24	23.4	4.08	8.52	7.02	4.44	5.07	4.14	3.34	5.0	11.98	14.11	16.65	19.35	19.71	13.4	9.51	19.31	27.63	18.17	20.09	16.7	16.92	13.14	17.71	5.61	13.23
rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tRNA#sense	0.52	0.36	0.41	0.68	1.57	0.67	0.79	0.53	0.98	0.66	0.63	0.62	0.94	0.62	0.51	0.76	0.83	0.64	1.73	0.65	0.0	0.57	0.0	0.0	0.0	0.0	0.51	0.0	0.81	0.55	0.96	0.61	1.32	1.23	1.2	1.43	0.55	0.29	0.88	0.99	0.59	0.72	0.8	1.15	0.66
IG_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
guide_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
misc_RNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_rRNA#sense	0.02	0.05	0.01	0.01	0.03	0.03	0.04	0.03	0.04	0.01	0.02	0.02	0.04	0.04	0.04	0.02	0.05	0.08	0.04	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.03	0.04	0.04	0.02	0.03	0.01	0.01	0.03	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02
ribozyme#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcribed_unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sense_intronic#sense	0.03	0.05	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01
TEC#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mt_tRNA#sense	0.03	0.04	0.02	0.02	0.05	0.03	0.02	0.02	0.05	0.04	0.04	0.04	0.03	0.02	0.03	0.03	0.03	0.04	0.06	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08	0.05	0.04	0.04	0.03	0.04	0.06	0.03	0.03	0.04	0.03	0.02	0.02	0.02	0.04
pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otherRNA#sense	0.17	0.18	0.15	0.25	0.33	0.19	0.21	0.23	0.45	0.19	0.31	0.29	0.43	0.31	0.4	0.3	0.43	0.75	0.47	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.28	0.37	0.47	0.41	0.3	0.27	0.36	0.43	0.25	0.22	0.26	0.16	0.18	0.35	0.26	0.27
vault_RNA #sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mature#sense	40.86	26.19	60.32	52.99	28.94	55.68	41.92	61.56	33.01	42.5	55.3	57.77	34.08	54.31	51.29	60.33	53.49	37.36	55.82	37.45	58.42	68.75	69.9	76.11	70.42	65.86	69.92	68.53	53.59	59.8	46.69	36.99	47.43	55.08	60.87	42.87	36.55	48.17	46.71	53.38	40.13	61.88	57.11	67.69	61.8
gRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
microRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otherRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_coding#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
polymorphic_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
non_stop_decay#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.03	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01
Mt_rRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lincRNA#sense	0.62	1.1	0.39	0.47	0.76	0.72	0.44	0.69	0.46	0.64	0.48	0.48	0.38	0.46	0.45	0.32	0.45	0.56	0.49	0.72	0.77	0.0	0.0	1.27	0.56	1.38	1.86	0.59	0.81	0.6	0.75	0.64	0.5	0.41	0.37	0.83	0.67	0.85	0.61	0.36	0.81	0.67	0.34	0.46	0.45
sense_overlapping#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
retained_intron#antisense	0.02	0.02	0.02	0.03	0.03	0.02	0.03	0.04	0.09	0.03	0.05	0.05	0.08	0.05	0.07	0.05	0.08	0.17	0.07	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.05	0.08	0.05	0.05	0.03	0.04	0.04	0.03	0.02	0.04	0.02	0.02	0.04	0.02	0.04
transcribed_unprocessed_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TR_V_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
snRNA#sense	0.49	0.43	0.25	0.37	0.28	0.38	0.24	0.27	0.84	0.38	0.7	0.62	0.73	0.32	0.95	0.36	0.46	0.74	0.48	1.07	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.34	0.44	1.0	1.75	0.38	0.2	0.32	0.43	1.03	0.51	0.33	0.72	0.59	0.2	0.38	0.19	0.62
lncRNA#sense	0.75	0.91	0.32	0.31	0.43	0.51	0.38	0.3	0.39	0.59	0.39	0.4	0.51	0.49	0.28	0.25	0.34	0.29	0.23	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.43	0.37	0.37	0.27	0.29	0.14	0.3	0.37	0.78	0.5	0.35	0.8	0.31	0.19	0.21	0.34
hairpin#sense	0.03	0.07	0.14	0.13	0.07	0.14	0.05	0.14	0.03	0.07	0.08	0.06	0.03	0.06	0.04	0.11	0.05	0.03	0.08	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.05	0.04	0.04	0.04	0.08	0.08	0.12	0.04	0.09	0.14	0.13	0.02	0.2	0.04	0.1	0.03
non_coding#sense	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.0	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.01
antisense_RNA#antisense	0.02	0.02	0.01	0.03	0.03	0.02	0.02	0.02	0.07	0.02	0.04	0.03	0.05	0.02	0.05	0.04	0.05	0.1	0.06	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.05	0.05	0.04	0.04	0.03	0.03	0.05	0.02	0.02	0.03	0.02	0.01	0.03	0.03	0.03
macro_lncRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miRNA#sense	0.07	0.06	0.08	0.1	0.08	0.1	0.07	0.08	0.09	0.08	0.09	0.09	0.07	0.1	0.08	0.12	0.08	0.07	0.12	0.08	0.0	0.0	0.0	0.0	0.56	0.0	0.53	0.59	0.08	0.1	0.07	0.07	0.1	0.1	0.1	0.11	0.09	0.09	0.08	0.1	0.06	0.09	0.07	0.13	0.08
mature#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
snoRNA#sense	18.99	32.21	8.41	6.32	14.06	15.08	8.15	9.37	6.07	15.01	7.41	7.66	9.18	12.11	5.36	3.65	5.78	6.03	4.71	6.93	0.51	0.0	0.67	0.0	0.56	0.69	0.0	0.59	14.5	9.86	11.05	11.07	6.47	7.23	3.4	10.39	9.22	16.28	12.94	4.91	21.1	11.48	3.86	7.37	6.88
3prime_overlapping_ncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
un-assigned	6.4222573245156065	2.8610905745568864	3.6930420143192793	10.551238281889542	5.658808048325369	3.7285882796857632	4.102711925147438	3.5896974935177184	13.354966701770342	7.661858618698937	11.196872117410452	9.812187813965823	12.52117859235416	4.462137443476368	8.853658815984364	7.112895024388448	11.111481448644886	15.640192193683506	7.830767815212275	12.693260996091231	3.5714285714285716	3.409090909090909	8.695652173913043	10.359408033826638	7.042253521126761	9.310344827586206	4.884318766066838	10.882352941176471	5.299242224370629	3.999185949576759	7.426130240673269	10.058958304780605	7.69975012657657	7.366118126977718	7.006031995803829	7.10282688836905	9.567054230863238	4.800371387110487	3.7587192910084775	5.63164572403227	4.193839684054123	1.7727316561818607	6.039538892034769	3.1638254530624	6.554399183281205
nonsense_mediated_decay#sense	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.03	0.04	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.01	0.0	0.01
non_stop_decay#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
scaRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
