name	SRX2742138	SRX2742139	SRX2742130	SRX2742131	SRX2742132	SRX2742133	SRX2742134	SRX2742135	SRX2742136	SRX2742137	SRX2742158	SRX2742159	SRX2742152	SRX2742153	SRX2742150	SRX2742151	SRX2742156	SRX2742157	SRX2742154	SRX2742155	SRX2742129	SRX2742128	SRX2742127	SRX2742126	SRX2742125	SRX2742124	SRX2742123	SRX2742122	SRX2742149	SRX2742148	SRX2742161	SRX2742160	SRX2742166	SRX2742165	SRX2742164	SRX2742141	SRX2742140	SRX2742143	SRX2742142	SRX2742145	SRX2742144	SRX2742147	SRX2742146	SRX2742163	SRX2742162
hsa-miR-186-5p	5783	4575	2075	1922	725	2443	1125	2478	2005	6029	10218	14705	3343	5362	8750	8016	8190	5647	12874	2907	0	0	0	0	0	0	0	0	3281	6390	7388	4413	4434	4622	6161	6379	2709	2127	3497	4062	2171	3325	1422	7631	10000	189184.0
hsa-miR-106b-3p	3892	2580	1040	1975	381	1799	941	812	2713	5373	5231	7082	3646	2896	5450	7874	4466	3591	6361	4104	0	0	0	0	2	0	0	0	4355	6173	6749	3359	5981	7369	8742	10354	3959	1414	3622	4413	1096	1883	1216	13591	7929	164414.0
hsa-miR-16-5p	3584	2180	931	1861	167	2827	1290	2756	563	5798	3211	4732	1567	1384	2916	3235	4228	3277	1404	1363	0	0	0	0	0	0	0	0	6946	9366	14105	2096	1195	5118	11318	6120	1053	959	7020	2998	1113	3233	1560	18885	7401	149761.69999999998
hsa-miR-93-5p	4667	1243	630	1560	280	1945	1394	1159	1938	5134	2654	3583	1960	931	7715	5428	6654	2031	2571	2453	0	0	0	0	0	0	0	0	3355	3594	9031	4166	3881	3598	19786	5989	2184	775	3438	4454	720	1544	2242	16479	5985	147151.0
hsa-miR-148a-3p	4393	2258	783	2161	284	1770	3183	3995	1278	6809	4501	6859	4888	1794	3588	3300	4148	3629	2539	1156	0	0	0	0	3	0	0	0	2839	4776	4200	2185	3559	7794	11245	4097	1164	608	5551	4145	1289	2550	1497	17022	7325	145158.5
hsa-miR-320a-3p	960	2513	960	1341	3334	2588	1963	877	1222	1905	3562	5120	7031	4271	3339	9617	1398	5264	16845	7150	0	0	0	0	0	0	0	0	2037	3041	7332	2858	3195	4836	2352	5237	4694	605	2454	4962	382	1063	272	7491	2331	136398.85
hsa-miR-192-5p	3083	2859	1495	1377	232	1586	751	2182	1006	3670	6205	8619	3231	4746	5559	5250	6302	5474	10449	1276	0	0	0	2	0	0	0	0	3809	7681	3302	2312	2739	5903	4001	4013	1129	2370	2264	2727	1022	2126	850	5857	8585	136040.5
hsa-miR-181a-5p	1648	1899	693	1295	1045	1223	1689	431	1612	3196	3090	4455	4239	1208	8971	5695	2922	2036	12108	8236	0	0	0	0	0	0	0	0	1537	2844	7971	4450	4160	3340	6574	7462	6246	626	1564	4030	517	505	1121	4542	3795	128974.5
hsa-miR-150-5p	1455	2541	892	1633	907	1716	468	807	1734	1973	2248	3084	2052	690	2586	4542	2308	7665	11709	6337	0	0	0	3	0	0	0	0	6409	5107	7400	2833	4132	4484	2942	5679	4627	1988	1700	2634	588	952	584	4670	2785	116864.0
hsa-miR-21-5p	2563	919	775	882	47	637	714	1495	540	3108	2723	4900	2837	1553	6173	4828	5143	2205	1921	1456	0	0	0	0	0	0	0	0	1902	4751	6368	2832	2028	2759	8743	1557	734	597	2435	3303	647	631	1611	7682	7725	101724.0
hsa-let-7b-5p	646	826	321	1216	729	757	1656	585	2582	1258	2908	3716	5026	1290	4673	8874	1410	3324	6768	5386	2	0	0	0	0	0	0	0	1074	2149	5186	4540	4724	2436	2834	2860	4873	473	1622	5335	203	227	481	5727	2084	100779.96999999999
hsa-miR-101-3p	3069	597	441	965	42	981	1238	1645	650	2820	3024	4667	1667	789	11123	5021	5296	4585	272	1446	0	0	0	0	0	0	0	0	525	2797	8211	2285	1511	1501	8263	533	1090	451	2148	3713	528	934	1215	7557	5078	98678.0
hsa-miR-151a-3p	1304	2219	889	968	489	1189	470	1147	889	2958	2052	3143	1308	5032	2999	3473	2920	2864	3231	1898	0	0	0	0	0	0	0	0	2740	3613	3364	2613	2663	3209	3025	6599	1354	1153	1306	2167	660	2111	522	6072	3082	87695.0
hsa-miR-128-3p	965	1747	581	887	131	744	249	855	2434	2073	3502	4435	1288	1684	1874	2926	2140	1215	9280	1292	0	0	0	0	0	0	0	0	2270	3300	1471	1070	4778	3364	2774	8665	1135	1368	980	1590	454	767	560	1714	4540	81102.0
hsa-miR-361-3p	1397	1484	516	1088	509	1577	533	495	622	2499	1769	2440	1059	2124	1751	2704	1999	1869	4984	2311	0	0	0	0	0	0	0	0	2838	2496	1899	1553	1369	2739	2636	4347	2067	954	1748	1759	497	1251	321	5672	1512	69388.0
hsa-miR-652-3p	1122	776	497	834	387	1098	693	498	845	1488	1307	1787	1611	775	1592	3747	1478	1784	3906	2669	0	0	0	0	0	0	0	0	2295	1392	4328	1787	1950	2103	3623	3889	1970	380	1396	1549	280	929	430	7025	1778	65998.0
hsa-miR-126-3p	1327	636	391	713	46	430	321	891	374	2574	1343	1879	1250	462	2773	2622	2892	1713	298	1401	0	0	0	0	0	0	0	0	2301	2595	4007	1054	1028	2288	8802	2578	990	552	1174	1423	155	567	1205	5135	4255	64445.0
hsa-miR-223-3p	1753	2432	377	782	130	1039	442	734	200	2731	3420	4932	528	1100	2527	1158	2305	2561	4318	1206	0	0	0	0	0	0	0	0	1675	2337	3341	1734	510	2381	1781	1997	851	583	1990	1690	1127	845	916	2184	2593	63210.0
hsa-miR-92b-3p	775	859	414	696	123	626	410	449	1236	1654	1595	2252	2302	2772	3333	3633	2521	1342	3702	1507	0	0	0	0	0	0	0	0	1565	3543	1607	850	2653	2059	2590	3264	1357	1040	861	1495	349	413	645	1706	2280	60477.340000000004
hsa-miR-148b-3p	2228	1322	485	605	89	921	538	656	448	2755	2503	3705	1138	1620	1831	1530	1618	1103	2856	810	0	0	0	0	0	0	0	0	1433	2146	2444	1719	1074	2906	3144	1961	849	357	1979	1063	764	781	433	3357	3693	58857.5
hsa-miR-100-5p	1705	781	718	1002	2	25	486	16	617	2179	138	312	1362	5202	2386	1974	2305	4758	348	888	0	0	0	0	0	0	0	0	100	2643	3995	3204	1493	1282	182	2656	596	3865	23	30	717	20	570	5038	2331	55944.5
hsa-miR-15b-5p	1204	1157	363	573	47	452	245	414	799	1961	1690	2263	1271	1020	1320	1389	1755	1200	1310	1179	0	0	0	0	0	0	0	0	1965	3147	4439	721	1709	1741	3273	4378	1195	640	1378	1167	428	382	635	2217	3851	54878.0
hsa-miR-378a-3p	799	582	219	642	692	567	694	403	1002	1279	1216	1743	930	720	1485	2472	1322	1383	4054	3259	0	0	0	0	0	0	0	0	945	1184	3660	1461	2781	1644	2689	3324	1831	250	952	1488	279	536	309	3047	1370	53211.5
hsa-miR-30e-5p	1148	563	385	504	35	524	446	962	517	1536	1630	2169	973	489	3019	3072	2151	1182	1529	367	0	0	0	0	0	0	0	0	987	1816	1729	684	914	2105	4767	1105	403	321	1031	907	231	591	549	4432	3232	48995.0
hsa-miR-532-5p	1124	630	276	654	119	699	415	381	782	1748	1334	1831	974	562	1443	1659	1498	1006	2402	1046	0	0	0	0	0	0	0	0	1520	1238	1955	1302	1927	1743	3031	2979	867	287	931	1088	252	625	337	4030	1841	46536.0
hsa-miR-17-5p	1534	493	261	405	41	571	552	615	409	1922	907	1302	732	267	2161	1655	2315	554	551	459	0	0	0	0	0	0	0	0	1063	1571	2345	902	837	1261	6076	1590	381	239	1299	1565	341	489	778	4689	2428	45555.36999999999
hsa-miR-144-5p	1501	542	134	585	27	230	394	968	415	1522	1078	1501	1584	124	3818	1315	3817	850	25	784	0	0	0	0	0	0	0	0	451	1348	3519	266	741	547	4270	518	744	170	1783	1657	332	374	830	1194	5258	45216.0
hsa-miR-16-2-3p	334	599	102	900	941	563	211	286	1541	643	1142	1425	1145	65	3668	2955	1887	1144	5352	2656	0	0	0	0	0	0	0	0	559	377	434	592	2102	661	578	1421	2403	149	202	1344	63	163	350	325	871	40153.0
hsa-let-7d-5p	439	616	257	389	87	353	160	320	878	1437	738	933	883	568	877	1927	782	679	1614	832	0	0	0	0	0	0	0	0	2376	1674	1244	677	1354	2021	1729	4003	594	236	772	1154	93	242	327	3498	1480	38240.15000000001
hsa-miR-30b-5p	721	1648	243	491	136	956	392	1032	238	922	1670	2178	540	712	777	942	866	1616	2966	388	0	0	0	0	0	0	0	0	1274	1199	1331	556	394	1529	675	999	358	466	1422	327	371	1083	133	2555	1230	35335.34
hsa-miR-20a-5p	762	164	71	184	28	191	223	452	124	1190	391	615	298	154	2506	1346	2361	282	185	190	0	0	0	0	0	0	0	0	824	1551	1309	812	245	701	8587	334	165	183	650	1079	143	184	898	3833	1368	34578.369999999995
hsa-miR-941	734	795	257	183	107	855	471	295	438	1421	1003	1496	346	840	1179	1608	996	785	1091	874	0	0	0	0	0	0	0	0	1039	1248	1306	791	1036	1140	1660	2059	778	290	1024	866	184	368	208	2348	897	33015.86999999999
hsa-miR-328-3p	329	458	211	316	237	202	213	292	895	565	997	1242	1263	1302	1834	2282	1345	1116	2988	1251	0	0	0	0	0	0	0	0	547	1334	757	635	1554	851	1142	1832	937	530	306	843	115	207	307	434	998	32667.0
hsa-miR-7-5p	705	584	165	283	57	424	531	379	276	1200	800	1114	476	846	1612	990	1217	1065	665	284	0	0	0	0	0	0	0	0	480	1665	1701	986	689	843	1770	694	273	293	1461	1116	318	279	189	3575	1962	31967.000000000004
hsa-miR-26b-5p	577	437	192	427	21	260	121	507	478	1232	619	782	678	618	947	815	993	657	262	392	0	0	0	0	0	0	0	0	1234	2068	1762	705	813	916	3129	1543	468	293	1073	674	264	385	542	2821	1691	31396.0
hsa-miR-18a-3p	279	503	136	356	123	266	180	257	990	717	865	1125	454	499	1181	1592	1100	674	2644	665	0	0	0	0	0	0	0	0	644	1293	701	288	1811	1199	1165	2207	456	377	273	889	158	242	243	490	912	27952.5
hsa-miR-183-5p	638	588	123	223	9	403	231	305	413	1109	511	752	450	426	803	916	678	225	275	818	0	0	0	0	0	0	0	0	929	1558	2028	491	1065	1259	1241	2208	628	247	921	263	185	387	139	2979	1019	27443.0
hsa-miR-1307-3p	278	175	105	256	139	200	169	94	1024	679	615	909	805	464	1170	1461	562	452	2868	1303	0	0	0	0	0	0	0	0	289	482	911	371	2691	1040	1786	1558	936	179	343	731	105	193	296	646	844	27129.0
hsa-miR-3158-3p	244	340	142	266	167	471	419	469	124	448	474	708	414	1124	735	1388	675	835	1506	1185	0	0	0	0	0	0	0	0	950	1146	1181	731	517	911	885	1558	619	154	547	618	92	363	162	3900	362	26830.0
hsa-miR-532-3p	191	541	276	425	289	688	269	234	274	578	382	494	456	787	508	1158	423	786	4634	886	0	0	0	0	0	0	0	0	604	636	991	502	650	876	843	1918	772	213	727	731	93	399	139	1357	300	26030.0
hsa-miR-30e-3p	854	550	204	222	32	316	134	285	189	960	1420	2223	351	986	797	647	668	498	459	398	0	0	0	0	0	0	0	0	688	1176	1270	412	507	571	995	1239	326	297	509	555	419	576	170	1926	1767	25586.0
hsa-miR-24-3p	288	425	143	390	67	221	206	341	368	638	927	1394	706	391	888	1098	782	730	1734	905	0	0	0	0	0	0	0	0	700	830	1593	620	898	794	1047	1634	585	138	412	481	144	152	235	1045	1449	25399.0
hsa-miR-1180-3p	201	370	173	320	163	331	299	264	660	490	594	828	1163	773	1037	2021	646	605	1938	1026	0	0	0	0	0	0	0	0	465	818	710	620	1581	733	798	1586	806	198	321	797	90	203	154	561	691	25034.0
hsa-miR-197-3p	177	389	84	276	163	490	530	566	234	360	579	864	430	1471	953	880	936	1666	1675	839	0	0	0	0	0	0	0	0	458	1143	861	662	817	1101	334	912	367	250	344	619	91	216	186	590	300	22813.0
hsa-miR-194-5p	310	326	224	196	11	277	178	305	167	570	716	1089	385	492	1209	914	833	524	1466	249	0	0	0	0	0	0	0	0	616	1399	1203	303	369	795	1229	769	182	294	608	564	111	380	326	951	1413	21953.0
hsa-miR-4732-3p	116	219	69	180	150	121	142	123	677	237	364	545	697	812	1434	1776	829	495	1937	891	0	0	0	0	0	0	0	0	312	786	444	362	1174	589	597	1114	561	212	196	553	60	102	245	299	576	19996.0
hsa-miR-1260b	239	387	66	183	241	637	504	282	168	268	228	368	385	1393	226	593	781	782	1554	355	0	0	0	0	0	0	0	0	778	785	639	302	413	1648	508	1218	233	74	613	500	89	540	135	1630	235	19969.0
hsa-let-7d-3p	203	268	148	219	83	185	190	234	560	389	679	869	1056	1020	785	1048	677	542	1227	561	0	0	0	0	0	0	0	0	393	1246	596	296	938	641	581	1076	500	360	284	423	120	73	208	412	813	19903.0
hsa-miR-5010-3p	196	256	136	293	199	366	169	252	242	450	244	370	332	640	423	1344	373	440	1610	952	0	0	0	0	0	0	0	0	497	582	534	352	560	608	1109	1585	839	257	371	473	73	231	117	800	230	18505.0
hsa-miR-19b-3p	304	367	126	215	13	217	150	397	137	339	1246	1752	749	287	1083	678	522	794	1278	395	0	0	0	0	0	0	0	0	179	645	945	141	302	543	695	118	267	236	319	356	175	202	116	538	1627	18453.34
hsa-miR-1260a	201	321	59	157	211	573	453	231	152	240	208	342	361	1323	229	540	769	703	1385	336	0	0	0	0	0	0	0	0	649	745	609	283	414	1416	478	1126	188	60	568	481	84	487	125	1417	229	18142.0
hsa-miR-23a-3p	266	578	97	330	73	346	222	166	141	465	771	1031	153	485	220	474	359	634	1060	520	0	0	0	0	0	0	0	0	685	786	1433	422	323	966	308	980	380	143	611	390	125	259	111	1035	562	17900.0
hsa-miR-125b-5p	196	283	178	467	28	51	207	46	260	689	77	113	310	1062	880	997	802	1054	460	557	0	0	0	0	0	0	0	0	246	929	1047	596	625	426	243	1538	368	961	105	78	115	47	188	866	579	17674.0
hsa-miR-15b-3p	466	330	68	366	102	304	166	267	395	592	759	1053	206	128	884	723	797	574	549	480	0	0	0	0	0	0	0	0	385	415	777	265	707	381	551	950	493	209	297	574	177	239	171	811	864	17475.0
hsa-miR-342-3p	396	624	116	239	147	505	181	337	103	494	560	760	206	242	487	446	359	595	1118	387	0	0	0	0	0	0	0	0	1280	786	962	397	277	698	344	723	290	250	425	302	111	489	112	1342	380	17470.0
hsa-miR-107	256	214	103	198	86	197	96	148	286	373	508	660	451	99	898	1153	548	415	858	328	0	0	0	0	0	0	0	0	621	482	989	294	545	606	929	920	288	101	367	305	63	73	242	869	1130	16701.64
hsa-miR-144-3p	284	49	11	194	2	25	71	695	132	397	221	296	254	41	2768	970	815	329	4	133	0	0	0	0	0	0	0	0	231	745	401	80	219	325	2845	55	183	73	171	220	44	38	218	589	1833	15961.0
hsa-miR-99a-5p	506	570	98	154	22	81	52	272	147	1244	298	427	236	226	462	565	1411	483	1012	360	0	0	0	0	0	0	0	0	677	738	492	326	339	373	579	477	328	179	160	137	310	154	83	371	1361	15705.5
hsa-miR-629-5p	207	119	75	282	85	131	120	85	276	274	584	727	405	253	843	977	420	450	761	756	0	0	0	0	0	0	0	0	165	369	731	467	732	394	805	668	646	106	225	598	94	92	90	692	616	15320.0
hsa-miR-942-5p	403	194	68	173	74	106	46	50	424	486	671	816	242	199	985	531	429	271	1341	638	0	0	0	0	0	0	0	0	161	592	592	467	869	306	437	1086	530	144	111	489	138	95	101	164	583	15012.0
hsa-miR-181a-2-3p	419	244	141	254	57	250	84	101	140	497	550	775	203	447	534	581	508	364	1208	467	0	0	0	0	0	0	0	0	391	548	586	235	368	474	410	855	427	222	365	265	116	294	110	796	484	14770.0
hsa-miR-93-3p	246	249	57	153	84	181	89	115	329	373	422	619	157	275	610	578	505	352	1293	684	0	0	0	0	0	0	0	0	364	549	562	205	618	457	640	1062	499	176	164	599	78	193	87	498	365	14487.0
hsa-miR-106b-5p	339	183	75	162	12	263	209	327	123	463	424	598	326	119	830	801	672	331	225	153	0	0	0	0	0	0	0	0	234	557	911	288	269	412	1234	298	85	62	386	449	66	172	169	1412	843	14482.0
hsa-miR-576-5p	258	427	116	156	44	291	91	367	120	458	606	758	134	252	425	517	624	655	1090	147	0	0	0	0	0	0	0	0	516	666	342	199	296	448	258	802	113	180	309	248	83	316	83	652	569	13616.0
hsa-miR-339-5p	114	304	76	85	58	180	82	102	199	262	417	528	159	475	548	561	694	198	1490	562	0	0	0	0	0	0	0	0	214	969	328	180	356	437	591	1094	460	139	160	588	104	137	131	300	314	13596.0
hsa-miR-501-3p	119	256	97	175	71	245	118	119	337	251	274	330	456	326	263	582	310	316	877	265	0	0	0	0	0	0	0	0	681	403	472	233	775	665	472	846	222	80	225	282	49	139	86	772	385	12571.85
hsa-miR-146a-5p	485	191	55	70	51	151	55	61	119	394	618	911	252	145	294	234	302	452	595	426	0	0	0	0	0	0	0	0	377	276	824	445	210	353	228	557	382	97	183	159	115	160	62	1052	684	12022.5
hsa-miR-744-5p	101	260	58	180	62	110	85	92	267	243	267	413	383	433	341	742	299	413	975	340	0	0	0	0	0	0	0	0	388	621	325	180	631	928	377	778	175	105	162	337	30	75	92	420	250	11938.0
hsa-miR-27a-3p	178	111	61	123	15	101	166	198	169	296	466	656	263	137	550	689	493	196	438	143	0	0	0	0	0	0	0	0	261	468	408	242	358	458	1170	586	94	26	181	309	59	72	195	681	914	11926.68
hsa-miR-130b-5p	166	260	70	132	49	97	84	82	363	319	492	578	198	241	512	426	493	208	1062	253	0	0	0	0	0	0	0	0	247	550	229	205	614	355	380	968	284	223	143	309	52	90	104	266	451	11555.0
hsa-miR-574-3p	153	237	51	117	70	810	393	285	61	411	216	354	114	198	242	407	277	340	753	158	0	0	0	0	0	0	0	0	497	501	225	108	210	1042	203	533	95	114	277	308	23	535	77	802	113	11310.0
hsa-miR-374b-5p	352	189	64	93	0	154	52	147	95	460	397	487	187	171	423	198	350	261	134	87	0	0	0	0	0	0	0	0	399	699	865	97	125	353	962	350	80	98	380	212	138	183	129	888	855	11114.0
hsa-miR-331-3p	143	146	58	154	55	208	89	123	58	292	338	541	177	221	256	483	251	504	1458	398	0	0	0	0	0	0	0	0	382	215	669	300	169	639	378	505	268	53	134	124	43	210	31	592	196	10861.0
hsa-miR-125a-5p	155	181	69	83	62	152	57	67	142	317	333	422	118	133	458	500	235	429	797	399	0	0	0	0	0	0	0	0	597	909	195	318	273	426	310	749	303	279	186	219	42	60	97	146	502	10720.0
hsa-miR-221-3p	183	129	45	160	38	101	87	61	224	232	280	346	211	58	346	636	195	205	565	445	0	0	0	0	0	0	0	0	185	188	759	334	373	320	561	790	410	38	299	230	28	52	57	698	417	10286.0
hsa-miR-27b-3p	148	93	58	103	15	69	61	118	81	256	347	525	219	191	364	319	425	178	262	125	0	0	0	0	0	0	0	0	285	536	530	252	315	458	872	466	74	72	256	313	65	107	133	594	720	10000.68
hsa-miR-20b-5p	232	101	38	70	7	90	74	85	103	470	186	275	129	58	555	253	571	105	165	73	0	0	0	0	0	0	0	0	215	413	496	220	229	300	1788	246	61	51	202	275	50	92	256	877	554	9961.86
hsa-miR-199a-5p	230	302	96	100	32	155	37	95	66	307	624	940	112	192	183	330	176	138	1216	138	0	0	0	0	0	0	0	0	351	325	314	114	149	858	209	385	69	150	108	129	74	112	75	440	576	9908.36
hsa-miR-324-3p	110	142	56	77	88	131	75	50	200	157	211	288	247	101	290	566	192	309	1021	566	0	0	0	0	0	0	0	0	207	170	609	243	450	399	386	629	439	73	161	149	23	101	69	501	254	9740.0
hsa-miR-7976	146	196	48	124	69	120	56	89	117	245	288	476	82	233	313	478	284	125	905	333	0	0	0	0	0	0	0	0	340	424	339	172	337	407	286	971	213	148	138	235	79	118	41	399	314	9688.0
hsa-miR-4326	270	293	0	135	47	0	49	63	310	481	396	512	145	412	2	0	459	253	531	316	0	0	0	0	0	0	0	0	321	2	0	271	751	2	533	809	262	61	0	157	46	86	38	293	320	8626.0
hsa-miR-2110	45	66	75	91	86	88	98	45	139	153	142	239	392	468	438	877	165	336	684	416	0	0	0	0	0	0	0	0	175	294	231	127	442	237	161	314	236	56	115	310	19	39	42	308	160	8309.0
hsa-miR-584-5p	111	97	22	140	25	158	150	97	103	247	88	160	170	124	397	504	304	145	172	150	0	0	0	0	0	0	0	0	247	321	276	170	324	240	653	580	107	12	262	177	16	72	40	1191	251	8303.0
