name	SRX3848837	SRX3848836	SRX3848835	SRX3848834	SRX3848833	SRX3848832	SRX3848831	SRX3848830	SRX3848839	SRX3848838	SRX3848843	SRX3848840	SRX3848841	SRX3848846	SRX3848847	SRX3848844	SRX3848845	SRX3848848	SRX3848849	SRX3848792	SRX3848793	SRX3848790	SRX3848791	SRX3848796	SRX3848797	SRX3848794	SRX3848795	SRX3848798	SRX3848799	SRX3848851	SRX3848850	SRX3848853	SRX3848852	SRX3848855	SRX3848854	SRX3848857	SRX3848856	SRX3848859	SRX3848858	SRX3848781	SRX3848780	SRX3848783	SRX3848782	SRX3848785	SRX3848784	SRX3848787	SRX3848786	SRX3848789	SRX3848788	SRX3848864	SRX3848865	SRX3848866	SRX3848867	SRX3848860	SRX3848861	SRX3848862	SRX3848863	SRX3848868	SRX3848869	SRX3848883	SRX3848880	SRX3848881	SRX3848879	SRX3848878	SRX3848873	SRX3848872	SRX3848871	SRX3848870	SRX3848877	SRX3848876	SRX3848875	SRX3848874	SRX3848808	SRX3848809	SRX3848806	SRX3848807	SRX3848804	SRX3848805	SRX3848803	SRX3848800	SRX3848801	SRX3848819	SRX3848818	SRX3848815	SRX3848814	SRX3848817	SRX3848816	SRX3848811	SRX3848810	SRX3848813	SRX3848812	SRX3848820	SRX3848821	SRX3848822	SRX3848823	SRX3848824	SRX3848825	SRX3848826	SRX3848827	SRX3848828	SRX3848829
hsa-miR-423-5p	123192	55132	15102	21087	32833	23688	220742	181939	39048	19353	5244	46964	8407	386	2831	560	493	377	213	691	2687	1191	585	5211	436	3953	389	1432	2160	3039	473	223	135	25342	1590	18425	15470	29774	17808	7289	42414	190596	72978	9625	189641	64280	95207	120742	88104	6296	735	3773	5205	3103	13003	16160	4417	9178	540	59379	50907	12778	3504	56747	27275	3614	3290	5001	65424	41254	45078	43649	98470	63110	273347	37968	49110	39523	504	70782	257293	282499	33512	21719	950	122409	202493	91899	1842	106	210523	310833	23517	593	58496	3763	134152	3561	31206	258875	6711	4979557.0
hsa-miR-99a-5p	451439	198457	112818	71385	76802	70029	9499	22657	134027	167417	16363	238010	25631	1666	6203	2735	2875	1153	1873	100536	155567	91322	9841	328621	27548	312850	30559	7939	8660	3887	1658	1660	912	42992	7211	43284	22565	42159	22004	3715	8643	29232	17793	2901	53777	9528	14947	36558	19678	1746	1731	11158	10031	2369	12238	24538	944	19129	2283	178789	152642	35502	7801	185007	80744	8931	8376	16377	266163	126012	97546	125381	15623	21276	32526	6735	13014	8661	1987	25890	11820	23875	4774	2664	5959	26885	33561	7114	9808	2506	4634	24034	2875	1535	23689	8268	22020	21091	7129	55838	20290	4891081.529999999
hsa-miR-151a-5p	112304	53786	21723	15576	19493	28790	224036	418525	32307	18299	2202	54593	7530	319	681	492	490	169	351	805	1937	877	150	4647	457	5589	474	1092	1106	385	308	291	191	18766	994	11892	3735	16102	10250	6362	75316	110407	108260	11596	38989	53428	77192	261637	20367	325	164	614	2540	884	1530	5945	121	1337	215	13273	12093	1195	678	16043	5753	547	675	2361	21503	12585	6551	5247	24281	230330	144766	12255	8448	9478	356	33151	232327	166144	11235	6959	973	54146	76406	12295	1205	281	76519	268840	27202	173	15586	1970	400623	2978	15300	815405	4207	4621267.85
hsa-miR-30d-5p	73502	61608	7898	8858	11703	17244	134281	252790	23082	18776	1427	74975	4988	109	242	186	147	55	99	1414	5329	1415	196	11211	479	6745	497	3365	2722	165	110	78	41	32776	492	36707	9200	31480	14708	5027	83835	168099	116648	10322	154216	53537	96851	151792	73934	923	189	3425	4423	2972	3751	19196	250	4384	626	63415	38947	8741	4937	25821	25104	3790	1626	4565	42492	44094	34185	28364	48795	232055	126899	12667	19195	17219	1758	53664	158249	126834	7641	6671	7293	55651	84918	9250	7334	546	19497	174317	39054	1065	36404	6202	325216	11224	30217	540333	6827	4298557.5
hsa-miR-126-3p	526	363	109	45	198	891	98351	381860	605	4677	162	456	22	101	80	188	142	48	104	102	34	9	12	239	13	104	13	43	89	93	89	88	52	342	250	373	62	353	426	8401	98775	127793	170998	17288	48635	78702	83137	518327	32033	23	17	46	2326	55	151	181	14	67	34	1373	3145	538	237	11242	2978	69	54	1341	10110	2145	1465	3067	19114	330572	74129	9037	9752	6901	19	30561	116058	84829	3080	4027	47	37365	76892	3883	51	23	8836	104783	61873	9	18452	494	431079	98	20711	881324	225	4050705.0
hsa-miR-25-3p	39421	12560	4249	3905	5007	8456	65732	147112	9867	14645	456	27107	878	57	98	140	77	40	71	968	3293	1589	349	5515	503	3986	491	227	230	105	73	43	31	7664	211	4482	1919	6515	3939	13797	59775	200485	101283	8570	325688	85222	158555	109091	268640	143	34	339	2433	395	1128	2417	141	737	93	27042	47227	8527	1349	279258	26901	242	242	1366	131041	31826	38194	42346	94052	110236	162473	21921	49526	25638	125	54671	78206	152062	20016	4846	278	61224	106494	15311	427	63	20702	141419	29976	50	32780	2506	234972	674	19488	238875	929	4036477.67
hsa-miR-425-5p	68277	29394	12386	8915	14632	20301	145449	221335	23092	23277	437	46184	2829	83	124	153	125	55	89	321	467	351	149	1592	295	2880	67	399	313	357	79	75	39	11676	273	8776	3679	11518	8168	7028	50203	139913	97793	9927	122247	55650	79619	256089	54934	1064	66	215	2054	880	1693	4926	269	501	81	10970	14520	2245	1348	37503	10729	230	186	1163	21941	10129	13292	7211	43198	189148	148931	17361	28148	12947	146	43002	182865	173818	9853	7417	340	81814	112237	25044	647	95	56587	200594	27664	156	23262	1536	294016	1156	27121	366148	1034	3761515.0
hsa-miR-320a-3p	60726	16079	6187	8422	13954	9427	96161	140388	20982	10381	7512	37138	1832	287	4247	718	348	544	161	2704	7934	4543	6070	18226	1429	10296	775	573	461	2193	297	119	100	81049	2198	29137	22225	45781	46953	8537	37082	119434	62754	9496	162757	39063	62924	134304	110442	10760	178	1362	2739	2661	21190	21878	10222	3734	753	53883	69318	12611	2724	55173	24912	1725	870	2332	86615	42390	60551	75418	27711	98055	89302	29264	40009	11736	202	43566	97715	76753	22887	23419	628	54809	67021	77100	1037	139	80502	118779	23022	459	37161	1160	275860	1345	15710	312043	969	3657712.24
hsa-miR-22-3p	64375	30527	14075	9286	25882	11282	45047	163519	22420	12779	18869	55604	1668	997	14736	1052	713	1839	382	5262	11101	4287	2048	43525	13576	19754	6048	579	985	6613	1273	439	222	2404	4146	2730	2162	2371	2363	8405	34149	111335	72891	6604	83716	42519	70671	270415	91606	940	330	1496	2741	946	4226	1737	833	1478	523	57766	62016	31900	3587	86543	23074	2066	572	2133	124665	58462	44323	96344	70968	144582	81380	35279	32078	30618	296	54306	56123	77160	6602	19659	324	38319	73765	47358	844	435	36417	67251	23462	377	121379	2590	186896	3326	13700	334161	5210	3592817.0
hsa-let-7i-5p	56864	20789	7498	2637	10607	9309	130152	310615	22037	3227	1091	38042	1629	81	114	137	134	73	79	282	660	286	108	1853	137	1899	76	318	339	268	81	78	47	3540	273	2380	630	2074	1794	5299	63494	101835	83464	11379	53841	57532	62062	254973	55854	155	78	1012	2561	254	514	1576	28	2622	217	8533	14688	1725	796	47564	10379	1164	1002	2437	32782	11545	8412	7552	17278	279393	91592	9696	15899	6925	186	18651	159573	63033	4272	3807	379	34986	51124	5288	593	90	25205	124293	38272	129	20301	2697	398550	916	10824	628245	1275	3553024.0
hsa-let-7f-5p	55490	37981	22067	7745	22987	49134	173460	299664	78494	13547	2546	87047	5147	203	391	301	303	103	230	983	3460	495	133	9310	554	5533	476	636	933	287	203	179	109	3043	576	3746	1466	2704	1284	1725	66161	83236	82066	5878	18387	37647	56225	161857	8824	93	239	1590	2334	847	650	2919	47	3344	749	20905	9592	1905	1428	13215	11025	1707	1334	2987	14740	24727	7647	8203	24154	285142	81847	6630	6476	8328	642	21870	183875	66665	3378	2737	1183	32690	57423	2338	964	229	12176	128039	30047	142	23907	4009	267923	2711	7443	551118	2280	3363549.639999999
hsa-miR-142-3p	3390	2209	3113	1365	2178	4106	53158	374156	18289	1185	233	20506	252	50	46	147	76	27	64	47	28	0	21	56	11	18	13	36	26	65	58	44	28	195	114	297	19	244	305	11106	105102	84509	105651	11753	31291	211612	111178	312465	31766	29	44	179	2401	42	156	211	9	642	228	406	430	87	162	2568	1519	207	195	1694	1574	506	154	711	9776	312160	60001	5481	7113	4562	11	11423	65907	63928	1783	5099	30	25840	44540	2810	16	19	1256	98477	78674	4	14759	689	244027	37	18041	748035	138	3341398.0
hsa-miR-143-3p	14804	8058	2933	1846	3913	35052	18493	184962	8591	40695	156	5785	457	62	71	121	114	43	59	174	291	22	57	629	45	84	33	387	273	101	63	69	24	233	195	336	425	333	440	16267	17792	56256	36373	6334	236740	34717	22210	124222	598394	29	1481	9394	9329	272	909	795	110	21082	442	67950	91191	8777	1811	241564	67358	11116	12662	19928	409247	71631	35138	93283	10971	87211	29514	5187	15020	12895	187	14889	14372	38237	9707	1618	264	24753	26281	3244	226	178	12246	34233	5515	52	11005	2564	78567	532	8368	212717	2196	3317982.0
hsa-let-7a-5p	63834	40930	21890	8244	18591	38645	191225	227654	66513	11271	3234	88965	5662	174	494	265	287	96	170	1198	8475	1046	138	19255	784	11558	482	1031	2004	342	182	151	92	3833	636	5096	1388	3525	1863	1749	59232	112940	98918	5534	36947	28630	66817	147105	16377	151	264	3169	2845	930	939	3433	83	6532	1618	28073	7847	1959	2382	18838	7091	3890	2686	4820	14586	25896	5360	6490	32847	161452	104257	8416	8513	9345	1309	27510	221475	72271	3630	3203	2819	34981	76005	3307	2180	282	14179	131135	30842	280	27466	6273	187189	5286	9016	410851	3278	3174950.86
hsa-miR-191-5p	23956	15149	8876	4513	6480	8401	119251	228787	21503	9665	1288	49211	1681	232	319	342	374	111	239	1715	2618	662	362	9050	1299	5954	861	339	539	312	240	194	123	1796	719	3962	2445	3466	2919	3406	62772	130550	116872	7491	63285	43475	46815	281997	19066	412	121	508	1865	947	2983	2360	286	1197	236	13366	5254	880	694	12291	2638	724	491	1433	11116	5612	6227	4314	33647	168146	59751	28351	36432	22164	202	68126	111284	62255	7634	10303	254	22485	65124	17773	419	81	9476	88112	28840	98	41579	1361	239086	2025	16042	395243	1367	2929297.0
hsa-miR-199a-3p	1227	513	179	104	271	1503	84774	269600	739	8848	132	709	28	63	53	142	106	37	76	88	57	11	24	267	13	35	11	71	59	57	65	67	36	408	168	346	519	390	338	3270	31408	51056	27653	5641	20971	32102	40553	78050	51007	67	93	1001	3042	120	261	890	27	3853	130	27779	25743	3561	1090	46980	22506	1374	1677	2884	119373	20297	12986	18769	10192	207480	61295	6237	6285	6087	33	17208	71629	65420	5504	2946	63	26904	31308	4569	42	39	28095	80179	21905	9	11575	521	489314	99	7978	710602	296	2902157.98
hsa-miR-221-3p	11936	3634	901	846	1159	2410	58877	162260	2524	10243	334	7327	179	40	61	82	70	18	44	1091	3324	651	284	8742	1142	2924	161	231	179	87	34	23	11	17798	176	13713	3304	12320	12830	5222	83239	95426	84202	7234	53930	61317	73295	153565	50901	958	47	866	2172	1262	4522	6308	496	1901	103	17947	14014	3165	998	37274	13228	824	407	1600	66721	14399	8431	19562	10011	188077	28943	8940	8109	4538	257	23879	81539	38692	3480	4643	426	15912	20743	14125	328	320	14810	46106	30048	150	10916	1217	380186	1343	11114	462766	1146	2640270.0
hsa-miR-423-3p	52632	21327	6258	9344	12299	13404	160297	160759	21302	4978	1151	42154	2607	198	436	256	249	89	146	1459	3381	2057	901	5183	522	3475	584	717	677	615	184	158	65	11135	682	8779	4265	9343	6634	3296	34831	106475	60252	6264	76028	28749	62372	116434	26574	842	107	370	1799	879	2310	4515	662	632	121	16429	16510	5815	1356	7822	10463	267	251	1052	21483	14785	14902	14807	25806	81507	78875	14311	13451	10308	268	34567	171476	111475	11626	12017	627	48413	50893	30312	1321	85	47304	159684	17670	143	12547	1093	151894	2959	15096	273887	2761	2612532.0
hsa-miR-222-3p	42679	15183	2501	4019	4806	5562	100083	134713	5348	19206	1487	14537	793	62	135	126	125	52	70	703	4028	1018	516	7230	564	2877	274	885	869	261	66	58	42	61832	464	47817	6176	36875	25517	3323	33899	58611	54540	4091	40703	24903	40291	70820	39691	936	99	880	1823	3971	7830	18338	390	1598	257	35366	25079	4403	1804	62751	19706	575	427	1395	128684	27004	13695	16848	22868	161301	53576	8349	11774	9970	550	31280	131683	62294	6402	4764	1350	37022	36366	14407	960	405	16761	76984	12923	218	14160	3805	231206	3260	10576	273046	3924	2536474.0
hsa-let-7b-5p	135657	54341	26761	13724	31902	42594	89238	108259	72088	19020	5651	113703	8434	233	3250	217	250	221	141	3227	13804	3788	563	31933	2408	16473	665	755	1931	2939	273	90	73	2866	1202	4290	1779	2448	1262	678	1503	7558	3269	722	22632	3184	4641	4527	12838	395	610	5064	5259	729	2502	4602	270	13681	953	64411	48063	8318	4579	63603	24239	6239	5531	7897	76284	43690	35161	27676	89271	62924	117879	25136	28590	18163	845	40629	106224	58007	6888	5568	1214	36428	76434	11481	1255	296	12378	98946	29440	555	36372	9113	122461	2372	10345	169472	4612	2513057.6499999994
hsa-miR-29a-3p	77424	39565	21028	14202	18694	30769	10726	87960	73813	9880	1783	104031	5924	70	130	101	93	38	59	1279	4908	1450	122	8786	840	5604	1306	244	414	163	75	43	29	325	258	497	245	456	445	1648	16091	18558	12080	1457	15767	37212	18062	25774	29049	26	206	2827	3776	124	619	397	70	3548	556	44666	73767	17675	3109	80086	50407	3253	1448	4871	122870	46897	48147	62154	25693	171105	38299	5796	19057	13440	227	24357	12243	19233	2772	1918	556	23022	42808	2018	570	204	1374	31767	11478	128	31675	3213	292232	914	10988	241472	1413	2300942.3699999996
hsa-miR-148a-3p	119439	26609	15594	9189	13636	19581	29687	72266	29488	29996	1161	59328	5076	101	230	205	215	68	133	21846	54931	31132	3692	101917	5973	102743	13904	680	2095	204	129	100	41	4019	498	2523	1810	3373	2193	5378	11701	18673	17829	2235	21111	46903	27296	65058	47537	95	184	859	1374	433	1988	2237	110	2429	404	41645	40896	7936	1625	64437	42802	1017	1028	1845	77431	56233	23641	35174	29370	84940	47547	6901	15086	11052	410	21842	27988	28971	5923	2374	535	29189	42765	2913	686	293	10103	47882	9059	129	14871	3129	115506	3124	10048	175409	4357	2207738.17
hsa-miR-181a-5p	66235	25964	17112	12972	16795	23261	50546	139332	34227	21609	2754	65781	4531	172	740	273	274	239	189	326	971	330	111	2322	261	505	64	766	658	736	142	137	59	23959	787	27075	7765	17281	13662	4691	26473	60845	32219	5145	78100	27338	67307	134468	29807	2006	222	1987	2637	2415	6630	14363	988	3628	288	16416	3276	948	998	14606	4101	1229	1090	2720	11275	10980	2290	3551	20470	130503	54960	11268	18459	9849	354	23122	52478	54572	6337	4427	611	37956	45391	9818	909	351	5178	81707	11555	269	16960	2726	204817	1902	9411	227200	2828	2202344.5
hsa-miR-101-3p	38112	17020	6416	3317	8213	14539	35392	166692	29754	11090	1017	26943	2691	56	103	89	87	45	45	3035	6982	1827	483	16111	812	10642	1551	125	129	83	52	37	24	1078	144	926	542	782	731	6477	26523	29311	25949	2529	35520	42857	45046	38058	61098	25	188	1620	2450	226	390	820	21	4139	332	12351	11490	2187	781	110166	13721	2002	1571	3272	46534	16377	6332	12859	49517	151729	149294	4362	10540	10039	181	11406	40452	75974	4803	1831	230	29626	71424	1962	205	80	3976	111165	20061	49	19004	3287	182162	493	5668	259207	756	2190422.0
hsa-miR-140-3p	55986	20331	5926	5124	10838	14068	47737	90438	21143	10333	342	35295	1166	71	66	99	93	31	68	643	1901	812	143	3693	189	2437	175	347	258	98	71	63	28	2091	208	1244	742	1269	1488	5239	23394	55135	31806	5202	98326	40888	46114	49489	79095	95	66	857	1411	162	570	698	86	1043	285	13290	16550	3743	813	68736	12981	770	473	1338	51322	21133	13083	18713	45184	91755	80461	13016	26108	17539	145	35443	54819	86098	14708	3935	347	41442	66497	11401	371	175	16671	88690	12667	69	15457	1881	186392	595	11757	166730	1149	2091463.0
hsa-miR-150-5p	71855	7678	3196	4992	5954	2300	2555	77855	5390	4341	41	13460	948	4	0	20	0	2	0	0	6	0	3	21	2	12	0	18	12	4	2	0	0	328	5	311	48	489	399	2087	17179	41083	30463	1509	45064	37090	49555	49669	26668	9	11	363	2615	31	142	83	4	1576	289	469	706	116	117	2124	316	318	298	1593	2876	350	301	381	9761	426159	21903	2325	12494	1802	12	5334	3963	16771	1596	724	9	10034	25587	793	7	6	942	12288	4761	0	3237	91	793325	24	5279	183278	42	2060253.0
hsa-miR-142-5p	14029	7547	2742	1158	2544	3638	38015	185305	13409	2354	358	13905	454	48	45	118	94	23	39	62	55	4	16	126	10	21	7	33	54	59	55	62	35	160	151	159	34	169	171	4989	39098	38464	46495	3974	21066	112745	43387	114268	38921	3	51	650	1646	34	209	113	8	1208	180	1131	1555	340	187	34877	7673	475	248	1359	10024	3341	703	1787	24164	181449	68270	8031	21465	15663	24	33557	40056	49444	4111	3552	28	21766	65296	4560	16	31	1673	60014	27144	6	21468	1200	174688	79	13097	382211	258	2041798.0
hsa-miR-122-5p	17	23	0	3	11	79	16812	62825	65	203	15118	85	0	770	58785	594	858	2184	224	201	47	5	145	348	106	81	22	17	52	11994	967	288	197	6110	7029	5150	29008	34743	25881	1269	5624	28131	62936	7664	30450	6568	18242	22012	17832	6309	78	231	572	12852	5019	10755	6264	548	30	1164	2933	308	102	510	827	175	66	473	672	730	2000	642	105647	10199	103777	12148	38283	7787	7	214041	93567	33845	5303	3966	5	178566	319003	7979	11	4	4779	150754	6024	0	72476	79	1813	36	54013	47550	64	2006761.0
hsa-miR-93-5p	9550	4002	1489	1026	1963	1877	47815	115342	3724	1502	230	9472	316	30	43	55	44	19	38	975	2192	1000	351	5702	489	3832	241	76	60	34	32	31	9	3437	83	2267	899	2371	1772	4590	32766	56097	39400	2998	88482	34967	56813	64044	86594	73	15	80	1083	238	395	1517	55	240	33	3991	6167	638	256	52858	3629	80	75	548	28822	4478	4650	4059	44373	86156	96214	9537	22416	10088	75	22060	58315	75591	6571	2227	159	36160	59062	4685	181	47	8250	89765	17572	20	17151	972	189320	270	7566	201483	134	1871541.0
hsa-miR-30a-5p	55845	29634	7078	4911	9496	12503	4643	14851	18988	11663	2633	45052	1726	21	204	54	57	24	27	5116	17648	8173	960	35864	1867	23932	2410	7817	4939	164	27	16	13	7921	364	9309	2309	5346	4706	761	3401	7379	6756	947	14639	4841	7263	7466	9998	167	170	5104	3206	737	1434	6208	135	5355	891	91022	125367	38414	3668	51226	81149	7802	2137	5143	188143	126638	110675	186000	7750	5144	18666	1898	3751	3812	4258	11103	9051	11784	1503	626	10429	16830	17194	944	16826	1953	1048	17051	2493	1959	11095	18038	19505	20940	3389	39071	15603	1756250.0
hsa-miR-484	2248	1409	409	402	370	1298	56969	71867	1553	7127	570	3223	114	64	70	130	91	20	64	167	383	76	38	1140	97	341	74	102	151	152	72	51	35	1867	190	2328	662	2077	1630	2397	50683	177014	101396	5102	142601	32578	71021	76990	73760	198	38	124	1343	466	597	1174	69	297	60	8288	6612	4180	1020	19829	3258	113	91	697	11935	4193	7190	8335	24963	31921	59959	6510	12944	8223	56	17420	55724	56067	2403	4420	168	20797	41254	8022	178	59	12090	76746	18690	39	14146	808	46144	472	11648	132397	619	1638167.0
hsa-miR-223-3p	4561	2690	1652	868	1526	2637	17121	92352	9606	4198	33	18478	289	10	12	56	31	8	14	18	18	2	11	54	2	6	2	10	10	19	6	13	4	94	28	143	14	142	165	1948	92939	110271	85201	6084	27237	123114	68617	158402	11960	11	0	11	1201	13	253	82	7	153	31	522	589	251	256	643	7354	97	49	650	975	2622	162	721	8955	70299	15574	6488	10672	8089	6	22212	25873	19277	2701	1636	17	11038	15665	1331	2	27	2307	26454	43675	5	6946	452	102116	16	35638	244754	143	1541697.0
hsa-miR-151a-3p	24428	11117	3775	4172	4595	11305	44652	106539	5305	16546	699	12362	1150	43	158	66	86	30	50	1231	2659	1307	381	7517	278	5586	448	415	495	109	43	39	33	5917	274	3758	1470	4076	2849	2293	20812	38934	28262	3508	20976	14913	23071	65848	17477	161	87	605	1090	293	900	2027	85	1276	111	12536	15399	2511	543	15215	6508	439	504	1044	28732	11439	11004	11372	10353	132358	30471	4416	3621	3867	139	12945	47465	41213	3916	3113	355	13491	16532	8227	558	121	32283	55786	9747	112	5677	1231	195920	1053	5628	234525	1591	1522652.0
