name	SRX3848837	SRX3848836	SRX3848835	SRX3848834	SRX3848833	SRX3848832	SRX3848831	SRX3848830	SRX3848839	SRX3848838	SRX3848843	SRX3848840	SRX3848841	SRX3848846	SRX3848847	SRX3848844	SRX3848845	SRX3848848	SRX3848849	SRX3848792	SRX3848793	SRX3848790	SRX3848791	SRX3848796	SRX3848797	SRX3848794	SRX3848795	SRX3848798	SRX3848799	SRX3848851	SRX3848850	SRX3848853	SRX3848852	SRX3848855	SRX3848854	SRX3848857	SRX3848856	SRX3848859	SRX3848858	SRX3848781	SRX3848780	SRX3848783	SRX3848782	SRX3848785	SRX3848784	SRX3848787	SRX3848786	SRX3848789	SRX3848788	SRX3848864	SRX3848865	SRX3848866	SRX3848867	SRX3848860	SRX3848861	SRX3848862	SRX3848863	SRX3848868	SRX3848869	SRX3848883	SRX3848880	SRX3848881	SRX3848879	SRX3848878	SRX3848873	SRX3848872	SRX3848871	SRX3848870	SRX3848877	SRX3848876	SRX3848875	SRX3848874	SRX3848808	SRX3848809	SRX3848806	SRX3848807	SRX3848804	SRX3848805	SRX3848803	SRX3848800	SRX3848801	SRX3848819	SRX3848818	SRX3848815	SRX3848814	SRX3848817	SRX3848816	SRX3848811	SRX3848810	SRX3848813	SRX3848812	SRX3848820	SRX3848821	SRX3848822	SRX3848823	SRX3848824	SRX3848825	SRX3848826	SRX3848827	SRX3848828	SRX3848829
antisense_RNA#antisense	0.21	0.25	0.33	0.51	0.38	0.31	0.17	0.18	0.36	0.18	0.33	0.39	0.9	0.7	0.34	1.43	0.24	0.37	0.24	0.69	0.31	0.36	1.84	0.55	1.24	1.37	0.55	2.61	1.29	0.74	0.19	0.18	0.98	1.08	0.27	1.21	1.46	1.0	1.18	0.5	0.09	0.21	0.13	0.33	0.11	0.16	0.22	0.14	0.12	2.03	0.93	1.99	2.07	1.16	1.04	1.46	0.9	1.41	1.58	0.82	1.42	1.54	1.69	0.44	1.33	1.14	1.2	1.73	1.28	0.78	1.06	1.0	0.58	0.07	0.56	0.99	0.74	0.76	1.21	0.68	0.19	0.22	1.06	1.33	1.81	0.19	0.38	1.21	1.85	3.96	0.14	0.33	0.59	1.81	0.41	1.2	0.05	1.08	1.63	0.1	1.17	85.22999999999996
lncRNA#sense	0.47	0.38	0.42	0.71	0.52	0.44	0.09	0.13	0.23	0.34	0.15	0.31	1.31	0.1	0.16	0.25	0.17	0.15	0.06	0.15	0.2	0.11	0.36	0.25	0.11	0.11	0.08	0.23	1.61	0.17	0.11	0.1	0.05	0.26	0.26	0.13	1.37	0.57	0.13	0.14	0.07	0.13	0.08	0.25	0.1	0.15	0.22	0.1	0.14	3.01	2.64	3.69	1.23	2.03	1.6	2.11	1.42	2.96	3.04	1.44	1.08	1.8	2.38	0.2	1.13	2.19	2.33	1.64	0.5	0.93	0.89	1.39	1.14	0.07	0.76	1.41	1.14	1.38	1.59	0.95	0.09	0.25	1.36	1.56	0.9	0.31	0.5	1.68	0.12	1.05	0.17	0.65	0.63	1.78	0.73	2.82	0.05	0.49	1.29	0.07	2.25	82.95000000000002
miRNA#sense	0.17	0.21	0.14	0.14	0.26	0.28	0.42	0.34	0.47	1.19	0.19	0.14	0.15	1.15	0.21	0.76	0.12	0.33	0.14	4.81	2.09	2.15	9.87	3.81	3.9	1.37	4.71	0.3	0.66	0.22	0.14	0.11	0.19	0.29	0.13	0.2	1.44	0.21	0.22	0.56	0.28	0.23	0.27	0.28	0.12	0.24	0.24	0.31	0.13	0.51	0.07	0.09	0.03	0.33	0.45	0.24	0.48	0.07	0.05	0.45	0.51	1.14	0.53	0.54	0.41	0.05	0.06	0.03	0.52	0.63	0.75	0.88	0.27	0.21	0.22	0.7	0.28	0.22	0.83	0.42	0.39	0.3	0.33	0.65	0.18	0.19	0.24	0.6	0.55	0.31	0.16	0.32	0.19	0.89	0.2	0.09	0.24	0.64	0.25	0.33	0.27	65.58
lncRNA#antisense	0.18	0.13	0.19	0.38	0.22	0.21	0.2	0.2	0.1	0.22	0.1	0.19	0.67	0.1	0.08	0.12	0.09	0.09	0.04	0.18	0.3	0.12	0.18	0.24	0.08	0.18	0.18	0.15	0.99	0.1	0.09	0.06	0.04	0.14	0.12	0.11	0.84	0.3	0.09	0.27	0.15	0.26	0.15	0.34	0.15	0.22	0.25	0.45	0.1	1.76	1.8	1.97	0.79	1.15	0.93	1.27	0.79	1.82	1.66	0.9	0.64	0.97	1.54	0.16	0.75	1.34	1.48	1.02	0.35	0.61	0.52	0.77	0.72	0.09	0.52	0.9	0.81	0.85	0.87	0.68	0.18	0.26	0.87	1.18	0.48	0.26	0.37	1.22	0.09	0.98	0.55	0.42	0.76	0.99	0.46	1.63	0.07	0.31	0.83	0.1	1.39	54.17
otherRNA#sense	0.21	0.29	0.42	0.33	0.26	0.54	0.42	0.23	0.74	0.05	0.3	0.26	0.24	0.1	0.34	0.14	0.14	0.26	0.04	0.04	0.08	0.07	0.02	0.07	0.08	0.07	0.05	0.02	0.08	0.46	0.19	0.09	0.16	0.3	0.48	0.28	0.17	0.29	0.23	0.32	0.18	0.24	0.3	0.42	0.82	0.28	0.16	0.11	0.43	0.14	0.05	0.03	0.02	0.17	0.23	0.14	0.13	0.05	0.04	0.94	1.26	1.4	0.61	0.14	1.05	0.03	0.04	0.02	0.55	1.03	1.91	1.16	0.43	0.18	0.49	1.41	1.6	0.51	0.04	2.02	0.46	0.72	0.82	0.96	0.04	1.54	1.09	0.58	0.04	0.03	0.17	0.56	0.7	0.09	0.42	0.04	0.18	0.06	1.27	0.16	0.47	40.02000000000001
retained_intron#sense	0.16	0.13	0.15	0.22	0.19	0.15	0.05	0.09	0.2	0.08	0.36	0.19	0.26	0.5	0.4	0.51	0.32	0.53	0.29	0.42	0.26	0.29	1.26	0.33	0.56	0.19	0.29	0.53	0.56	0.45	0.21	0.24	0.33	0.54	0.34	0.49	0.49	0.52	0.47	0.19	0.05	0.09	0.05	0.08	0.08	0.08	0.09	0.09	0.08	0.81	0.54	0.68	0.54	0.54	0.51	0.6	0.49	0.58	0.51	0.5	0.46	0.71	1.0	0.23	0.44	0.45	0.47	0.53	0.3	0.46	0.57	0.6	0.4	0.13	0.19	0.44	0.55	0.43	0.57	0.36	0.06	0.09	0.5	0.48	0.58	0.1	0.15	0.52	0.96	0.57	0.05	0.14	0.16	0.95	0.24	0.51	0.27	0.48	0.48	0.07	0.5	37.88
processed_pseudogene#antisense	0.11	0.11	0.14	0.22	0.13	0.13	0.02	0.03	0.11	0.05	0.62	0.24	0.2	0.36	0.82	0.98	0.57	0.64	0.48	0.91	0.76	1.17	2.99	1.01	1.16	0.52	0.91	0.06	0.32	0.85	0.59	0.43	0.43	0.91	0.73	0.62	0.22	0.89	0.99	0.19	0.02	0.08	0.02	0.03	0.04	0.04	0.07	0.06	0.02	0.39	0.33	0.49	0.81	0.43	0.65	0.37	0.51	0.44	0.53	0.26	0.23	0.19	0.26	0.04	0.21	0.63	0.42	0.68	0.13	0.24	0.31	0.16	0.12	0.01	0.09	0.17	0.2	0.22	0.26	0.14	0.02	0.05	0.2	0.23	0.13	0.09	0.1	0.2	0.03	0.04	0.02	0.05	0.1	0.25	0.11	0.32	0.01	0.15	0.36	0.01	0.32	35.71000000000001
processed_transcript#sense	0.1	0.08	0.1	0.2	0.14	0.1	0.01	0.03	0.12	0.06	0.16	0.1	0.28	0.21	0.18	0.3	0.13	0.22	0.05	0.53	0.38	0.55	2.18	0.44	0.7	0.23	0.5	0.08	0.32	0.17	0.09	0.1	0.08	0.19	0.2	0.11	0.31	0.18	0.15	0.09	0.02	0.04	0.03	0.03	0.02	0.03	0.05	0.04	0.02	0.58	0.31	0.5	0.39	0.33	0.35	0.32	0.33	0.47	0.5	0.26	0.26	0.39	0.56	0.18	0.28	0.39	0.4	0.39	0.19	0.24	0.3	0.3	0.18	0.01	0.15	0.27	0.21	0.22	0.23	0.17	0.02	0.05	0.24	0.3	0.2	0.06	0.11	0.3	0.06	0.28	0.03	0.1	0.1	0.5	0.11	0.42	0.01	0.15	0.31	0.01	0.36	23.810000000000002
misc_RNA#sense	0.09	0.07	0.07	0.09	0.05	0.06	1.5	0.51	0.04	0.02	0.08	0.04	0.1	0.05	0.1	0.05	0.06	0.07	0.01	0.12	0.09	0.06	0.1	0.12	0.22	0.07	0.07	0.02	0.12	0.06	0.03	0.02	0.03	0.09	0.06	0.12	0.15	0.14	0.13	0.14	0.53	0.41	0.35	0.27	0.12	0.14	0.19	0.16	0.04	0.31	0.1	0.18	0.07	0.25	0.35	0.21	0.21	0.12	0.1	0.14	0.09	0.18	0.17	0.04	0.08	0.07	0.11	0.08	0.06	0.1	0.1	0.1	0.35	0.53	0.39	0.41	0.23	0.26	0.12	0.41	1.44	0.83	0.22	0.61	0.07	1.15	0.58	0.47	0.01	0.12	0.68	1.45	0.61	0.13	0.25	0.08	0.44	0.04	0.38	0.34	0.09	23.13999999999999
Mt_rRNA#sense	0.15	0.16	0.33	0.27	0.12	0.12	1.16	0.64	0.16	0.05	0.02	0.2	0.25	0.01	0.01	0.0	0.01	0.04	0.0	0.21	0.59	0.12	0.21	0.35	0.45	0.09	0.03	0.0	0.04	0.02	0.01	0.0	0.0	0.01	0.02	0.02	0.02	0.03	0.01	0.33	0.64	0.75	0.83	1.88	0.25	0.5	0.76	1.29	0.09	0.03	0.04	0.07	0.08	0.04	0.03	0.03	0.01	0.08	0.08	0.08	0.07	0.1	0.11	0.01	0.11	0.06	0.06	0.08	0.04	0.13	0.1	0.07	0.06	0.66	0.65	0.05	0.09	0.07	0.03	0.06	0.99	0.71	0.04	0.19	0.06	0.36	0.33	0.14	0.0	0.0	0.59	0.81	0.72	0.02	0.04	0.13	0.64	0.01	0.17	0.46	0.05	22.88999999999999
piRNA#sense	0.08	0.05	0.07	0.13	0.07	0.08	0.01	0.01	0.06	0.03	0.16	0.04	0.15	0.51	0.18	0.24	0.11	0.22	0.27	1.03	0.63	0.99	0.33	0.91	0.57	0.58	0.8	0.17	0.09	0.17	0.15	0.1	0.24	0.04	0.09	0.05	0.56	0.04	0.04	0.02	0.0	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.03	0.05	0.05	0.03	0.01	0.09	0.36	0.08	0.56	0.06	0.03	0.22	0.39	0.35	0.03	0.09	0.1	0.02	0.04	0.02	0.7	0.36	0.51	0.56	0.2	0.04	0.02	0.43	0.6	0.37	0.02	0.25	0.0	0.01	0.43	0.42	0.02	0.01	0.02	0.55	0.02	0.06	0.01	0.01	0.06	0.03	0.08	0.04	0.05	0.2	0.04	0.02	0.05	18.959999999999994
snoRNA#sense	0.27	0.16	0.25	0.23	0.32	0.19	0.03	0.11	0.32	0.1	0.45	0.3	0.13	0.27	0.19	0.13	0.3	0.38	0.05	0.02	0.06	0.01	0.06	0.04	0.02	0.02	0.01	0.0	0.02	0.12	0.08	0.24	0.06	0.01	0.31	0.01	0.05	0.01	0.01	0.07	0.04	0.1	0.07	0.03	0.16	0.05	0.04	0.19	0.1	0.04	0.09	0.04	0.03	0.05	0.08	0.03	0.07	0.05	0.04	0.68	0.68	1.09	0.09	0.1	0.16	0.02	0.03	0.03	0.68	0.63	0.79	1.71	0.42	0.26	0.06	0.39	1.02	0.51	0.02	0.47	0.04	0.04	0.32	0.21	0.02	0.09	0.08	0.29	0.0	0.01	0.01	0.05	0.07	0.04	0.19	0.04	0.44	0.01	0.07	0.1	0.04	18.709999999999997
retained_intron#antisense	0.04	0.03	0.05	0.1	0.06	0.05	0.02	0.02	0.06	0.04	0.09	0.05	0.13	0.08	0.08	0.08	0.08	0.15	0.03	0.23	0.13	0.17	0.56	0.2	0.32	0.11	0.14	0.05	0.23	0.12	0.04	0.05	0.03	0.11	0.28	0.05	0.21	0.13	0.08	0.08	0.01	0.02	0.01	0.04	0.01	0.02	0.03	0.02	0.02	0.45	0.5	0.47	0.31	0.29	0.28	0.28	0.3	0.39	0.36	0.19	0.16	0.24	0.3	0.04	0.16	0.36	0.33	0.32	0.07	0.13	0.18	0.17	0.15	0.01	0.09	0.24	0.17	0.2	0.25	0.15	0.01	0.04	0.21	0.26	0.11	0.05	0.07	0.31	0.02	0.11	0.03	0.09	0.08	0.26	0.1	0.35	0.0	0.09	0.2	0.01	0.31	14.989999999999995
nonsense_mediated_decay#sense	0.09	0.07	0.07	0.12	0.12	0.06	0.01	0.01	0.16	0.04	0.14	0.08	0.11	0.28	0.18	0.48	0.14	0.19	0.08	0.23	0.11	0.13	0.93	0.21	0.25	0.08	0.21	0.12	0.19	0.12	0.1	0.11	0.13	0.19	0.15	0.14	0.3	0.13	0.16	0.07	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.01	0.02	0.35	0.26	0.24	0.19	0.22	0.28	0.23	0.23	0.2	0.18	0.2	0.18	0.31	0.41	0.1	0.19	0.17	0.17	0.19	0.13	0.18	0.25	0.24	0.11	0.0	0.06	0.16	0.14	0.13	0.18	0.12	0.01	0.03	0.13	0.18	0.13	0.03	0.05	0.23	0.09	0.12	0.02	0.04	0.05	0.28	0.07	0.19	0.0	0.14	0.16	0.01	0.2	14.799999999999995
processed_transcript#antisense	0.04	0.03	0.05	0.11	0.07	0.06	0.01	0.01	0.05	0.04	0.06	0.05	0.17	0.14	0.1	0.11	0.06	0.11	0.02	0.23	0.11	0.12	0.75	0.21	0.33	0.09	0.26	0.19	0.17	0.06	0.04	0.05	0.03	0.09	0.06	0.04	0.18	0.12	0.06	0.05	0.01	0.02	0.01	0.03	0.01	0.02	0.03	0.01	0.01	0.25	0.23	0.37	0.21	0.18	0.17	0.2	0.19	0.28	0.37	0.15	0.15	0.27	0.19	0.05	0.14	0.3	0.26	0.23	0.09	0.13	0.19	0.2	0.1	0.0	0.08	0.18	0.14	0.13	0.28	0.13	0.01	0.03	0.18	0.21	0.28	0.04	0.05	0.29	0.16	0.16	0.03	0.05	0.05	0.32	0.08	0.27	0.0	0.19	0.2	0.01	0.21	13.34
snRNA#sense	0.07	0.05	0.07	0.08	0.07	0.05	0.03	0.02	0.1	0.04	0.31	0.07	0.07	0.29	0.23	0.07	0.1	0.26	0.02	0.03	0.1	0.01	0.1	0.12	0.1	0.01	0.01	0.01	0.05	0.2	0.15	0.11	0.04	0.05	0.1	0.03	0.11	0.06	0.03	0.05	0.01	0.03	0.02	0.04	0.05	0.02	0.03	0.03	0.04	0.09	0.27	0.05	0.28	0.09	0.22	0.09	0.16	0.06	0.05	0.15	0.31	0.32	0.06	0.04	0.11	0.04	0.05	0.22	0.13	0.29	0.27	0.55	0.16	0.02	0.06	0.33	0.53	0.21	0.02	0.17	0.03	0.05	0.16	0.17	0.02	0.09	0.09	0.17	0.0	0.17	0.02	0.04	0.27	0.04	0.13	0.05	0.02	0.02	0.11	0.01	0.06	10.859999999999992
Mt_tRNA#sense	0.01	0.02	0.03	0.01	0.02	0.02	0.19	0.08	0.06	0.01	0.01	0.03	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.61	1.11	0.23	0.23	0.55	0.38	0.22	0.08	0.01	0.02	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.0	0.1	0.21	0.26	0.23	0.16	0.06	0.22	0.11	0.29	0.04	0.0	0.0	0.02	0.01	0.01	0.01	0.01	0.01	0.03	0.0	0.09	0.06	0.1	0.02	0.02	0.12	0.01	0.01	0.0	0.06	0.2	0.13	0.16	0.04	0.08	0.04	0.04	0.1	0.06	0.0	0.05	0.15	0.06	0.02	0.09	0.02	0.05	0.08	0.17	0.01	0.01	0.08	0.05	0.19	0.01	0.02	0.05	0.09	0.02	0.07	0.1	0.01	8.539999999999992
sense_intronic#sense	0.03	0.04	0.05	0.09	0.07	0.06	0.01	0.02	0.05	0.03	0.05	0.04	0.15	0.06	0.03	0.07	0.05	0.04	0.05	0.05	0.03	0.03	0.13	0.04	0.09	0.04	0.03	0.11	0.12	0.06	0.03	0.03	0.14	0.05	0.03	0.05	0.1	0.08	0.04	0.03	0.01	0.02	0.01	0.02	0.01	0.02	0.03	0.02	0.03	0.22	0.11	0.28	0.24	0.14	0.11	0.13	0.09	0.2	0.23	0.09	0.07	0.16	0.18	0.03	0.09	0.16	0.16	0.21	0.05	0.08	0.08	0.1	0.07	0.02	0.07	0.11	0.09	0.1	0.12	0.07	0.01	0.02	0.11	0.13	0.23	0.02	0.04	0.13	0.13	0.14	0.01	0.04	0.06	0.2	0.06	0.2	0.01	0.09	0.11	0.02	0.15	8.239999999999998
